corpus,dataset,truefam,local_ev,reg_binary,reg_alpha_s2,reg_alpha_s4,reg_alpha_s8
ovrbench,BusinessAnomalies,global,-0.22025625000000015,0.04070414311360049,0.04070414311360049,0.04070414311360049,0.04070414311360049
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,global,-0.035186858316221925,0.010670787609305593,0.007488929443102921,0.007488929443102921,0.007488929443102921
ovrbench,FakeNewsPropagation,global,-0.21152916666666666,0.09748967357921567,0.09748967357921567,0.09748967357921567,0.09748967357921567
adbench,22_magic.gamma,local,-0.08795416666666667,0.00895890501788943,0.00895890501788943,0.00895890501788943,0.00895890501788943
ovrbench,guillermo,global,-0.07172083333333323,0.034929822679396774,0.034929822679396774,0.034929822679396774,0.034929822679396774
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,local,-0.008858218318695155,0.0,0.0,0.0,0.0
ovrbench,philippine,global,-0.23557461406518,0.0,0.3356601668011946,0.3356601668011946,0.3356601668011946
ovrbench,FinancialTransaction4,local,-0.07111041666666651,0.03306764702166781,0.06868070171175361,0.06868070171175361,0.06868070171175361
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,global,-0.027260215053763526,0.022357361982763987,0.022357361982763987,0.022357361982763987,0.022357361982763987
ovrbench,SpectralImaging,global,-0.16994583333333346,0.7825221884075265,0.0,0.0,0.0
oddbench,BarExamPrediction,global,-0.13116666666666665,0.11605912800275237,0.11605912800275237,0.11605912800275237,0.11605912800275237
ovrbench,SolarFlare,local,-0.1146166666666667,0.15086128173291885,0.15086128173291885,0.15086128173291885,0.15086128173291885
ovrbench,ailerons,global,-0.038695833333333485,0.03281749126256239,0.03281749126256239,0.03281749126256239,0.03281749126256239
oddbench,FinancialTransactionAnomalies,global,-0.12780208333333332,0.0,0.0,0.0,0.0
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,local,-0.004111360337775483,0.012016852891652587,0.012016852891652587,0.012016852891652587,0.012016852891652587
oddbench,SalesOrderPriority,local,-0.0677291666666664,0.05344931189156163,0.038889178344978265,0.038889178344978265,0.038889178344978265
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,local,-0.01596306068601583,0.0,0.02644048538814779,0.02644048538814779,0.02644048538814779
ovrbench,NeuroSignalEEG,global,-0.10886249999999997,0.0,0.0,0.0,0.0
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,global,-0.0030810008481763074,0.030360440699171903,0.030360440699171903,0.030360440699171903,0.030360440699171903
ovrbench,EEGEyeState,local,-0.00560000000000016,0.02972444165566268,0.02972444165566268,0.02972444165566268,0.02972444165566268
ovrbench,AmazonReviewAnomalies,global,-0.20915208333333346,0.07721984648986957,0.0703829446264479,0.0703829446264479,0.0703829446264479
