key,truefam,cs,reg_b1_auc,reg_b1_ap,reg_m_auc,reg_m_ap,reg_p1,reg_pe_auc,reg_pe_ap,lev_auc,lev_ap
ovrbench__BusinessAnomalies,global,0.0160689450980863,0.0000,0.0000,0.0408,0.1193,0.0000,0.0408,0.1193,-0.2203,-0.4537
tsbad_m__091_SVDB_id_8_Medical_tr_500_1st_126,global,nan,0.0108,0.0077,0.0108,0.0213,0.0108,0.0213,0.0213,-0.0349,-0.2011
ovrbench__FakeNewsPropagation,global,0.1709018358393057,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,-0.2115,-0.3407
adbench__22_magic.gamma,local,0.3621514068280739,0.0090,0.0000,0.0090,0.0090,0.0090,0.0248,0.0090,-0.0880,-0.2208
ovrbench__guillermo,global,0.0767218959501386,0.0349,0.0349,0.0349,0.0110,0.0349,0.0110,0.0110,-0.0717,-0.4261
tsbad_m__111_SVDB_id_28_Medical_tr_1791_1st_1,local,nan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0590,0.0590,-0.0098,-0.0456
ovrbench__philippine,global,0.0620269654986783,0.3357,0.3357,0.0000,0.0000,0.3357,0.0000,0.0000,-0.2356,-0.5387
ovrbench__FinancialTransaction4,local,0.1360946969557895,0.0331,0.0000,0.0331,0.0000,0.0331,0.0687,0.0687,-0.0566,-0.0207
tsbad_m__109_SVDB_id_26_Medical_tr_1038_1st_1,global,nan,0.0224,0.0224,0.0224,0.0224,0.0224,0.0533,0.0533,-0.0271,-0.0377
ovrbench__SpectralImaging,global,0.2457972130240839,0.0000,0.6058,0.7764,0.7764,0.0000,0.7764,0.7764,-0.1808,-0.4749
oddbench__BarExamPrediction,global,0.2256118159432745,0.1166,0.1166,0.1166,0.1166,0.1166,0.1166,0.1166,-0.1299,-0.1777
ovrbench__SolarFlare,local,0.3565047435715066,0.1498,0.1498,0.1498,0.1498,0.1498,0.1289,0.1498,-0.1140,-0.3423
ovrbench__ailerons,global,0.4127644068748578,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,-0.0334,-0.1692
oddbench__FinancialTransactionAnomalies,global,0.1077933059685641,0.0000,0.0768,0.0000,0.0768,0.0000,0.0000,0.0000,-0.1278,-0.0947
tsbad_m__030_MITDB_id_12_Medical_tr_50000_1st,local,nan,0.0120,0.0080,0.0120,0.0080,0.0120,0.0080,0.0120,-0.0041,-0.0575
oddbench__SalesOrderPriority,local,0.3919649011338575,0.0535,0.0388,0.0535,0.2369,0.0535,0.2369,0.2369,-0.0677,-0.1414
tsbad_m__093_SVDB_id_10_Medical_tr_500_1st_37,local,nan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0264,0.0264,-0.0160,-0.0815
ovrbench__NeuroSignalEEG,global,0.0212808496157046,0.0000,0.1153,0.0000,0.1153,0.0000,0.0000,0.1153,-0.1089,-0.1496
tsbad_m__086_SVDB_id_3_Medical_tr_533_1st_633,global,nan,0.0303,0.0303,0.0303,0.0303,0.0303,0.0353,0.0353,-0.0031,0.0034
ovrbench__EEGEyeState,local,0.6378743230015201,0.0297,0.0297,0.0297,0.0297,0.0297,0.0297,0.0297,-0.0056,-0.0182
ovrbench__AmazonReviewAnomalies,global,0.2494227041556415,0.0781,0.0781,0.0809,0.0809,0.0781,0.0809,0.0809,-0.2003,-0.3567
tsbad_m__097_SVDB_id_14_Medical_tr_1031_1st_1,local,nan,0.0452,0.0452,0.0452,0.0452,0.0452,0.0538,0.0538,-0.0140,-0.0233
ovrbench__jannis,global,0.0707842798279555,0.1804,0.1804,0.0240,0.0240,0.1804,0.0240,0.0240,-0.2247,-0.5190
ovrbench__sf-police-incidents,local,0.0279076677897036,0.1220,0.1220,0.1220,0.1220,0.1220,0.1220,0.1220,-0.1945,-0.2784
ovrbench__CreditCustomerData,local,0.1447719826080971,0.0763,0.1833,0.0627,0.0627,0.0763,0.0627,0.0627,-0.2987,-0.4479
ovrbench__CelestialObjects2,global,0.194172114068173,0.1041,0.1041,0.1041,0.0451,0.1041,0.1041,0.0451,-0.0469,-0.1703
tsbad_m__019_MITDB_id_1_Medical_tr_37500_1st_,local,nan,0.0232,0.0232,0.0232,0.0617,0.0232,0.0000,0.0617,-0.0308,-0.1618
oddbench__TBAnomalyDetection,local,0.0598276955729561,0.2147,0.2147,0.0565,0.0551,0.2147,0.0565,0.0551,-0.1687,-0.1702
ovrbench__PsychoPrediction,global,0.0228445683820746,0.0360,0.0360,0.0360,0.0360,0.0360,0.0360,0.0596,-0.0368,-0.0581
tsbad_m__105_SVDB_id_22_Medical_tr_500_1st_41,local,nan,0.0118,0.0118,0.0118,0.0118,0.0118,0.0106,0.0106,-0.0097,-0.0215
ovrbench__CustomerChurn2,local,0.2157239873828404,0.2760,0.2691,0.2760,0.2691,0.2760,0.1077,0.1077,-0.0583,-0.1058
tsbad_m__101_SVDB_id_18_Medical_tr_1851_1st_1,local,nan,0.0510,0.0510,0.0510,0.0551,0.0510,0.0510,0.0551,-0.0529,-0.1759
ovrbench__FinancialMetricsAnomaly,global,0.194951304388727,0.0959,0.0959,0.0959,0.1294,0.0959,0.1294,0.1294,-0.1145,-0.3476
ovrbench__CardiacHealth,local,0.1756745977681027,0.0030,0.0000,0.0030,0.0000,0.0030,0.0035,0.0021,-0.0603,-0.1173
ovrbench__SensorAnomaly,local,0.065432506688935,0.1808,0.2031,0.1808,0.1808,0.1808,0.1808,0.1808,-0.2312,-0.2454
ovrbench__BCellImmunity,global,0.1998362652718885,0.1116,0.1116,0.1116,0.1116,0.1116,0.2649,0.1767,-0.0874,-0.0863
oddbench__HealthPulse,local,0.1711989089709796,0.0000,0.0023,0.0829,0.0023,0.0000,0.0829,0.0829,-0.1583,-0.1365
oddbench__PropertyCondition,local,0.1100796523996359,0.2041,0.2322,0.1768,0.2322,0.2041,0.1768,0.2322,-0.2232,-0.3627
ovrbench__HealthActivityObesity,local,0.4046817027810957,0.0000,0.0000,0.0529,0.0000,0.0000,0.0529,0.0000,-0.2127,-0.2335
oddbench__TransactionFeeAnomalies,local,0.582496620532318,0.1943,0.1943,0.1943,0.1943,0.1943,0.1943,0.1943,0.0000,0.0000
ovrbench__TwitterEmotion,local,0.0951995589931344,0.0928,0.0928,0.0368,0.0368,0.0928,0.0368,0.0368,-0.2567,-0.5934
ovrbench__FootballEfficiency,local,0.0636626684452782,0.0083,0.0083,0.0707,0.0715,0.0083,0.0707,0.0715,-0.3223,-0.3081
ovrbench__BoundingBoxClassification,global,0.1752197841793588,0.3686,0.3686,0.1188,0.1188,0.3686,0.1188,0.1188,-0.1570,-0.2381
oddbench__GeneticVariation,global,0.0962354163301524,0.3642,0.3724,0.2155,0.3724,0.3642,0.2155,0.3724,-0.1898,-0.4252
tsbad_m__140_CATSv2_id_3_Sensor_tr_28307_1st_,global,nan,0.1142,0.1142,0.1142,0.1142,0.1142,0.1090,0.1090,-0.0149,-0.0587
adbench__35_SpamBase,global,0.045346731367878,0.4886,0.4886,0.4886,0.4886,0.4886,0.4886,0.4886,-0.0393,-0.1939
dami__SpamBase,global,0.045352089823197,0.5340,0.5340,0.5340,0.0941,0.5340,0.0941,0.0941,-0.0513,-0.2608
tsbad_m__088_SVDB_id_5_Medical_tr_500_1st_168,local,nan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0685,0.0685,-0.0138,-0.0834
oddbench__ProsperLoan,local,0.18671069033573,0.0294,0.0294,0.0764,0.0764,0.0294,0.0764,0.0764,-0.1641,-0.2935
ovrbench__JobChangePatterns,global,0.1059090670329944,0.3312,0.3312,0.2022,0.2022,0.3312,0.2022,0.2022,-0.3081,-0.3594
tsbad_m__031_MITDB_id_13_Medical_tr_50000_1st,local,nan,0.0030,0.0000,0.0030,0.0000,0.0030,0.0026,0.0026,-0.0075,-0.0420
ovrbench__TrafficSensor,local,0.2792389599216985,0.0546,0.0546,0.0546,0.0546,0.0546,0.5594,0.0546,-0.0207,-0.0604
ovrbench__PokemonBattle,local,0.1715638259211465,0.0050,0.0050,0.0947,0.0947,0.0050,0.0947,0.0947,-0.2206,-0.5228
tsbad_m__022_MITDB_id_4_Medical_tr_50000_1st_,local,nan,0.0337,0.0289,0.0337,0.0024,0.0337,0.0024,0.0024,-0.0311,-0.1588
ovrbench__RealEstateListings,local,0.1616662027907384,0.0871,0.0023,0.0871,0.0023,0.0871,0.1012,0.1119,-0.0917,-0.1322
oddbench__BuildingInspections,global,0.1261151649311724,0.1878,0.1878,0.1878,0.0317,0.1878,0.3206,0.0317,-0.1089,-0.3078
tsbad_m__026_MITDB_id_8_Medical_tr_30495_1st_,local,nan,0.0095,0.0095,0.0095,0.0095,0.0095,0.0998,0.0998,-0.0043,-0.0293
ovrbench__ViralProteinFunction,local,0.3353611222887444,0.2509,0.2509,0.2509,0.2509,0.2509,0.1380,0.2509,-0.1000,0.0348
ovrbench__GeotechnicalAnomalies,local,0.1309515462791803,0.0158,0.0158,0.2317,0.0158,0.0158,0.2317,0.0158,-0.1993,-0.1713
tsbad_m__098_SVDB_id_15_Medical_tr_500_1st_30,local,nan,0.0210,0.0210,0.0210,0.0210,0.0210,0.0220,0.0210,-0.0208,-0.0632
oddbench__ProtestViolence,global,0.0559415703063578,0.8717,0.8306,0.8717,0.8306,0.8717,0.8827,0.8717,-0.0203,-0.0750
ovrbench__BreastCancer,global,0.1456312343163249,0.0000,0.0000,0.1331,0.0540,0.0000,0.1331,0.0540,-0.2306,-0.2047
ovrbench__UserMovieInteractions,global,0.1413057434197836,0.1216,0.1216,0.3394,0.3394,0.1216,0.3394,0.3394,-0.2886,-0.4229
ovrbench__Word2VecPCA,global,0.031813330890863,0.1637,0.1290,0.1487,0.1290,0.1637,0.1487,0.1290,-0.1500,-0.2756
tsbad_m__085_SVDB_id_2_Medical_tr_50000_1st_5,local,nan,0.0028,0.0383,0.0028,0.0383,0.0028,0.1072,0.1072,-0.0013,-0.0106
ovrbench__TextAnomalyDetection,global,0.5517853333645628,0.0304,0.0304,0.0304,0.0304,0.0304,0.1110,0.1110,0.0015,0.0062
ovrbench__BNG(cmc),global,0.4787056154089885,0.3242,0.1693,0.0000,0.0000,0.3242,0.0000,0.0000,-0.2111,-0.5446
oddbench__GlobalTerrorismAttack,global,0.0484205853574048,0.6229,0.6229,0.6229,0.6229,0.6229,0.6229,0.6229,-0.0986,-0.1754
tsbad_m__021_MITDB_id_3_Medical_tr_50000_1st_,local,nan,0.0187,0.0187,0.0187,0.0187,0.0187,0.0986,0.0986,-0.0003,-0.0040
