dataset,best_current,best_clean,n_clean_hard,frac_clean
103_SVDB_id_20_Medical_tr_12167_1s,0.086,0.111,200,0.62
107_SVDB_id_24_Medical_tr_32805_1s,0.039,0.044,244,0.66
113_SVDB_id_30_Medical_tr_4552_1st,0.18,0.137,246,0.74
140_CATSv2_id_3_Sensor_tr_28307_1s,0.556,0.572,1601,0.95
021_MITDB_id_3_Medical_tr_50000_1s,0.482,0.526,440,0.89
097_SVDB_id_14_Medical_tr_1031_1st,0.075,0.084,469,0.69
141_CATSv2_id_4_Sensor_tr_41727_1s,0.491,0.508,258,0.89
115_PSM_id_1_Facility_tr_50000_1st,0.488,0.472,1515,0.87
022_MITDB_id_4_Medical_tr_50000_1s,0.081,0.088,605,0.89
098_SVDB_id_15_Medical_tr_500_1st_,0.152,0.185,467,0.66
095_SVDB_id_12_Medical_tr_6264_1st,0.138,0.168,295,0.73
053_GHL_id_22_Sensor_tr_50000_1st_,0.237,0.215,407,0.96
101_SVDB_id_18_Medical_tr_1851_1st,0.122,0.161,324,0.76
099_SVDB_id_16_Medical_tr_1115_1st,0.148,0.198,126,0.62
092_SVDB_id_9_Medical_tr_2674_1st_,0.236,0.287,181,0.88
172_SWaT_id_2_Sensor_tr_23700_1st_,0.329,0.346,670,0.97
093_SVDB_id_10_Medical_tr_500_1st_,0.119,0.085,274,0.67
084_SVDB_id_1_Medical_tr_12973_1st,0.046,0.048,134,0.71
105_SVDB_id_22_Medical_tr_500_1st_,0.636,0.771,721,0.75
142_CATSv2_id_5_Sensor_tr_30704_1s,0.075,0.074,634,0.96
139_CATSv2_id_2_Sensor_tr_5592_1st,0.357,0.353,365,0.92
109_SVDB_id_26_Medical_tr_1038_1st,0.082,0.083,723,0.67
085_SVDB_id_2_Medical_tr_50000_1st,0.189,0.224,297,0.71
091_SVDB_id_8_Medical_tr_500_1st_1,0.086,0.1,502,0.78
096_SVDB_id_13_Medical_tr_500_1st_,0.168,0.206,302,0.74
086_SVDB_id_3_Medical_tr_533_1st_6,0.063,0.074,440,0.69
112_SVDB_id_29_Medical_tr_8226_1st,0.069,0.048,162,0.71
138_CATSv2_id_1_Sensor_tr_16568_1s,0.563,0.589,125,0.91
108_SVDB_id_25_Medical_tr_1238_1st,0.077,0.123,79,0.79
143_CATSv2_id_6_Sensor_tr_50000_1s,0.4,0.389,191,0.9
031_MITDB_id_13_Medical_tr_50000_1,0.019,0.026,576,0.85
173_GECCO_id_1_Sensor_tr_16165_1st,0.649,1.0,12,0.14
102_SVDB_id_19_Medical_tr_50000_1s,0.523,0.536,437,0.97
088_SVDB_id_5_Medical_tr_500_1st_1,0.069,0.125,1264,0.66
030_MITDB_id_12_Medical_tr_50000_1,0.034,0.041,1600,0.88
087_SVDB_id_4_Medical_tr_5421_1st_,0.214,0.237,199,0.71
111_SVDB_id_28_Medical_tr_1791_1st,0.498,0.66,610,0.71
137_CreditCard_id_1_Finance_tr_500,0.082,,0,0.0
026_MITDB_id_8_Medical_tr_30495_1s,0.196,0.208,1031,0.9
104_SVDB_id_21_Medical_tr_50000_1s,0.188,0.212,122,0.81
110_SVDB_id_27_Medical_tr_30824_1s,0.111,0.136,329,0.75
082_LTDB_id_4_Medical_tr_4456_1st_,0.206,0.295,193,0.72
019_MITDB_id_1_Medical_tr_37500_1s,0.235,0.236,1003,1.0
