corpus,dataset,knn_orig,catch_orig,catch_comb,fp_comb,nhard_comb,neff_comb,knn_after
ovrbench,sf-police-incidents,0.062,0.0,0.04,0.05,257357,498,-0.045
ovrbench,PsychoPrediction,-0.019,0.03,0.07,0.06,13740,493,-0.062
ovrbench,KickstarterCampaigns,0.082,0.55,0.56,0.06,13800,428,0.068
ovrbench,NeuroSignalEEG,0.02,0.07,0.11,0.1,12985,503,-0.045
ovrbench,ViralProteinFunction,0.118,0.22,0.24,0.06,9479,433,0.102
ovrbench,jannis,0.239,0.03,0.07,0.05,7188,487,0.186
ovrbench,SolarFlare,0.443,0.38,0.42,0.06,6768,512,0.384
oddbench,GlobalTerrorismAttack,-0.255,0.0,0.07,0.05,6543,404,-0.299
ovrbench,EmployeePerformance,-0.074,0.12,0.16,0.08,7001,389,-0.18
ovrbench,CreditScoringAnomalies,-0.165,0.04,0.06,0.07,6192,338,-0.189
ovrbench,XSSDetection,0.206,0.1,0.17,0.06,5028,324,0.106
ovrbench,UserMovieInteractions,0.066,0.0,0.05,0.04,5228,442,-0.01
oddbench,PropertyCondition,0.034,0.0,0.04,0.05,4939,493,-0.043
ovrbench,SpectralImaging,0.796,0.23,0.47,0.05,3407,527,0.665
adbench,22_magic.gamma,0.552,0.32,0.42,0.07,3860,536,0.431
ovrbench,RealEstateListings,-0.174,0.07,0.08,0.07,4331,478,-0.188
ovrbench,BNG(cmc),-0.082,0.03,0.05,0.07,4345,419,-0.12
ovrbench,BoundingBoxClassification,0.925,0.74,0.86,0.06,2095,470,0.773
ovrbench,FireRiskAnalysis,0.1,0.0,0.03,0.05,3712,391,0.081
ovrbench,CardiacHealth,0.961,0.3,0.34,0.07,3465,488,0.959
ovrbench,PhysicsTraining,-0.018,0.11,0.15,0.04,3472,401,-0.094
ovrbench,HealthActivityObesity,-0.103,0.04,0.05,0.06,3538,459,-0.119
oddbench,SalesOrderPriority,0.157,0.11,0.15,0.06,3348,505,0.101
oddbench,MouseInteractionPhase,0.994,0.0,0.95,0.05,158,85,0.88
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,0.929,0.0,0.82,0.04,579,202,0.397
ovrbench,Run_or_walk_information,0.295,0.01,0.13,0.07,2768,246,0.183
oddbench,ProsperLoan,0.096,0.03,0.07,0.05,2833,489,0.029
ovrbench,JobChangePatterns,0.113,0.0,0.07,0.05,2671,460,0.036
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,0.04,0.56,0.58,0.08,1073,448,0.012
oddbench,CourseRegistration,-0.132,0.01,0.01,0.06,2202,314,-0.138
oddbench,RacingMotion,0.594,0.25,0.33,0.05,1953,363,0.514
oddbench,PoliceForceDisturbance,-0.024,0.01,0.05,0.05,2034,321,-0.077
ovrbench,FakeNewsPropagation,0.413,0.22,0.27,0.06,2064,560,0.386
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,0.038,0.22,0.24,0.07,1656,428,0.015
ovrbench,WebpageSessionIntrusion,-0.071,0.12,0.13,0.07,1963,336,-0.08
ovrbench,FinancialTransaction4,0.122,0.06,0.13,0.05,1827,531,0.072
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,0.102,0.66,0.68,0.08,627,418,0.058
oddbench,FinancialTransactionAnomalies,0.029,0.0,0.06,0.05,1817,505,-0.025
oddbench,ProtestViolence,0.301,0.39,0.43,0.09,1538,427,0.261
ovrbench,TextAnomalyDetection,-0.095,0.06,0.06,0.06,1885,420,-0.098
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,0.107,0.07,0.1,0.07,1721,503,0.092
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,0.744,0.12,0.61,0.06,713,318,0.191
oddbench,HumanRobotCollaboration,0.429,0.05,0.08,0.08,1736,243,0.409
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,0.317,0.4,0.46,0.06,946,240,0.28
oddbench,TBAnomalyDetection,0.236,0.18,0.26,0.08,1529,494,0.165
dami,SpamBase,0.723,0.0,0.0,0.0,1679,466,0.723
adbench,35_SpamBase,0.722,0.0,0.0,0.0,1679,467,0.722
ovrbench,CelestialObjects2,0.597,0.83,0.86,0.07,1276,498,0.5
ovrbench,NetworkHealthMonitor,0.48,0.03,0.13,0.05,1336,396,0.398
ovrbench,Word2VecPCA,-0.07,0.04,0.05,0.06,1417,421,-0.076
ovrbench,AmazonReviewAnomalies,0.735,0.08,0.53,0.05,735,473,0.342
oddbench,GeneticVariation,0.377,0.0,0.32,0.05,981,480,0.128
oddbench,BuildingInspections,0.14,0.52,0.54,0.07,1357,451,0.119
ovrbench,CreditCustomerData,0.084,0.0,0.04,0.04,1309,504,0.032
ovrbench,ailerons,0.36,0.25,0.34,0.07,1211,510,0.265
ovrbench,compass,-0.087,0.06,0.08,0.06,1316,390,-0.095
ovrbench,guillermo,-0.002,0.0,0.0,0.0,1327,527,-0.002
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,0.163,0.35,0.39,0.06,1186,501,0.088
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,0.101,0.32,0.36,0.07,1161,448,0.039
oddbench,DiamondClarity,-0.023,0.06,0.08,0.07,1224,290,-0.045
adbench,19_landsat,0.389,0.1,0.16,0.08,1123,410,0.343
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,0.221,0.18,0.2,0.07,934,492,0.197
ovrbench,MalariaDetection,-0.04,0.04,0.05,0.06,1099,197,-0.03
ovrbench,SensorAnomaly,0.012,0.08,0.13,0.07,1091,471,-0.016
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,0.537,0.07,0.43,0.05,643,265,0.077
oddbench,GPUResourceUsage,-0.007,0.02,0.02,0.06,1085,293,-0.004
ovrbench,PokemonBattle,0.202,0.09,0.12,0.07,1065,481,0.178
ovrbench,EEGEyeState,0.475,0.06,0.1,0.07,1021,502,0.433
ovrbench,ShuttleOperations,0.965,0.59,0.72,0.08,730,192,0.942
tsbad_m,188_Exathlon_id_15_Facility_tr_12538_1st,,0.99,1.0,0.06,0,0,
ovrbench,BusinessAnomalies,0.353,0.49,0.55,0.07,891,585,0.234
oddbench,BarExamPrediction,0.458,0.02,0.22,0.05,812,527,0.258
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,0.073,0.58,0.6,0.07,427,292,0.042
ovrbench,CustomerChurn2,0.133,0.02,0.08,0.05,948,485,0.085
ovrbench,AirPressure,0.925,0.0,0.87,0.05,128,115,0.235
oddbench,TrialBehavior,-0.007,0.06,0.07,0.06,959,382,-0.008
oddbench,TransactionFeeAnomalies,0.642,0.04,0.15,0.06,818,399,0.597
ovrbench,TrafficSensor,0.803,0.76,0.82,0.08,706,449,0.731
oddbench,RulePriorityAnomalies,0.207,0.11,0.2,0.05,807,392,0.065
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,0.183,0.44,0.5,0.06,741,469,0.095
ovrbench,GeotechnicalAnomalies,0.025,0.05,0.08,0.07,882,429,0.018
ovrbench,FootballEfficiency,0.254,0.12,0.2,0.06,838,479,0.18
ovrbench,SepsisMonitoring,0.179,0.01,0.1,0.05,803,405,0.066
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,0.075,0.42,0.45,0.07,761,425,0.024
oddbench,HealthPulse,0.053,0.01,0.06,0.05,815,478,0.018
ovrbench,FICO-HELOC-cleaned,-0.022,0.01,0.04,0.05,810,411,-0.042
ovrbench,BatchProcessingEvents,-0.05,0.41,0.43,0.08,789,356,-0.06
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,0.251,0.48,0.53,0.07,677,524,0.184
ovrbench,FinancialMetricsAnomaly,0.114,0.12,0.22,0.09,686,484,0.041
adbench,30_satellite,0.308,0.6,0.66,0.08,688,367,0.143
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,0.132,0.19,0.27,0.08,681,405,0.083
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,0.09,0.63,0.64,0.07,615,445,0.068
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,0.079,0.58,0.6,0.07,344,273,0.048
ovrbench,volkert,0.353,0.43,0.47,0.07,381,327,0.291
ovrbench,philippine,0.259,0.0,0.0,0.0,720,529,0.259
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,0.138,0.56,0.57,0.07,372,293,0.13
oddbench,FantasyFootball,0.962,0.01,0.99,0.05,5,5,
oddbench,SMSClassification,0.847,0.06,0.79,0.05,154,137,0.161
ovrbench,UrlAnalysis,0.325,0.2,0.27,0.06,573,278,0.26
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,0.044,0.09,0.13,0.07,629,440,0.027
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,0.106,0.6,0.63,0.08,612,421,0.044
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,0.17,0.53,0.55,0.07,594,465,0.135
ovrbench,TwitterEmotion,0.122,0.07,0.12,0.07,591,491,0.073
oddbench,TreadmillStatus,0.532,0.01,0.03,0.08,583,188,0.527
tsbad_m,137_CreditCard_id_1_Finance_tr_500_1st_5,0.217,0.45,0.48,0.07,784,295,0.186
ovrbench,BCellImmunity,0.111,0.17,0.2,0.07,559,486,0.089
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,0.227,0.6,0.66,0.07,484,413,0.096
ovrbench,GesturePhaseSegmentationProcessed,-0.158,0.08,0.09,0.06,519,182,-0.161
ovrbench,SpatialAnomalies,0.396,0.12,0.23,0.06,492,420,0.297
oddbench,AttackIncidents,-0.011,0.01,0.06,0.05,518,368,-0.038
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,0.417,0.12,0.2,0.08,498,403,0.366
ovrbench,BreastCancer,0.134,0.14,0.18,0.07,508,457,0.099
oddbench,WaterPointFunctionality,0.013,0.0,0.02,0.05,514,205,-0.004
oddbench,WaterChemistry,0.216,0.39,0.45,0.06,473,393,0.176
