dataset,rho_clean,rho_contam,reg_clean,reg_contam
BusinessAnomalies,0.5228070175438596,0.4947368421052632,0.11924446912393724,0.11924446912393724
FakeNewsPropagation,-0.7202797202797203,-0.7202797202797203,0.28221764659419274,0.2692102579885737
guillermo,-0.7932229667969805,-0.7516973799667996,0.007490086895319874,0.007490086895319874
SpectralImaging,0.7412587412587414,0.5244755244755246,0.005066662431481572,0.01681577578842297
ailerons,0.03859649122807018,-0.3964912280701755,0.03281749126256239,0.10363695850585444
NeuroSignalEEG,0.8671328671328673,0.8671328671328673,0.0,0.0
jannis,0.7740817475138726,0.43356643356643365,0.019272788485821257,0.019272788485821257
PsychoPrediction,0.8156028368794327,0.8156028368794327,0.0,0.0
BCellImmunity,-0.3403508771929825,-0.704029100680038,0.28497298992602743,0.2887517806302682
GeneticVariation,-0.7543859649122807,-0.6514896155546621,0.18516297746298643,0.09520644631086336
35_SpamBase,-0.7622377622377624,-0.8951048951048951,0.42214980974478167,0.42214980974478167
JobChangePatterns,0.06338028169014083,0.204225352112676,0.3289796019098902,0.3289796019098902
BreastCancer,-0.36140350877192984,-0.36140350877192984,0.12889824179369902,0.12889824179369902
UserMovieInteractions,0.16083916083916086,-0.1328671328671329,0.11493091881076131,0.20538645363823554
BNG(cmc),0.5160142348754448,0.5160142348754448,0.1634943447616633,0.1634943447616633
TrialBehavior,0.32394366197183094,0.15492957746478872,0.24308338698293316,0.24308338698293316
RulePriorityAnomalies,0.03859649122807018,0.11578947368421053,0.24104791026790112,0.1999351632526946
volkert,0.9370629370629372,0.9580419580419581,0.0,0.009114833227474084
30_satellite,0.950354609929078,0.8889013312554588,0.02422807175721725,0.02422807175721725
LandShapeAnomaly,0.7964912280701755,0.8861659824480081,0.013867698227992747,0.0
KDD,-0.6783216783216784,-0.7062937062937064,0.04330307577874831,0.04330307577874831
Annthyroid,0.5244755244755246,0.5244755244755246,0.0,0.0
HealthBehavior,-0.4825174825174825,-0.5874125874125874,0.08753288102569437,0.09072929680884796
SalesPerformance,-0.6433566433566434,-0.6013986013986015,0.16746993060924753,0.16746993060924753
EmailSpamDetection,0.6643356643356644,0.5734265734265735,0.02728830024170681,0.02728830024170681
FinancialTransaction1,0.8461538461538463,0.8111888111888113,0.0,0.0
visualizing_soil,0.8873239436619716,0.816901408450704,0.022105253945480352,0.09105664672251357
AxieInfinityBug,-0.06993006993006995,-0.06993006993006995,0.02500821647533234,0.02500821647533234
112_SVDB_id_29_Medical,-0.9508771929824562,-0.9578947368421055,0.07010899155579021,0.07010899155579021
MalariaDetection,-0.031578947368421054,0.02456140350877193,0.19109976691856356,0.19109976691856356
LandRarity,0.5314685314685316,0.3426573426573427,0.0,0.02947054539078997
BankruptcyForecast,-0.2867132867132868,-0.27272727272727276,0.09016964471761031,0.0
AquaticMacroInverts,-0.3706293706293707,-0.37762237762237766,0.4189364707762743,0.4189364707762743
173_GECCO_id_1_Sensor_,-0.6293706293706295,-0.5874125874125874,0.17490100531593045,0.1460879437279523
23_mammography,-0.10489510489510491,0.034965034965034975,0.08125713536145579,0.08125713536145579
