corpus,dataset,shallow_best,deep_best,lift,AE,VAE
ovrbench,guillermo,0.045,0.043,-0.003,0.041,0.043
oddbench,FinancialTransactionAnom,0.088,-0.02,-0.107,-0.063,-0.02
ovrbench,sf-police-incidents,0.085,-0.048,-0.133,-0.048,-0.065
ovrbench,PsychoPrediction,0.043,-0.106,-0.149,-0.18,-0.106
ovrbench,FinancialMetricsAnomaly,0.09,0.073,-0.017,0.048,0.073
oddbench,HealthPulse,0.085,0.034,-0.051,0.031,0.034
oddbench,PropertyCondition,0.037,-0.062,-0.099,-0.104,-0.062
ovrbench,HealthActivityObesity,-0.042,-0.262,-0.22,-0.326,-0.262
ovrbench,RealEstateListings,-0.031,-0.206,-0.174,-0.261,-0.206
ovrbench,Word2VecPCA,0.056,-0.027,-0.083,-0.027,-0.033
ovrbench,TextAnomalyDetection,-0.031,-0.082,-0.051,-0.161,-0.082
oddbench,GlobalTerrorismAttack,0.099,-0.135,-0.234,-0.181,-0.135
ovrbench,compass,0.065,-0.082,-0.147,-0.082,-0.103
ovrbench,KickstarterCampaigns,0.012,0.001,-0.011,-0.174,0.001
ovrbench,BatchProcessingEvents,0.012,-0.05,-0.062,-0.05,-0.081
ovrbench,PhysicsTraining,0.037,-0.098,-0.135,-0.098,-0.114
oddbench,AttackIncidents,0.034,-0.04,-0.075,-0.04,-0.058
ovrbench,CreditScoringAnomalies,0.079,-0.218,-0.296,-0.224,-0.218
ovrbench,NetworkHealthMonitor,0.021,-0.046,-0.067,-0.061,-0.046
oddbench,OkCupidUserBehavior,0.074,0.089,0.015,0.089,0.027
ovrbench,KDD,0.058,-0.02,-0.077,-0.02,-0.048
ovrbench,WebpageSessionIntrusion,0.061,-0.076,-0.138,-0.138,-0.076
oddbench,CourseRegistration,0.065,-0.378,-0.443,-0.378,-0.405
ovrbench,KenyaMovement,0.077,0.037,-0.04,0.037,0.033
oddbench,HealthBehavior,0.075,0.03,-0.045,0.025,0.03
ovrbench,FinancialTransaction1,0.033,-0.027,-0.06,-0.028,-0.027
oddbench,GeneticAnalysis,0.082,-0.014,-0.096,-0.014,-0.017
oddbench,RealEstateBlockType,0.093,-0.022,-0.115,-0.022,-0.025
oddbench,WaterPointFunctionality,0.08,-0.026,-0.106,-0.037,-0.026
ovrbench,KPIData,0.036,-0.084,-0.12,-0.084,-0.089
ovrbench,HealthMetrics,0.079,0.124,0.045,0.022,0.124
ovrbench,BankruptcyForecast,0.099,0.003,-0.097,0.003,-0.007
oddbench,CarMakeAnomaly,0.055,0.035,-0.02,0.03,0.035
ovrbench,mozilla4,0.066,0.008,-0.058,0.008,-0.015
ovrbench,HeadingDetection,0.078,-0.205,-0.283,-0.218,-0.205
