corpus,dataset,n_norm,n_hard,frac_triv,fp,n_eff,eff_frac,d,dip_frac,mean_dip,bc_frac,gmm_k,silh,dip_proj_frac,dip_proj_minp,bestdir_p,knn_apnorm,anom_dist_ratio,oracle_apnorm,base_rate,truefam,base_rate_full
ovrbench,sf-police-incidents,2400,269319,0.0,5|c9f429b3d6|9bb3bfa55e,469,0.0017414293087379,5,1.0,0.0286199924612347,0.8,6.0,0.2211183537693965,0.0,0.6380322011438091,0.0218012830049836,0.062,1.05,0.149,0.996,local,0.991
ovrbench,PsychoPrediction,2400,14247,0.0331840390879478,3|448f877cad|9d1b17d59f,470,0.0329894012774619,3,0.6666666666666666,0.0123814027145263,1.0,9.0,0.3042561800307897,0.0166666666666666,0.0342068686041946,0.3473820724017968,-0.019,0.92,0.036,0.922,global,0.856
ovrbench,KickstarterCampaigns,2400,14156,0.5476738241308794,5|d6f53ef141|8264feb246,401,0.0283272110765753,5,0.4,0.0152806580519547,0.6,7.0,0.7810296245203276,0.0,0.0948858260264978,0.9982607251290104,0.082,1.13,0.095,0.932,global,0.855
ovrbench,NeuroSignalEEG,2400,13539,0.0712717793936068,12|e839496a0d|5b7eab660a,460,0.0339759214122165,12,0.4166666666666667,0.01420637362681,0.0833333333333333,1.0,0.0901054130590425,0.0,0.5637811813933526,0.927204096052702,0.02,1.01,0.658,0.92,global,0.849
ovrbench,ViralProteinFunction,2400,9850,0.212,3|197a0d681d|d1775c3a8e,418,0.0424365482233502,3,0.3333333333333333,0.0295841399315391,1.0,13.0,0.5700061530442821,0.1,1.588094130977602e-06,0.9952952530545508,0.118,1.53,0.243,0.886,local,0.804
ovrbench,jannis,2400,7480,0.0293277965221905,54|fe8fcb6a45|c12323b8a3,478,0.063903743315508,54,0.1296296296296296,0.0098334318389086,0.3148148148148148,4.0,0.2275015892720169,0.0,0.3483021146529031,0.8943986832803773,0.239,1.05,0.329,0.861,global,0.757
ovrbench,SolarFlare,2400,7201,0.3831063137154116,15|9edbade8ac|05133c7e50,490,0.0680461047076795,15,0.2,0.0129117691633519,0.9333333333333332,15.0,0.4927706398891597,0.0,0.5650084391384017,0.8557799040041671,0.443,1.96,0.487,0.862,global,0.75
oddbench,GlobalTerrorismAttack,2400,6997,0.0002857551078725,5|35f1e9b820|8b091d5a44,374,0.0534514792053737,5,1.0,0.0600139751552794,0.4,13.0,0.2285530958692085,0.0166666666666666,0.0,0.9877266223652936,-0.255,1.0,0.14,0.854,global,0.745
ovrbench,EmployeePerformance,2400,6974,0.165390138822403,4|49ae84ef08|05ee725652,353,0.0506165758531689,4,1.0,0.0363280239790274,0.0,11.0,0.3035590543050142,0.0666666666666666,0.0,0.9942554303994792,-0.074,0.98,0.471,0.839,local,0.744
ovrbench,CreditScoringAnomalies,2400,6297,0.0408225437928408,41|b780b9fe2c|4c30e640e0,305,0.0484357630617754,41,0.8048780487804879,0.065477630857684,0.6097560975609756,13.0,0.2679529790573858,0.0666666666666666,1.4376523788328656e-05,0.0,-0.165,0.85,0.19,0.841,local,0.724
ovrbench,XSSDetection,2400,5628,0.0699058006941001,56|e74676e78a|ba5fa3195e,350,0.0621890547263681,56,0.5892857142857143,0.0390831222378329,0.9285714285714286,14.0,0.921128186947562,0.0,0.8584504515754462,0.9996513604884836,0.206,1.45,0.513,0.825,global,0.701
ovrbench,UserMovieInteractions,2400,5468,0.0063601671815373,17|03800590ad|9935042533,414,0.0757132406730065,17,0.8235294117647058,0.0348856885088279,0.4117647058823529,3.0,0.2555310002900865,0.0,0.6171720304084836,0.571476563844886,0.066,1.01,0.243,0.821,global,0.695
oddbench,PropertyCondition,2400,5139,0.0025232919254658,7|e3bf51bf24|004525e993,449,0.0873710838684568,7,0.5714285714285714,0.0696650286525451,0.7142857142857143,7.0,0.3177742253863018,0.0666666666666666,0.0,0.0,0.034,1.02,0.027,0.811,local,0.682
ovrbench,SpectralImaging,2400,4870,0.2416692619121768,60|fb901137f9|e698d0a683,487,0.1,60,0.8166666666666667,0.0525095679540495,0.45,11.0,0.1750686567478382,0.0333333333333333,0.0195380931022256,0.1336478863675001,0.796,1.41,0.891,0.818,global,0.67
adbench,22_magic.gamma,2400,4574,0.3160885167464115,10|4a09881ea8|575fcaf511,545,0.1191517271534761,10,0.4,0.0155405137670307,0.1,12.0,0.3134283950134648,0.0,0.2889745676408278,0.9379173804391072,0.552,1.34,0.578,0.792,local,0.656
ovrbench,RealEstateListings,2400,4426,0.0642706131078224,6|677241f2ec|4d382aaae5,429,0.09692724807953,6,0.6666666666666666,0.0234701054345186,0.6666666666666666,14.0,0.9616753420039444,0.45,0.0,0.0271418268111811,-0.174,0.99,0.044,0.787,local,0.648
ovrbench,BNG(cmc),2400,4412,0.0354175776125929,2|4ce842962f|1e06cc7f78,386,0.0874886672710788,2,1.0,0.0395259693727849,1.0,12.0,0.4842639478422658,0.1166666666666666,0.0,0.9346846155605254,-0.082,0.93,0.082,0.787,local,0.648
ovrbench,BoundingBoxClassification,2400,3989,0.7356177094379639,4|fdd81e067e|c5abc44f01,503,0.1260967661067936,4,0.75,0.0211367572352052,0.5,15.0,0.3621954088845066,0.2666666666666666,0.0,0.000406648641408,0.925,3.9,0.81,0.745,local,0.624
ovrbench,FireRiskAnalysis,2400,3794,0.0065462162869861,15|6f7e704823|c6601d31e8,356,0.0938323668950975,15,0.5333333333333333,0.0127144404043668,0.2,5.0,0.2693208287327034,0.0,0.1148731480061766,0.9930875271663872,0.1,1.1,0.242,0.761,global,0.613
ovrbench,CardiacHealth,2400,3686,0.2975033352391843,5|4d6b8eeb73|8a95aad41e,441,0.1196418882257189,5,1.0,0.0361766666666666,0.2,15.0,0.232352841273761,0.05,0.0001348091244911,0.9970898394388316,0.961,2.16,0.982,0.75,local,0.606
ovrbench,PhysicsTraining,2400,3625,0.1115196078431372,49|0aae4229d1|35044d6706,387,0.1067586206896551,49,0.5918367346938775,0.0311051240919355,0.5510204081632653,11.0,0.3471235234561448,0.0333333333333333,0.0025158523283841,0.0,-0.018,0.99,0.081,0.751,local,0.602
ovrbench,HealthActivityObesity,2400,3565,0.0442359249329758,6|2ffcb7c029|315aebd162,402,0.1127629733520336,6,0.1666666666666666,0.0083764673178927,0.1666666666666666,7.0,0.4390566666788248,0.0,0.404333926225667,0.9455020319762708,-0.103,1.01,0.015,0.748,local,0.598
oddbench,SalesOrderPriority,2400,3495,0.1111393692777212,7|8f71713ba9|609603e272,465,0.1330472103004291,7,0.2857142857142857,0.0244796732944121,0.7142857142857143,15.0,0.4209909856157338,0.1166666666666666,0.0,0.9902565345020008,0.157,1.26,0.253,0.744,local,0.593
oddbench,MouseInteractionPhase,2400,3246,0.0,5|ecde4a8bf5|ebd00ddcfb,287,0.0884165126309303,5,0.6,0.0398269221306948,0.6,15.0,0.3446182026910919,0.1333333333333333,3.072225943845375e-05,0.339062626283283,0.994,6.1,1.0,0.73,local,0.575
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,4701,3239,0.0,408|e234e00702|0615911de2,269,0.0830503241741278,408,0.7549668874172185,0.0447888076294817,0.6986754966887417,14.0,0.3281682490750032,0.0,0.1082372635934234,0.0,0.929,311274533.55,0.898,0.408,local,0.408
ovrbench,Run_or_walk_information,2400,3153,0.0053627760252365,6|53b8e98fec|03ecf595ef,232,0.073580716777672,6,1.0,0.0333334530229802,0.1666666666666666,13.0,0.3963953136805272,0.3833333333333333,0.0,0.3690794316465272,0.295,2.04,0.579,0.724,local,0.568
oddbench,ProsperLoan,2400,2949,0.0283360790774299,33|32b3994528|6220556e71,434,0.1471685317056629,33,0.6060606060606061,0.0278651963524894,0.6363636363636364,9.0,0.2450240576674682,0.0166666666666666,0.0001319969370575,0.9971543662892732,0.096,1.07,0.16,0.711,local,0.551
ovrbench,JobChangePatterns,2400,2862,0.0006983240223463,3|272a61a6e2|65b768a7e7,425,0.1484975541579315,3,0.6666666666666666,0.0534,1.0,13.0,0.4619817871422452,0.55,0.0,0.0,0.113,1.28,0.463,0.704,global,0.544
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,2359,2481,0.0293427230046948,16|204617619e|0eeccb6890,531,0.2140266021765417,16,0.8125,0.0697919466275165,0.6875,12.0,0.5810279364127918,0.45,0.0,0.0,0.04,1.06,0.669,0.513,local,0.513
oddbench,CourseRegistration,2400,2202,0.0103370786516853,5|8919abf7a8|16431e2c66,288,0.1307901907356948,5,0.8,0.0357538461538461,0.8,15.0,0.8641522633185676,1.0,0.0,0.0005544158938489,-0.132,0.76,0.104,0.647,local,0.478
