corpus,dataset,n_norm,n_anom,n_hard,frac_triv,n_eff,point_anom,fp
oddbench,AquaticMacroInverts,833,469,264,0.43710021321961623,126,False,23|e3fe7ff184|18ad3d803e
oddbench,ArchaeologicalAnomalies,402,118,115,0.025423728813559324,67,False,3|9c21070bc0|69c4b13bfa
oddbench,ArtCollections,2400,104,96,0.07692307692307693,52,False,3|95d4ffb6b3|cee024a579
oddbench,ArtSalesPlatform,2400,495,424,0.14343434343434344,227,False,4|bd4ee9b9f9|d884ae597a
oddbench,AttackIncidents,1803,550,520,0.05454545454545454,369,False,6|f6d8fac96d|c317a43d71
oddbench,AustinCrime,1857,204,108,0.47058823529411764,106,False,4|56f3362f96|d2c018b31f
oddbench,AxieInfinityBug,2400,332,313,0.0572289156626506,205,False,8|2ac85378dc|4f111cbba3
oddbench,BarExamPrediction,2400,1038,779,0.24951830443159922,521,False,10|cd9649be5d|20282d5bbb
oddbench,BaseballBattedBall,677,95,78,0.17894736842105263,68,False,8|a4a98266d6|b562588493
oddbench,BaseballPitchingAnomalies,522,272,175,0.35661764705882354,169,False,38|8f5ae3d81f|00684d52be
oddbench,BugSeverity,1023,228,193,0.15350877192982457,179,False,22|733e2e9cf9|8c32a7501e
oddbench,BuildingEnergyCompliance,957,110,107,0.02727272727272727,91,False,25|647e0e5196|c3dc38fa10
oddbench,BuildingInspections,2400,2935,1357,0.5376490630323679,446,False,5|3b188946d2|dd30716b7b
oddbench,BusStopPrior,2067,59,45,0.23728813559322035,40,False,6|97f127e5b2|ae7c2336e7
oddbench,BusTracking,693,314,199,0.3662420382165605,119,False,8|6b6c782e43|2f5914f2dd
oddbench,BusinessProcessFraud,1640,130,36,0.7230769230769231,35,False,7|67d3ab97cd|6886ac8f8c
oddbench,CarMakeAnomaly,2400,203,160,0.21182266009852216,134,False,4|454327b699|19f07ac182
oddbench,CasePriority,2400,270,210,0.2222222222222222,195,False,27|ba2d7680f2|56163424f5
oddbench,CellMorphology,624,76,15,0.8026315789473685,12,False,14|e6ed21ede0|a934f31a37
oddbench,CityTreeCondition,462,73,60,0.1780821917808219,58,False,10|ec38980af0|5542d18113
oddbench,CodeSmell,715,380,329,0.13421052631578947,280,False,6|13a4fccf5f|6cc49c2d92
oddbench,CodeStrata,700,47,34,0.2765957446808511,33,False,4|63e2b6d8b0|a4c80b4a06
oddbench,CourseRegistration,2400,2225,2191,0.015280898876404495,301,False,5|8919abf7a8|16431e2c66
oddbench,CrimeFraudDetection,2400,1039,0,1.0,0,False,10|fcaaedfe1a|0c5c19b9d1
oddbench,CybersecurityVulnerability,2400,3371,310,0.9080391575200237,22,False,6|29a6c95c44|d4a43655ce
oddbench,DallasShelterOutcomes,2197,49,2,0.9591836734693877,2,False,13|0e0bc5a337|7dceea3c15
oddbench,DeveloperSurvey,1299,119,96,0.19327731092436976,82,False,5|b3562a50f7|ac0dd86595
oddbench,DiamondClarity,2400,1327,1211,0.08741522230595328,282,False,10|cff8007749|318c2c89d5
oddbench,DragonFlySystem,2400,5186,4753,0.08349402236791362,83,False,4|cc71273146|cc97019526
