corpus,dataset,n_norm,n_anom,n_hard,frac_triv,n_eff,point_anom,fp
ovrbench,BusinessAnomalies,2400,1988,857,0.5689134808853119,581,False,5|60446e6355|0ef38d6b6f
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,2362,1432,718,0.49860335195530725,563,False,16|a29a83258c|1b5d98eb39
ovrbench,FakeNewsPropagation,2400,2816,1953,0.3064630681818182,544,False,11|6bf31891df|39d0a763ee
adbench,22_magic.gamma,2400,6688,3896,0.41746411483253587,544,False,10|4a09881ea8|575fcaf511
ovrbench,guillermo,2400,1327,1327,0.0,528,False,4279|6845f7fa76|8666a05398
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,2508,1944,1131,0.4182098765432099,528,False,16|7f9003e9e1|aad1baee0f
ovrbench,philippine,1167,720,720,0.0,528,False,308|2cbad32ec2|eceeb04063
ovrbench,FinancialTransaction4,2400,2093,1830,0.12565695174390826,524,False,7|ec103426f2|16d630f475
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,2306,1958,1213,0.3804902962206333,523,False,16|9212c2d686|95d1332162
ovrbench,SpectralImaging,2400,6422,3209,0.5003114294612271,522,False,60|fb901137f9|e698d0a683
oddbench,BarExamPrediction,2400,1038,779,0.24951830443159922,521,False,10|cd9649be5d|20282d5bbb
ovrbench,SolarFlare,2400,11673,6688,0.4270538850338388,520,False,15|9edbade8ac|05133c7e50
ovrbench,ailerons,2400,1832,1203,0.3433406113537118,516,False,28|28bd355556|f6a3ba98c8
oddbench,FinancialTransactionAnomalies,2400,1929,1826,0.05339554173146708,514,False,5|31baa81362|64f37082d8
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,7314,1908,1808,0.05241090146750524,514,False,16|7f4755bf7f|04c2e40026
oddbench,SalesOrderPriority,2400,3932,3343,0.14979654120040692,513,False,7|8f71713ba9|609603e272
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,2593,1723,708,0.5890887986070806,510,False,16|88d7b2aec2|38a9e0cc56
ovrbench,NeuroSignalEEG,2400,14578,12945,0.11201810948003842,508,False,12|e839496a0d|5b7eab660a
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,2636,1468,747,0.49114441416893734,506,False,16|ff46ecfcf2|58581c5d67
ovrbench,EEGEyeState,2400,1133,1013,0.1059135039717564,506,False,14|137927a240|2613638929
ovrbench,AmazonReviewAnomalies,2400,1564,739,0.5274936061381074,503,False,3|25a1b6fbf5|4e508188da
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,2359,2556,1182,0.5375586854460094,503,False,16|204617619e|0eeccb6890
ovrbench,jannis,2400,7706,7249,0.059304438100181676,503,False,54|fe8fcb6a45|c12323b8a3
ovrbench,sf-police-incidents,2400,269319,253721,0.057916448523869464,501,False,5|c9f429b3d6|9bb3bfa55e
ovrbench,CreditCustomerData,2400,1368,1303,0.04751461988304093,498,False,7|7a1f554889|90634a2339
ovrbench,CelestialObjects2,2400,9069,1347,0.8514720476347999,497,False,14|95e7258530|86908407fc
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,1757,1167,1007,0.13710368466152528,496,False,16|37feb419f7|4972c8e1ff
oddbench,TBAnomalyDetection,2400,2079,1541,0.2587782587782588,496,False,3|ee1d64fdd5|684ff1680d
ovrbench,PsychoPrediction,2400,14736,13651,0.07362920738327905,495,False,3|448f877cad|9d1b17d59f
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,1283,1072,977,0.08861940298507463,493,False,16|b71bbbec8a|e268dbf4f2
ovrbench,CustomerChurn2,2400,1027,941,0.08373904576436222,487,False,5|18b77bfe9f|ca8e150c5d
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,2647,1322,615,0.5347957639939486,487,False,16|f88879d6c5|5d11fd7d22
ovrbench,FinancialMetricsAnomaly,1568,875,733,0.16228571428571428,486,False,23|b2eebbd2b4|6d3ab4d133
ovrbench,CardiacHealth,2400,5247,3466,0.33943205641318847,486,False,5|4d6b8eeb73|8a95aad41e
ovrbench,SensorAnomaly,2400,1248,1094,0.1233974358974359,484,False,10|cba95a35b0|e0055e9376
ovrbench,BCellImmunity,2400,699,559,0.20028612303290416,484,False,10|90aca6a6c6|97d0bde94b
oddbench,HealthPulse,2400,863,812,0.05909617612977984,483,False,28|c5f14a097e|c0d06c5154
oddbench,PropertyCondition,2400,5152,4886,0.051630434782608696,483,False,7|e3bf51bf24|004525e993
ovrbench,HealthActivityObesity,2400,3730,3539,0.05120643431635389,482,False,6|2ffcb7c029|315aebd162
oddbench,TransactionFeeAnomalies,2400,966,941,0.025879917184265012,481,False,3|cb1d74298f|b28d3305b9
ovrbench,TwitterEmotion,1192,670,582,0.13134328358208955,480,False,13|b57a957e70|9c0d747bf3
ovrbench,FootballEfficiency,2400,1049,808,0.22974261201143947,479,False,6|6c1c0e698f|e93b9573e2
ovrbench,BoundingBoxClassification,2400,15088,2131,0.8587619300106044,479,False,4|fdd81e067e|c5abc44f01
ovrbench,malware-analysis-datasets-pe-section-hea,2400,1725,1636,0.051594202898550726,476,False,4|67234439b4|b4a0f751e7
oddbench,GeneticVariation,1831,1440,959,0.33402777777777776,475,False,6|62380386af|bc03bba8d8
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,4633,1848,1687,0.08712121212121213,472,False,136|3babbe331d|dcb17f44a5
adbench,35_SpamBase,1012,1679,1679,0.0,471,False,57|c77cdf9579|f1f90a5f0c
dami,SpamBase,1012,1679,1679,0.0,470,False,57|d84b0b4c54|0b1606830c
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,2419,2175,1811,0.16735632183908045,467,False,16|0f30432f2a|a12cbb8751
oddbench,ProsperLoan,2400,3035,2839,0.06457990115321252,462,False,33|32b3994528|6220556e71
ovrbench,JobChangePatterns,2400,2864,2712,0.05307262569832402,455,False,3|272a61a6e2|65b768a7e7
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,5447,723,673,0.06915629322268327,455,False,16|08ccebc5db|5e20546b73
ovrbench,TrafficSensor,2400,3844,672,0.8251821019771072,451,False,9|660832c603|299cd8b264
ovrbench,PokemonBattle,2400,1214,1045,0.13920922570016475,450,False,12|7680a24e83|a29502e5a1
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,3430,927,691,0.2545846817691478,448,False,16|a7709dd9f8|01c99f869e
ovrbench,RealEstateListings,2400,4730,4318,0.08710359408033827,446,False,6|677241f2ec|4d382aaae5
oddbench,BuildingInspections,2400,2935,1357,0.5376490630323679,446,False,5|3b188946d2|dd30716b7b
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,4824,1828,1193,0.3473741794310722,445,False,16|b3afad6ce1|a16442fb20
ovrbench,ViralProteinFunction,2400,12500,9441,0.24472,442,False,3|197a0d681d|d1775c3a8e
ovrbench,GeotechnicalAnomalies,1695,963,867,0.09968847352024922,439,False,6|f2de5ad006|4dbdcadc5c
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,2732,1385,794,0.42671480144404333,434,False,16|6563fa3f1f|558f93cb6f
oddbench,ProtestViolence,2400,2686,1764,0.3432613551749814,434,False,7|dc32ccb551|225769a6a0
ovrbench,BreastCancer,1364,616,488,0.2077922077922078,434,False,4|22c1ff6d1e|c2128305f6
ovrbench,UserMovieInteractions,2400,5503,5122,0.06923496274759222,432,False,17|03800590ad|9935042533
ovrbench,Word2VecPCA,2400,1496,1429,0.04478609625668449,431,False,3|a2e58e6b3f|42665341d9
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,2674,759,487,0.3583662714097497,425,False,16|af52cf881f|20f91c74a4
ovrbench,TextAnomalyDetection,2400,2011,1902,0.05420188960716062,424,False,9|c3bbd245f4|6ff2d075c6
ovrbench,BNG(cmc),2400,4574,4336,0.05203323130738959,421,False,2|4ce842962f|1e06cc7f78
oddbench,GlobalTerrorismAttack,2400,6999,6533,0.0665809401343049,415,False,5|35f1e9b820|8b091d5a44
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,6095,622,498,0.19935691318327975,412,False,16|f46167d750|a746e84ab3
ovrbench,FICO-HELOC-cleaned,2055,846,802,0.05200945626477541,411,False,21|f9363c62d1|f1fe2e0094
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,944,1405,479,0.6590747330960854,411,False,16|18b41b96f3|28cfba3a61
oddbench,TrialBehavior,2400,1034,954,0.07736943907156674,409,False,3|1519f54297|d4c5d36381
ovrbench,compass,2400,1425,1329,0.06736842105263158,407,False,9|26e8aa9927|d528eeb1f1
ovrbench,KickstarterCampaigns,2400,31296,13462,0.56984918200409,405,False,5|d6f53ef141|8264feb246
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,2170,1745,1745,0.0,404,False,200|48c8fcb34d|25e08e4ab5
