corpus,dataset,n_norm,n_hard,frac_triv,fp,n_eff,eff_frac
oddbench,AquaticMacroInverts,833,458,0.023454157782515993,23|e3fe7ff184|18ad3d803e,222,0.4847161572052402
oddbench,ArchaeologicalAnomalies,402,116,0.01694915254237288,3|9c21070bc0|69c4b13bfa,68,0.5862068965517241
oddbench,ArtCollections,2400,98,0.057692307692307696,3|95d4ffb6b3|cee024a579,50,0.5102040816326531
oddbench,ArtSalesPlatform,2400,450,0.09090909090909091,4|bd4ee9b9f9|d884ae597a,233,0.5177777777777778
oddbench,AttackIncidents,1803,547,0.005454545454545455,6|f6d8fac96d|c317a43d71,377,0.6892138939670932
oddbench,AustinCrime,1857,150,0.2647058823529412,4|56f3362f96|d2c018b31f,143,0.9533333333333334
oddbench,AxieInfinityBug,2400,315,0.05120481927710843,8|2ac85378dc|4f111cbba3,188,0.5968253968253968
oddbench,BarExamPrediction,2400,1014,0.023121387283236993,10|cd9649be5d|20282d5bbb,535,0.5276134122287969
oddbench,BaseballBattedBall,677,83,0.12631578947368421,8|a4a98266d6|b562588493,73,0.8795180722891566
oddbench,BaseballPitchingAnomalies,522,272,0.0,38|8f5ae3d81f|00684d52be,258,0.9485294117647058
oddbench,BugSeverity,1023,209,0.08333333333333333,22|733e2e9cf9|8c32a7501e,195,0.9330143540669856
oddbench,BuildingEnergyCompliance,957,110,0.0,25|647e0e5196|c3dc38fa10,94,0.8545454545454545
oddbench,BuildingInspections,2400,1426,0.5141396933560477,5|3b188946d2|dd30716b7b,441,0.30925666199158486
oddbench,BusStopPrior,2067,53,0.1016949152542373,6|97f127e5b2|ae7c2336e7,45,0.8490566037735849
oddbench,BusTracking,693,202,0.35668789808917195,8|6b6c782e43|2f5914f2dd,122,0.6039603960396039
oddbench,BusinessProcessFraud,1640,37,0.7153846153846154,7|67d3ab97cd|6886ac8f8c,36,0.972972972972973
oddbench,CarMakeAnomaly,2400,171,0.15763546798029557,4|454327b699|19f07ac182,132,0.7719298245614035
oddbench,CasePriority,2400,264,0.022222222222222223,27|ba2d7680f2|56163424f5,246,0.9318181818181818
oddbench,CellMorphology,624,16,0.7894736842105263,14|e6ed21ede0|a934f31a37,12,0.75
oddbench,CityTreeCondition,462,69,0.0547945205479452,10|ec38980af0|5542d18113,66,0.9565217391304348
oddbench,CodeSmell,715,364,0.042105263157894736,6|13a4fccf5f|6cc49c2d92,307,0.8434065934065934
oddbench,CodeStrata,700,37,0.2127659574468085,4|63e2b6d8b0|a4c80b4a06,36,0.972972972972973
oddbench,CourseRegistration,2400,2202,0.010337078651685393,5|8919abf7a8|16431e2c66,288,0.1307901907356948
oddbench,CrimeFraudDetection,2400,0,1.0,10|fcaaedfe1a|0c5c19b9d1,0,1.0
oddbench,CybersecurityVulnerability,2400,3370,0.0002966478789676654,6|29a6c95c44|d4a43655ce,30,0.008902077151335312
oddbench,DallasShelterOutcomes,2197,2,0.9591836734693877,13|0e0bc5a337|7dceea3c15,2,1.0
oddbench,DeveloperSurvey,1299,119,0.0,5|b3562a50f7|ac0dd86595,102,0.8571428571428571
oddbench,DiamondClarity,2400,1241,0.06480783722682742,10|cff8007749|318c2c89d5,263,0.2119258662369057
oddbench,DragonFlySystem,2400,4893,0.056498264558426534,4|cc71273146|cc97019526,91,0.01859799713876967
oddbench,ElectionVoterLists,1513,0,1.0,6|6ffe57cc92|e11ae55e81,0,1.0
oddbench,EmailSpamDetection,965,481,0.0,72|a1efd02705|4858ce8105,402,0.8357588357588358
oddbench,EnvironmentalConcernSurvey,692,457,0.002183406113537118,5|c301433e66|a2de16761b,393,0.8599562363238512
oddbench,EpidemiologyCases,1923,7,0.7586206896551724,4|679f74d2f7|1bb5be66e5,7,1.0
oddbench,EventOutcome,1078,19,0.13636363636363635,3|7e30a2d010|b3a2f6cada,18,0.9473684210526315
oddbench,ExamPerformance,360,0,1.0,4|60bb6d2d09|1dec6e5909,0,1.0
oddbench,FantasyFootball,942,703,0.012640449438202247,10|3c42523b17|c9419a2e98,378,0.5376955903271693
oddbench,FinancialTransactionAnomalies,2400,1929,0.0,5|31baa81362|64f37082d8,462,0.23950233281493002
oddbench,FishingAnomalies,2400,476,0.018556701030927835,3|90d079a1dc|353737b4cf,135,0.28361344537815125
oddbench,FraudEventLog,2400,112,0.5851851851851851,3|b414744274|680ed988e2,79,0.7053571428571429
oddbench,GPUPowerProfile,395,20,0.0,7|d57dcea665|ce13a88b3c,10,0.5
oddbench,GPUResourceUsage,2400,1094,0.01618705035971223,4|0182ef39ce|afe2cdc64b,246,0.22486288848263253
oddbench,GeneticAnalysis,2222,252,0.14864864864864866,5|eaffda0632|a682572f4d,199,0.7896825396825397
oddbench,GeneticVariation,1831,1430,0.006944444444444444,6|62380386af|bc03bba8d8,424,0.2965034965034965
oddbench,GenomicSequencing,1002,117,0.0,10|872bcdebd1|3908a5190c,106,0.905982905982906
oddbench,GeospatialInvestigation,428,171,0.03932584269662921,5|1c8a3c97f8|96c9183724,115,0.672514619883041
oddbench,GlobalTerrorismAttack,2400,6997,0.00028575510787255323,5|35f1e9b820|8b091d5a44,374,0.053451479205373735
oddbench,GroceryErrorDept,1756,86,0.47878787878787876,3|aced6e2a31|76c73ff72b,65,0.7558139534883721
oddbench,HealthBehavior,1918,307,0.21683673469387754,6|286157d605|27543e6d45,279,0.9087947882736156
oddbench,HealthPulse,2400,846,0.019698725376593278,28|c5f14a097e|c0d06c5154,459,0.5425531914893617
oddbench,HeatVulnerability,2400,750,0.6800341296928327,6|fd388e9a0d|1c8d7901aa,35,0.04666666666666667
oddbench,HomicideCircumstance,978,45,0.0,7|488eadb629|35c377525b,42,0.9333333333333333
oddbench,HospitalReadmissions,2212,33,0.1951219512195122,7|a5de7848d8|4e272c9bee,33,1.0
oddbench,HousePriceSales,480,101,0.0,23|a6249e6688|eb0846c88e,98,0.9702970297029703
oddbench,HumanObjectInteraction,655,216,0.3186119873817035,5|9dfded7d93|c58aafa0c5,202,0.9351851851851852
oddbench,HumanRobotCollaboration,2400,1789,0.04992033988316516,3|0515b43795|f412a5d928,250,0.13974287311347122
oddbench,HurricaneTracks,1748,32,0.0,7|ebb5c9608e|b3a832f153,20,0.625
oddbench,LandRarity,1122,309,0.18253968253968253,7|9e2498084d|019b62a332,178,0.5760517799352751
oddbench,LandShapeAnomaly,1419,412,0.15918367346938775,11|f05318ca37|2247ecbdc6,377,0.9150485436893204
oddbench,MedicalClassificationAnomalies,2400,19,0.9907901114881241,4|85a0c13133|e8f2318e63,15,0.7894736842105263
oddbench,MouseInteractionPhase,2400,3246,0.0,5|ecde4a8bf5|ebd00ddcfb,287,0.08841651263093038
oddbench,MusicGenreAnomaly,730,13,0.59375,13|0bed18c399|d50e662fd7,9,0.6923076923076923
oddbench,NavigationBugReport,422,0,1.0,8|a3ed383dda|cab6fa4c1a,0,1.0
oddbench,NetworkFlowAnomalies,1931,0,1.0,6|3032b3be63|678aae9e71,0,1.0
oddbench,OkCupidUserBehavior,1130,385,0.07228915662650602,4|c27bf6fe81|cc5ec83a0b,341,0.8857142857142857
oddbench,PTENPhosphatase,2400,0,1.0,18|054b427efb|1b4c244cc8,0,1.0
oddbench,PatientStatusTracking,1363,29,0.06451612903225806,6|cd87e1f7f8|028e63380d,29,1.0
oddbench,PoliceArrestFraud,491,19,0.05,3|c440ac3220|a3e61c404e,16,0.8421052631578947
oddbench,PoliceForceDisturbance,2400,2128,0.008849557522123894,18|7476a628c5|6065ff1d62,298,0.1400375939849624
oddbench,ProductionRunStatus,2400,900,0.0196078431372549,7|fb68a32570|f97fcf52cf,69,0.07666666666666666
oddbench,ProgrammingAnomalies,2400,245,0.0959409594095941,6|c0fc239de0|3bde561bcb,154,0.6285714285714286
oddbench,PropertyCondition,2400,5139,0.0025232919254658385,7|e3bf51bf24|004525e993,449,0.08737108386845689
oddbench,ProsperLoan,2400,2949,0.028336079077429983,33|32b3994528|6220556e71,434,0.14716853170566294
oddbench,ProteinCodonAnalysis,2400,213,0.004672897196261682,14|70697b741b|2d23e970d3,13,0.06103286384976526
oddbench,ProtestViolence,2400,1925,0.28332092330603126,7|dc32ccb551|225769a6a0,416,0.2161038961038961
