key,truefam,cs,reg_p1,reg_pe,lev,reg_em,reg_mv,reg_consensus,reg_mc,reg_hits,reg_beta1,reg_random,reg_matched,reg_corr_str,reg_combined
ovrbench__BusinessAnomalies,global,0.0160689450980863,0.3063518571480667,0.015105232729776985,-0.2377687500000002,0.015105232729776985,0.0639698361618426,0.0639698361618426,0.0639698361618426,0.0639698361618426,0.3063518571480667,0.12395018254092552,0.015105232729776985,0.015105232729776985,0.015105232729776985
ovrbench__ailerons,global,0.4127644068748578,0.33907662071118927,0.0337250942249816,-0.0507833333333334,0.23488617172869994,0.23488617172869994,0.20791432607433352,0.20791432607433352,0.20791432607433352,0.33907662071118927,0.20570288459729563,0.33907662071118927,0.33907662071118927,0.33907662071118927
ovrbench__CreditCustomerData,local,0.1447719826080971,0.07169859167891504,0.023197314038262605,-0.2791958333333334,0.1256875576616438,0.1256875576616438,0.0515010085234083,0.0515010085234083,0.0515010085234083,0.07169859167891504,0.07782602300201004,0.023197314038262605,0.023197314038262605,0.023197314038262605
oddbench__HealthPulse,local,0.1711989089709796,0.04482608549739024,0.04482608549739024,-0.09112916666666648,0.04482608549739024,0.04482608549739024,0.04916281068220886,0.04916281068220886,0.10252022749969139,0.04482608549739024,0.06513470853342401,0.04482608549739024,0.04482608549739024,0.04482608549739024
oddbench__ProsperLoan,local,0.18671069033573,0.12943399101606548,0.08500843174921305,-0.09305416666666666,0.05691952892326326,0.05691952892326326,0.055093151948563845,0.055093151948563845,0.09637996590289599,0.12943399101606548,0.06817987198199973,0.12943399101606548,0.12943399101606548,0.12943399101606548
oddbench__ProtestViolence,global,0.0559415703063578,0.8926216749462192,0.8926216749462192,0.0,0.35737089474951605,0.650682099895753,0.4812310731624952,0.4812310731624952,0.4812310731624952,0.8926216749462192,0.6773391063621335,0.8926216749462192,0.8926216749462192,0.8926216749462192
ovrbench__compass,local,0.0691976668294035,0.19389962406506345,0.16693384643937728,-0.11936249999999993,0.16305426443768084,0.16305426443768084,0.1653268874504332,0.1653268874504332,0.16305426443768084,0.19389962406506345,0.118401679974899,0.19389962406506345,0.16693384643937728,0.19389962406506345
ovrbench__PhysicsTraining,local,0.0962116359651826,0.14372378019105078,0.14372378019105078,-0.06177916666666661,0.1470667580733509,0.1470667580733509,0.21511196916382294,0.21511196916382294,0.21511196916382294,0.14372378019105078,0.12347389941652576,0.14372378019105078,0.14372378019105078,0.14372378019105078
ovrbench__XSSDetection,global,0.0442529516993221,0.6609194456633171,0.6609194456633171,-0.04661666666666664,0.0583345731254688,0.0583345731254688,0.22154032035313018,0.22154032035313018,0.22154032035313018,0.6609194456633171,0.49555770181891995,0.6609194456633171,0.6609194456633171,0.6609194456633171
tsbad_m__107_SVDB_id_24_Medical_tr_32805_1st_,local,,0.059516307187905265,0.07056480519990072,-0.006451612903225823,0.07056480519990072,0.07056480519990072,0.11917500708587131,0.11917500708587131,0.11917500708587131,0.059516307187905265,0.1033372416479531,0.059516307187905265,0.07056480519990072,0.059516307187905265
tsbad_m__172_SWaT_id_2_Sensor_tr_23700_1st_23,local,,0.0,0.0,1.0647359455218108e-06,0.574056740056316,0.574056740056316,0.5084293599120614,0.5084293599120614,0.5084293599120614,0.0,0.3867879444661181,0.0,0.0,0.0
oddbench__AxieInfinityBug,global,0.1204693505633004,0.0,0.32135270375180863,-0.07648333333333335,0.32135270375180863,0.0,0.4929426705114949,0.4929426705114949,0.47573558560071894,0.0,0.4298685994399723,0.0,0.32135270375180863,0.0
ovrbench__students_dropout_and_academic_succes,local,,0.05496988102644537,0.02370285537290942,-0.14532805429864248,0.02370285537290942,0.02370285537290942,0.1252000566471106,0.1252000566471106,0.1252000566471106,0.05496988102644537,0.12461151938349574,0.02370285537290942,0.02370285537290942,0.02370285537290942
tsbad_m__108_SVDB_id_25_Medical_tr_1238_1st_1,local,,0.04498254810432617,0.02231431249649307,-0.05717002237136448,0.026144550792301796,0.044387123593081945,0.04353639212921387,0.04353639212921387,0.04353639212921387,0.04498254810432617,0.08903435416479967,0.04498254810432617,0.02231431249649307,0.04498254810432617
tsbad_m__138_CATSv2_id_1_Sensor_tr_16568_1st_,local,,0.1553184957322803,0.1553184957322803,-0.0065084473049076275,0.6543493600282124,0.6543493600282124,0.6617306399787652,0.6617306399787652,0.6617306399787652,0.1553184957322803,0.3170546591282085,0.1553184957322803,0.1553184957322803,0.1553184957322803
ovrbench__FinancialTransaction4,local,0.1360946969557895,0.033111716760047094,0.06871183704619038,-0.07111041666666651,0.1770455293626083,0.06871183704619038,0.1947668233073424,0.1947668233073424,0.1947668233073424,0.033111716760047094,0.1975589092287645,0.033111716760047094,0.06871183704619038,0.033111716760047094
ovrbench__EEGEyeState,local,0.6378743230015201,0.029664701215801337,0.029664701215801337,-0.005600000000000049,0.08859890419409489,0.08859890419409489,0.7342004983452194,0.7342004983452194,0.7962198814175937,0.029664701215801337,0.6071675219273205,0.029664701215801337,0.029664701215801337,0.029664701215801337
tsbad_m__101_SVDB_id_18_Medical_tr_1851_1st_1,local,,0.0,0.0,-0.011890599001664004,0.09992223164363015,0.09992223164363015,0.1096389640187968,0.1096389640187968,0.1096389640187968,0.0,0.09501406794323752,0.0,0.0,0.0
oddbench__GeneticVariation,global,0.0962354163301524,0.36440167764807335,0.1395085003494536,-0.19701366120218589,0.18516297746298643,0.18516297746298643,0.14303319802277437,0.14303319802277437,0.02322671552556521,0.36440167764807335,0.16804699819125474,0.1395085003494536,0.1395085003494536,0.1395085003494536
oddbench__BuildingInspections,global,0.1261151649311724,0.39502413776716994,0.39502413776716994,-0.17672083333333344,0.18078577039493032,0.36126140586000055,0.3379957960398084,0.3379957960398084,0.39502413776716994,0.39502413776716994,0.24293029072517763,0.39502413776716994,0.39502413776716994,0.39502413776716994
oddbench__GlobalTerrorismAttack,global,0.0484205853574048,0.42885518153955393,0.3192123751372002,-0.20342083333333327,0.5044913043219371,0.5044913043219371,0.4118974332978751,0.4118974332978751,0.4557802708864921,0.42885518153955393,0.36569735142110793,0.3192123751372002,0.3192123751372002,0.3192123751372002
oddbench__WaterChemistry,local,0.4256043998188074,0.45888126043905975,0.45888126043905975,-0.0028794266441820593,0.45888126043905975,0.45888126043905975,0.4514889331582289,0.4514889331582289,0.4514889331582289,0.45888126043905975,0.472773797515298,0.45888126043905975,0.45888126043905975,0.45888126043905975
tsbad_m__096_SVDB_id_13_Medical_tr_500_1st_44,local,,0.045708091700189774,0.042177322015911844,-0.010114704776231664,0.042177322015911844,0.042177322015911844,0.1828911731860798,0.1828911731860798,0.1828911731860798,0.045708091700189774,0.12375278644435891,0.045708091700189774,0.042177322015911844,0.045708091700189774
tsbad_m__095_SVDB_id_12_Medical_tr_6264_1st_6,local,,0.014336805530127283,0.06850798745478037,-0.004693457943925172,0.06850798745478037,0.06850798745478037,0.1315627588490435,0.1315627588490435,0.1315627588490435,0.014336805530127283,0.1003774030649538,0.014336805530127283,0.06850798745478037,0.014336805530127283
oddbench__SalesPerformance,global,0.1806365963739526,0.30404855153704524,0.30404855153704524,-0.12046401515151517,0.30404855153704524,0.30404855153704524,0.2901334062468242,0.2901334062468242,0.2901334062468242,0.30404855153704524,0.22194287646676422,0.30404855153704524,0.30404855153704524,0.30404855153704524
tsbad_m__103_SVDB_id_20_Medical_tr_12167_1st_,local,,0.0258490885597035,0.014396493820877355,-0.005415617128463501,0.04559613793034546,0.04559613793034546,0.0746952494638893,0.0746952494638893,0.0734327019075496,0.0258490885597035,0.0551853775106285,0.0258490885597035,0.014396493820877355,0.0258490885597035
oddbench__CasePriority,local,0.705801649399001,0.29928762700888545,0.29928762700888545,-0.0021541666666666792,0.6491446749036758,0.7806061529119344,0.6648736795980181,0.6648736795980181,0.6648736795980181,0.29928762700888545,0.7434730825629507,0.29928762700888545,0.29928762700888545,0.29928762700888545
oddbench__ProgrammingAnomalies,local,0.1856944976728788,0.22863552868975953,0.2487120041114002,-0.20480416666666668,0.25194591958550105,0.24451173488903363,0.2595766372085967,0.2595766372085967,0.2595766372085967,0.22863552868975953,0.1914597323963152,0.2487120041114002,0.22863552868975953,0.22863552868975953
oddbench__RealEstateProperties,local,0.2885515495591698,0.050196983344185195,0.050196983344185195,-0.21768333333333334,0.03640291992202227,0.03640291992202227,0.03266593142432281,0.03266593142432281,0.03266593142432281,0.050196983344185195,0.08126594941338382,0.050196983344185195,0.050196983344185195,0.050196983344185195
adbench__22_magic.gamma,local,0.3621514068280739,0.008959106979815057,0.05597714339529525,-0.08872916666666653,0.03668112896304221,0.05597714339529525,0.25029841575447176,0.25029841575447176,0.25029841575447176,0.008959106979815057,0.29260762301555643,0.008959106979815057,0.008959106979815057,0.008959106979815057
