corpus,dataset,n_norm,n_hard,frac_triv,fp,n_eff,eff_frac
ovrbench,sf-police-incidents,2400,269319,0.0,5|c9f429b3d6|9bb3bfa55e,469,0.001741429308737965
ovrbench,PsychoPrediction,2400,14247,0.033184039087947884,3|448f877cad|9d1b17d59f,470,0.03298940127746192
ovrbench,KickstarterCampaigns,2400,14156,0.5476738241308794,5|d6f53ef141|8264feb246,401,0.028327211076575303
ovrbench,NeuroSignalEEG,2400,13539,0.07127177939360681,12|e839496a0d|5b7eab660a,460,0.03397592141221656
ovrbench,ViralProteinFunction,2400,9850,0.212,3|197a0d681d|d1775c3a8e,418,0.04243654822335025
ovrbench,jannis,2400,7480,0.029327796522190502,54|fe8fcb6a45|c12323b8a3,478,0.06390374331550802
ovrbench,SolarFlare,2400,7201,0.38310631371541165,15|9edbade8ac|05133c7e50,490,0.0680461047076795
oddbench,GlobalTerrorismAttack,2400,6997,0.00028575510787255323,5|35f1e9b820|8b091d5a44,374,0.053451479205373735
ovrbench,EmployeePerformance,2400,6974,0.16539013882240305,4|49ae84ef08|05ee725652,353,0.050616575853168914
ovrbench,CreditScoringAnomalies,2400,6297,0.040822543792840824,41|b780b9fe2c|4c30e640e0,305,0.048435763061775446
ovrbench,XSSDetection,2400,5628,0.06990580069410014,56|e74676e78a|ba5fa3195e,350,0.06218905472636816
ovrbench,UserMovieInteractions,2400,5468,0.006360167181537343,17|03800590ad|9935042533,414,0.07571324067300658
oddbench,PropertyCondition,2400,5139,0.0025232919254658385,7|e3bf51bf24|004525e993,449,0.08737108386845689
oddbench,DragonFlySystem,2400,4893,0.056498264558426534,4|cc71273146|cc97019526,91,0.01859799713876967
ovrbench,SpectralImaging,2400,4870,0.24166926191217689,60|fb901137f9|e698d0a683,487,0.1
adbench,22_magic.gamma,2400,4574,0.3160885167464115,10|4a09881ea8|575fcaf511,545,0.11915172715347618
ovrbench,RealEstateListings,2400,4426,0.06427061310782241,6|677241f2ec|4d382aaae5,429,0.09692724807953004
ovrbench,BNG(cmc),2400,4412,0.03541757761259292,2|4ce842962f|1e06cc7f78,386,0.08748866727107887
ovrbench,BoundingBoxClassification,2400,3989,0.7356177094379639,4|fdd81e067e|c5abc44f01,503,0.12609676610679368
ovrbench,FireRiskAnalysis,2400,3794,0.006546216286986122,15|6f7e704823|c6601d31e8,356,0.09383236689509752
ovrbench,CardiacHealth,2400,3686,0.2975033352391843,5|4d6b8eeb73|8a95aad41e,441,0.11964188822571893
ovrbench,PhysicsTraining,2400,3625,0.11151960784313726,49|0aae4229d1|35044d6706,387,0.10675862068965518
