corpus,dataset,truefam,reg_binary,reg_maxdisagree,reg_alpha_localev,reg_bestalpha_oracle
ovrbench,BusinessAnomalies,global,0.0,0.0,0.04070414311360049,0.0
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,global,0.007488929443102921,0.007488929443102921,0.021178439462648357,0.007488929443102921
ovrbench,FakeNewsPropagation,global,0.10977555763810415,0.09748967357921567,0.09748967357921567,0.087826610457798
adbench,22_magic.gamma,local,0.0,0.0,0.0,0.0
ovrbench,guillermo,global,0.034929822679396774,0.034929822679396774,0.034929822679396774,0.01100196758845292
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,local,0.007849540356906881,0.007849540356906881,0.059032547217530984,0.007849540356906881
ovrbench,philippine,global,0.3356601668011946,0.3356601668011946,0.3356601668011946,0.0
ovrbench,FinancialTransaction4,local,0.04699110965365036,0.04699110965365036,0.06868070171175361,0.04699110965365036
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,global,0.022357361982763987,0.022357361982763987,0.053284639343177856,0.022357361982763987
ovrbench,SpectralImaging,global,0.0,0.0,0.0,0.0
oddbench,BarExamPrediction,global,0.11605912800275237,0.11605912800275237,0.11605912800275237,0.11605912800275237
ovrbench,SolarFlare,local,0.0,0.0,0.0,0.0
ovrbench,ailerons,global,0.03281749126256239,0.03281749126256239,0.03281749126256239,0.0
oddbench,FinancialTransactionAnomalies,global,0.07402425089559533,0.07402425089559533,0.0,0.0
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,local,0.008038484497812914,0.008038484497812914,0.008038484497812914,0.0
oddbench,SalesOrderPriority,local,0.0,0.0,0.23686090379496094,0.0
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,local,0.0,0.0,0.0,0.0
ovrbench,NeuroSignalEEG,global,0.0,0.0,0.0,0.0
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,global,0.03534191513497904,0.03534191513497904,0.03534191513497904,0.030360440699171903
ovrbench,EEGEyeState,local,0.08857232734785025,0.02972444165566268,0.02972444165566268,0.02972444165566268
ovrbench,AmazonReviewAnomalies,global,0.07709368382899112,0.10380966758944882,0.1633976560313682,0.07709368382899112
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,local,0.0,0.0,0.0,0.0
ovrbench,jannis,global,0.1803917761602114,0.1803917761602114,0.16040181514641721,0.004686960122897488
ovrbench,sf-police-incidents,local,0.10752747872454209,0.10752747872454209,0.10752747872454209,0.10752747872454209
ovrbench,CreditCustomerData,local,0.14384399454652974,0.14384399454652974,0.0368254249641354,0.035097879948763094
ovrbench,CelestialObjects2,global,0.22847990460546844,0.22847990460546844,0.22847990460546844,0.14382388785169553
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,local,0.023154072969982342,0.023154072969982342,0.023154072969982342,0.0
oddbench,TBAnomalyDetection,local,0.041944130511695765,0.13842240567195518,0.13842240567195518,0.041944130511695765
ovrbench,PsychoPrediction,global,0.039654551431732514,0.039654551431732514,0.039654551431732514,0.039654551431732514
