corpus,dataset,truefam,reg_binary,reg_maxdisagree,reg_alpha_localev,reg_bestalpha_oracle,mean_band_frac
ovrbench,BusinessAnomalies,global,0.0000,0.0000,0.0407,0.0000,0.528
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,global,0.0075,0.0075,0.0212,0.0075,0.836
ovrbench,FakeNewsPropagation,global,0.1098,0.0975,0.0975,0.0878,0.908
adbench,22_magic.gamma,local,0.0090,0.0090,0.0000,0.0000,0.925
ovrbench,guillermo,global,0.0349,0.0349,0.0349,0.0110,0.557
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,local,0.0590,0.0590,0.0590,0.0115,0.708
ovrbench,philippine,global,0.3357,0.3357,0.3357,0.0000,0.492
ovrbench,FinancialTransaction4,local,0.0331,0.0331,0.0687,0.0331,0.437
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,global,0.0224,0.0224,0.0533,0.0224,0.960
ovrbench,SpectralImaging,global,0.0000,0.0000,0.0000,0.0000,0.000
oddbench,BarExamPrediction,global,0.1161,0.1161,0.1161,0.0204,0.650
ovrbench,SolarFlare,local,0.0000,0.0000,0.0000,0.0000,0.744
ovrbench,ailerons,global,0.0328,0.0328,0.0328,0.0000,0.597
oddbench,FinancialTransactionAnomalies,global,0.0765,0.0765,0.0000,0.0000,0.722
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,local,0.0080,0.0080,0.0080,0.0000,0.757
oddbench,SalesOrderPriority,local,0.0000,0.0000,0.2369,0.0000,0.815
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,local,0.0000,0.0000,0.0000,0.0000,0.919
ovrbench,NeuroSignalEEG,global,0.0000,0.0000,0.0000,0.0000,0.355
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,global,0.0353,0.0353,0.0353,0.0304,0.874
ovrbench,EEGEyeState,local,0.0886,0.0000,0.0297,0.0000,0.636
ovrbench,AmazonReviewAnomalies,global,0.0463,0.0768,0.0768,0.0463,0.837
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,local,0.0000,0.0000,0.0452,0.0000,0.702
ovrbench,jannis,global,0.1804,0.1804,0.1604,0.0047,0.446
ovrbench,sf-police-incidents,local,0.1081,0.1081,0.1081,0.1081,0.604
ovrbench,CreditCustomerData,local,0.1438,0.1438,0.0368,0.0368,0.644
ovrbench,CelestialObjects2,global,0.2285,0.2285,0.2285,0.1438,0.564
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,local,0.0232,0.0232,0.0283,0.0000,0.877
oddbench,TBAnomalyDetection,local,0.2693,0.1384,0.1384,0.0580,0.453
ovrbench,PsychoPrediction,global,0.0425,0.0425,0.0425,0.0425,0.532
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,local,0.0118,0.0118,0.0056,0.0056,0.890
ovrbench,CustomerChurn2,local,0.2802,0.2802,0.1119,0.0975,0.196
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,local,0.0510,0.0510,0.0510,0.0100,0.959
ovrbench,FinancialMetricsAnomaly,global,0.0959,0.0959,0.1163,0.0959,0.666
ovrbench,CardiacHealth,local,0.0000,0.0000,0.0000,0.0000,0.587
ovrbench,SensorAnomaly,local,0.2241,0.2241,0.2241,0.2061,0.841
ovrbench,BCellImmunity,global,0.1115,0.1115,0.1115,0.1115,0.577
oddbench,HealthPulse,local,0.0069,0.0069,0.0000,0.0000,0.832
oddbench,PropertyCondition,local,0.2054,0.0951,0.2335,0.0951,0.397
ovrbench,HealthActivityObesity,local,0.0530,0.0530,0.0530,0.0530,0.959
oddbench,TransactionFeeAnomalies,local,0.5367,0.1955,0.1955,0.1955,0.593
ovrbench,TwitterEmotion,local,0.0928,0.0928,0.0928,0.0000,0.530
ovrbench,FootballEfficiency,local,0.0100,0.0100,0.0434,0.0100,0.688
ovrbench,BoundingBoxClassification,global,0.3484,0.3484,0.1188,0.1188,0.904
oddbench,GeneticVariation,global,0.3728,0.3728,0.2155,0.2155,0.000
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,global,0.1142,0.1142,0.1142,0.1090,0.408
adbench,35_SpamBase,global,0.4886,0.4886,0.4886,0.0027,0.468
dami,SpamBase,global,0.5340,0.5340,0.4637,0.0059,0.648
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,local,0.0000,0.0000,0.0000,0.0000,0.888
oddbench,ProsperLoan,local,0.0000,0.0000,0.0099,0.0000,0.008
ovrbench,JobChangePatterns,global,0.2389,0.3197,0.2389,0.2389,0.697
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,local,0.0000,0.0000,0.0030,0.0000,0.731
ovrbench,TrafficSensor,local,0.0563,0.0563,0.0000,0.0000,0.527
ovrbench,PokemonBattle,local,0.0902,0.0902,0.0947,0.0050,0.746
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,local,0.0337,0.0337,0.0289,0.0024,0.890
ovrbench,RealEstateListings,local,0.1440,0.1440,0.1606,0.0764,0.670
oddbench,BuildingInspections,global,0.1890,0.1890,0.0305,0.0000,0.547
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,local,0.0095,0.0095,0.0000,0.0000,0.765
ovrbench,ViralProteinFunction,local,0.2509,0.2509,0.1380,0.1380,0.770
ovrbench,GeotechnicalAnomalies,local,0.0665,0.0665,0.0020,0.0020,0.843
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,local,0.0210,0.0210,0.0210,0.0210,0.820
oddbench,ProtestViolence,global,0.8651,0.8651,0.8651,0.5522,0.417
ovrbench,BreastCancer,global,0.0000,0.0000,0.0000,0.0000,0.584
ovrbench,UserMovieInteractions,global,0.1543,0.3382,0.1543,0.1543,0.635
