corpus,dataset,edge_recall,hist_recall,hist_extra,fp_edge,fp_hist
ovrbench,sf-police-incidents,0.0,0.066,0.066,0.0,0.048
ovrbench,PsychoPrediction,0.047,0.054,0.053,0.049,0.05
ovrbench,KickstarterCampaigns,0.615,0.123,0.023,0.05,0.049
ovrbench,NeuroSignalEEG,0.07,0.146,0.139,0.047,0.043
ovrbench,ViralProteinFunction,0.267,0.12,0.03,0.049,0.05
ovrbench,jannis,0.0,0.038,0.038,0.0,0.025
ovrbench,SolarFlare,0.299,0.395,0.112,0.049,0.05
oddbench,GlobalTerrorismAttack,0.0,0.09,0.09,0.0,0.044
ovrbench,EmployeePerformance,0.257,0.029,0.007,0.05,0.049
ovrbench,CreditScoringAnomalies,0.04,0.032,0.017,0.047,0.041
ovrbench,XSSDetection,0.13,0.089,0.052,0.038,0.039
ovrbench,UserMovieInteractions,0.0,0.087,0.087,0.0,0.049
oddbench,PropertyCondition,0.0,0.056,0.056,0.0,0.049
ovrbench,SpectralImaging,0.0,0.552,0.552,0.0,0.04
adbench,22_magic.gamma,0.313,0.319,0.032,0.048,0.047
ovrbench,RealEstateListings,0.075,0.005,0.001,0.05,0.047
ovrbench,BNG(cmc),0.037,0.035,0.012,0.05,0.048
ovrbench,BoundingBoxClassification,0.631,0.763,0.136,0.049,0.043
ovrbench,FireRiskAnalysis,0.0,0.052,0.052,0.0,0.039
ovrbench,CardiacHealth,0.137,0.284,0.192,0.05,0.044
ovrbench,PhysicsTraining,0.0,0.145,0.145,0.0,0.045
ovrbench,HealthActivityObesity,0.042,0.034,0.012,0.05,0.048
oddbench,SalesOrderPriority,0.094,0.107,0.039,0.047,0.046
oddbench,MouseInteractionPhase,0.0,0.043,0.043,0.0,0.046
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,0.0,0.0,0.0,0.0,0.0
ovrbench,Run_or_walk_information,0.005,0.004,0.0,0.047,0.045
oddbench,ProsperLoan,0.0,0.059,0.059,0.0,0.041
ovrbench,JobChangePatterns,0.0,0.061,0.061,0.0,0.047
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,0.556,0.556,0.013,0.048,0.038
oddbench,CourseRegistration,0.0,0.011,0.011,0.049,0.048
oddbench,RacingMotion,0.0,0.647,0.647,0.0,0.047
oddbench,PoliceForceDisturbance,0.0,0.035,0.035,0.0,0.049
ovrbench,FakeNewsPropagation,0.225,0.235,0.044,0.05,0.048
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,0.223,0.209,0.022,0.049,0.049
ovrbench,WebpageSessionIntrusion,0.016,0.011,0.011,0.041,0.041
ovrbench,FinancialTransaction4,0.0,0.086,0.086,0.0,0.046
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,0.65,0.519,0.018,0.05,0.04
oddbench,FinancialTransactionAnomalies,0.0,0.053,0.053,0.0,0.049
oddbench,ProtestViolence,0.159,0.211,0.199,0.03,0.038
ovrbench,TextAnomalyDetection,0.041,0.055,0.026,0.049,0.047
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,0.077,0.069,0.029,0.048,0.043
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,0.0,0.125,0.125,0.0,0.031
oddbench,HumanRobotCollaboration,0.045,0.057,0.049,0.05,0.049
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,0.316,0.0,0.0,0.043,0.0
oddbench,TBAnomalyDetection,0.183,0.128,0.033,0.048,0.038
dami,SpamBase,0.15,0.0,0.0,0.03,0.0
adbench,35_SpamBase,0.154,0.0,0.0,0.036,0.0
ovrbench,CelestialObjects2,0.747,0.53,0.089,0.049,0.041
ovrbench,NetworkHealthMonitor,0.0,0.434,0.434,0.0,0.047
ovrbench,Word2VecPCA,0.041,0.017,0.0,0.05,0.034
ovrbench,AmazonReviewAnomalies,0.0,0.373,0.373,0.0,0.049
oddbench,GeneticVariation,0.0,0.11,0.11,0.0,0.049
oddbench,BuildingInspections,0.518,0.042,0.012,0.048,0.044
ovrbench,CreditCustomerData,0.0,0.014,0.014,0.0,0.043
ovrbench,ailerons,0.161,0.201,0.069,0.047,0.043
ovrbench,compass,0.074,0.067,0.011,0.047,0.047
ovrbench,guillermo,0.0,0.0,0.0,0.0,0.0
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,0.339,0.35,0.027,0.049,0.047
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,0.311,0.303,0.042,0.049,0.048
oddbench,DiamondClarity,0.074,0.054,0.006,0.05,0.047
adbench,19_landsat,0.095,0.122,0.027,0.046,0.046
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,0.154,0.204,0.072,0.05,0.046
ovrbench,MalariaDetection,0.076,0.052,0.017,0.049,0.049
ovrbench,SensorAnomaly,0.098,0.113,0.03,0.049,0.05
tsbad_m,142_CATSv2_id_5_Sensor_tr_30704_1st_3080,0.0,0.101,0.101,0.0,0.026
oddbench,GPUResourceUsage,0.053,0.004,0.004,0.05,0.048
ovrbench,PokemonBattle,0.082,0.139,0.066,0.05,0.045
ovrbench,EEGEyeState,0.051,0.071,0.063,0.048,0.048
ovrbench,ShuttleOperations,0.616,0.649,0.045,0.047,0.046
tsbad_m,188_Exathlon_id_15_Facility_tr_12538_1st,0.0,0.992,0.992,0.0,0.05
ovrbench,BusinessAnomalies,0.433,0.39,0.122,0.048,0.049
oddbench,BarExamPrediction,0.0,0.362,0.362,0.0,0.05
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,0.567,0.519,0.045,0.048,0.05
ovrbench,CustomerChurn2,0.002,0.071,0.07,0.004,0.043
ovrbench,AirPressure,0.0,0.0,0.0,0.0,0.0
oddbench,TrialBehavior,0.071,0.071,0.014,0.049,0.047
oddbench,TransactionFeeAnomalies,0.04,0.008,0.0,0.05,0.008
ovrbench,TrafficSensor,0.743,0.762,0.033,0.049,0.048
oddbench,RulePriorityAnomalies,0.0,0.352,0.352,0.0,0.036
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,0.44,0.418,0.042,0.049,0.043
ovrbench,GeotechnicalAnomalies,0.052,0.033,0.015,0.05,0.046
ovrbench,FootballEfficiency,0.17,0.147,0.008,0.05,0.048
ovrbench,SepsisMonitoring,0.0,0.108,0.108,0.0,0.046
