key,truefam,reg_ireos,reg_oracle
ovrbench__BusinessAnomalies,global,0.0632,0.0
ovrbench__ailerons,global,0.3391,0.0
ovrbench__CreditCustomerData,local,0.0845,0.0
oddbench__HealthPulse,local,0.0000,0.0
oddbench__ProsperLoan,local,0.0890,0.0
oddbench__ProtestViolence,global,0.8373,0.0
ovrbench__compass,local,0.0217,0.0
ovrbench__PhysicsTraining,local,0.1663,0.0
ovrbench__XSSDetection,global,0.1500,0.0
tsbad_m__107_SVDB_id_24_Medical_tr_32805_1st_,local,0.0917,0.0
tsbad_m__172_SWaT_id_2_Sensor_tr_23700_1st_23,local,0.5734,0.0
oddbench__AxieInfinityBug,global,0.4839,0.0
ovrbench__students_dropout_and_academic_succes,local,0.0395,0.0
tsbad_m__108_SVDB_id_25_Medical_tr_1238_1st_1,local,0.0938,0.0
tsbad_m__138_CATSv2_id_1_Sensor_tr_16568_1st_,local,0.1230,0.0
ovrbench__FinancialTransaction4,local,0.2488,0.0
ovrbench__EEGEyeState,local,0.8076,0.0
tsbad_m__101_SVDB_id_18_Medical_tr_1851_1st_1,local,0.1644,0.0
oddbench__GeneticVariation,global,0.0952,0.0
oddbench__BuildingInspections,global,0.4510,0.0
oddbench__GlobalTerrorismAttack,global,0.5045,0.0
oddbench__WaterChemistry,local,0.4968,0.0
tsbad_m__096_SVDB_id_13_Medical_tr_500_1st_44,local,0.1840,0.0
tsbad_m__095_SVDB_id_12_Medical_tr_6264_1st_6,local,0.1219,0.0
oddbench__SalesPerformance,global,0.2901,0.0
tsbad_m__103_SVDB_id_20_Medical_tr_12167_1st_,local,0.0760,0.0
oddbench__CasePriority,local,0.6819,0.0
oddbench__ProgrammingAnomalies,local,0.2186,0.0
oddbench__RealEstateProperties,local,0.0844,0.0
adbench__22_magic.gamma,local,0.4281,0.0
oddbench__SalesOrderPriority,local,0.2624,0.0
oddbench__TBAnomalyDetection,local,0.1296,0.0
oddbench__TransactionFeeAnomalies,local,0.6608,0.0
ovrbench__TrafficSensor,local,0.6173,0.0
ovrbench__Word2VecPCA,global,0.0000,0.0
adbench__19_landsat,local,0.1359,0.0
adbench__30_satellite,global,0.2507,0.0
tsbad_m__087_SVDB_id_4_Medical_tr_5421_1st_55,local,0.2027,0.0
ovrbench__KenyaMovement,local,0.1268,0.0
ovrbench__Run_or_walk_information,local,0.8007,0.0
oddbench__SMSClassification,global,0.5188,0.0
ovrbench__HealthMetrics,local,0.1250,0.0
ovrbench__mozilla4,local,0.0685,0.0
ovrbench__GeneExpressionCoactivator,global,0.0076,0.0
ovrbench__SolarFlare,local,0.1929,0.0
ovrbench__sf-police-incidents,local,0.1514,0.0
ovrbench__BCellImmunity,local,0.1238,0.0
tsbad_m__088_SVDB_id_5_Medical_tr_500_1st_168,local,0.2555,0.0
tsbad_m__098_SVDB_id_15_Medical_tr_500_1st_30,local,0.0697,0.0
oddbench__TrialBehavior,global,0.1179,0.0
ovrbench__BatchProcessingEvents,local,0.0760,0.0
oddbench__LandShapeAnomaly,global,0.1687,0.0
oddbench__CourseRegistration,local,0.4163,0.0
oddbench__EmailSpamDetection,global,0.7363,0.0
oddbench__GeneticAnalysis,global,0.1035,0.0
oddbench__TreadmillStatus,local,0.6421,0.0
tsbad_m__143_CATSv2_id_6_Sensor_tr_50000_1st_,global,0.0916,0.0
dami__PageBlocks,local,0.1480,0.0
ovrbench__FakeNewsPropagation,global,0.0269,0.0
tsbad_m__030_MITDB_id_12_Medical_tr_50000_1st,local,0.0515,0.0
tsbad_m__019_MITDB_id_1_Medical_tr_37500_1st_,local,0.0872,0.0
ovrbench__HealthActivityObesity,local,0.4096,0.0
tsbad_m__031_MITDB_id_13_Medical_tr_50000_1st,local,0.0028,0.0
ovrbench__UserMovieInteractions,global,0.1568,0.0
tsbad_m__115_PSM_id_1_Facility_tr_50000_1st_1,global,0.2039,0.0
ovrbench__FireRiskAnalysis,global,0.0874,0.0
oddbench__OkCupidUserBehavior,local,0.0391,0.0
oddbench__GPUResourceUsage,local,0.5903,0.0
tsbad_m__092_SVDB_id_9_Medical_tr_2674_1st_27,local,0.1985,0.0
oddbench__WaterPointFunctionality,local,0.1274,0.0
ovrbench__GesturePhaseSegmentationProcessed,local,0.6813,0.0
oddbench__CarMakeAnomaly,local,0.0831,0.0
ovrbench__thyroid-ann,global,0.2801,0.0
tsbad_m__109_SVDB_id_26_Medical_tr_1038_1st_1,global,0.0890,0.0
ovrbench__AmazonReviewAnomalies,global,0.1681,0.0
ovrbench__FinancialMetricsAnomaly,global,0.1268,0.0
tsbad_m__140_CATSv2_id_3_Sensor_tr_28307_1st_,global,0.2429,0.0
tsbad_m__026_MITDB_id_8_Medical_tr_30495_1st_,local,0.1114,0.0
tsbad_m__021_MITDB_id_3_Medical_tr_50000_1st_,local,0.4923,0.0
ovrbench__EmployeePerformance,local,0.4768,0.0
oddbench__RacingMotion,local,0.4021,0.0
ovrbench__WebpageSessionIntrusion,local,0.1042,0.0
tsbad_m__139_CATSv2_id_2_Sensor_tr_5592_1st_5,global,0.2448,0.0
ovrbench__AbstractAnomalyBatch,local,0.1493,0.0
dami__Wilt,local,0.5074,0.0
oddbench__WindowsEditionAnomaly,global,0.2814,0.0
tsbad_m__053_GHL_id_22_Sensor_tr_50000_1st_12,local,0.2820,0.0
oddbench__BarExamPrediction,global,0.4238,0.0
ovrbench__jannis,global,0.4987,0.0
ovrbench__SensorAnomaly,local,0.1201,0.0
dami__SpamBase,global,0.0364,0.0
ovrbench__GeotechnicalAnomalies,local,0.3005,0.0
tsbad_m__082_LTDB_id_4_Medical_tr_4456_1st_45,local,0.0983,0.0
tsbad_m__113_SVDB_id_30_Medical_tr_4552_1st_4,global,0.1456,0.0
ovrbench__CreditScoringAnomalies,local,0.2762,0.0
ovrbench__UrlAnalysis,global,0.2337,0.0
oddbench__VoteOutcome,local,0.6009,0.0
ovrbench__GamingBehavior,local,0.3839,0.0
ovrbench__SpotifyHitPredictor,global,0.0000,0.0
ovrbench__seismic-bumps,local,0.0662,0.0
adbench__27_PageBlocks,local,0.4495,0.0
ovrbench__philippine,global,0.2767,0.0
tsbad_m__086_SVDB_id_3_Medical_tr_533_1st_633,global,0.0570,0.0
ovrbench__CustomerChurn2,local,0.2972,0.0
ovrbench__BoundingBoxClassification,global,0.0221,0.0
ovrbench__RealEstateListings,local,0.2259,0.0
ovrbench__BNG(cmc),global,0.4247,0.0
oddbench__RulePriorityAnomalies,local,0.0568,0.0
ovrbench__RealEstateData,global,0.5491,0.0
oddbench__PoliceForceDisturbance,local,0.0000,0.0
ovrbench__ShillBidding,global,0.4245,0.0
oddbench__ArtSalesPlatform,global,0.0591,0.0
tsbad_m__112_SVDB_id_29_Medical_tr_8226_1st_8,global,0.0449,0.0
oddbench__LandRarity,global,0.2922,0.0
oddbench__UserEventAnomalies,global,0.0000,0.0
ovrbench__SpectralImaging,global,0.2529,0.0
tsbad_m__097_SVDB_id_14_Medical_tr_1031_1st_1,local,0.1476,0.0
ovrbench__CardiacHealth,local,0.9176,0.0
adbench__35_SpamBase,global,0.3506,0.0
ovrbench__ViralProteinFunction,local,0.1114,0.0
ovrbench__FICO-HELOC-cleaned,local,0.1662,0.0
ovrbench__SepsisMonitoring,local,0.0000,0.0
ovrbench__CryptojackingSystem,local,0.2898,0.0
tsbad_m__142_CATSv2_id_5_Sensor_tr_30704_1st_,global,0.1402,0.0
oddbench__HumanRobotCollaboration,local,0.5140,0.0
ovrbench__visualizing_soil,global,0.8158,0.0
adbench__44_Wilt,local,0.7523,0.0
ovrbench__BankruptcyForecast,global,0.1207,0.0
ovrbench__HeadingDetection,local,0.5387,0.0
ovrbench__guillermo,global,0.0153,0.0
tsbad_m__093_SVDB_id_10_Medical_tr_500_1st_37,local,0.0672,0.0
ovrbench__PsychoPrediction,global,0.2033,0.0
ovrbench__TwitterEmotion,local,0.0712,0.0
ovrbench__PokemonBattle,local,0.1704,0.0
tsbad_m__085_SVDB_id_2_Medical_tr_50000_1st_5,local,0.1550,0.0
ovrbench__SpatialAnomalies,local,0.4904,0.0
oddbench__AttackIncidents,local,0.0365,0.0
ovrbench__KDD,global,0.0385,0.0
oddbench__DiamondClarity,local,0.7524,0.0
tsbad_m__141_CATSv2_id_4_Sensor_tr_41727_1st_,global,0.0920,0.0
ovrbench__KPIData,local,0.1493,0.0
oddbench__BugSeverity,global,0.0831,0.0
oddbench__FishingAnomalies,local,0.1241,0.0
adbench__23_mammography,global,0.2603,0.0
tsbad_m__111_SVDB_id_28_Medical_tr_1791_1st_1,local,0.0590,0.0
ovrbench__NeuroSignalEEG,global,0.4784,0.0
tsbad_m__105_SVDB_id_22_Medical_tr_500_1st_41,local,0.0106,0.0
ovrbench__FootballEfficiency,local,0.0100,0.0
tsbad_m__022_MITDB_id_4_Medical_tr_50000_1st_,local,0.1336,0.0
ovrbench__TextAnomalyDetection,global,0.2348,0.0
tsbad_m__099_SVDB_id_16_Medical_tr_1115_1st_1,local,0.1265,0.0
tsbad_m__102_SVDB_id_19_Medical_tr_50000_1st_,local,0.4095,0.0
tsbad_m__110_SVDB_id_27_Medical_tr_30824_1st_,local,0.1163,0.0
oddbench__HealthBehavior,global,0.0756,0.0
ovrbench__FinancialTransaction1,global,0.0069,0.0
ovrbench__ShuttleOperations,local,0.4788,0.0
tsbad_m__084_SVDB_id_1_Medical_tr_12973_1st_1,local,0.0552,0.0
oddbench__AquaticMacroInverts,global,0.3809,0.0
tsbad_m__091_SVDB_id_8_Medical_tr_500_1st_126,global,0.0502,0.0
oddbench__FinancialTransactionAnomalies,local,0.1404,0.0
ovrbench__CelestialObjects2,global,0.5771,0.0
oddbench__PropertyCondition,local,0.2003,0.0
ovrbench__JobChangePatterns,global,0.0151,0.0
ovrbench__BreastCancer,global,0.0532,0.0
ovrbench__KickstarterCampaigns,local,0.9548,0.0
ovrbench__volkert,global,0.2550,0.0
ovrbench__NetworkHealthMonitor,local,0.1740,0.0
dami__Annthyroid,global,0.4606,0.0
ovrbench__SyntheticNumericalBatch,local,0.1854,0.0
oddbench__RealEstateBlockType,global,0.2045,0.0
ovrbench__MalariaDetection,global,1.0111,0.0
tsbad_m__104_SVDB_id_21_Medical_tr_50000_1st_,local,0.2290,0.0
oddbench__AustinCrime,local,0.1296,0.0
