key,dataset,fam,corr_str,single_auc,multi_auc,gap,nA
tsbad_m/111_SVDB_id_28_Medical_tr_1791_1st_1891.,111_SVDB_id_28_Medical_tr_1791,local,0.58,0.673,0.731,0.059,1187
tsbad_m/099_SVDB_id_16_Medical_tr_1115_1st_1215.,099_SVDB_id_16_Medical_tr_1115,local,0.455,0.676,0.634,-0.043,614
tsbad_m/102_SVDB_id_19_Medical_tr_50000_1st_1073,102_SVDB_id_19_Medical_tr_5000,local,0.565,0.764,0.832,0.068,455
tsbad_m/091_SVDB_id_8_Medical_tr_500_1st_126.csv,091_SVDB_id_8_Medical_tr_500_1,global,0.588,0.609,0.601,-0.008,782
dami/Annthyroid,Annthyroid,global,0.053,0.983,0.743,-0.24,349
tsbad_m/104_SVDB_id_21_Medical_tr_50000_1st_1066,104_SVDB_id_21_Medical_tr_5000,local,0.521,0.672,0.77,0.099,158
tsbad_m/172_SWaT_id_2_Sensor_tr_23700_1st_23800.,172_SWaT_id_2_Sensor_tr_23700_,local,,0.668,0.77,0.102,730
tsbad_m/108_SVDB_id_25_Medical_tr_1238_1st_1338.,108_SVDB_id_25_Medical_tr_1238,local,0.521,0.599,0.651,0.051,205
tsbad_m/138_CATSv2_id_1_Sensor_tr_16568_1st_1666,138_CATSv2_id_1_Sensor_tr_1656,local,,0.831,0.654,-0.177,137
adbench/22_magic.gamma,22_magic.gamma,local,0.362,0.768,0.731,-0.037,3896
adbench/19_landsat,19_landsat,local,0.498,0.71,0.73,0.02,1123
adbench/30_satellite,30_satellite,global,0.686,0.632,0.739,0.107,699
tsbad_m/087_SVDB_id_4_Medical_tr_5421_1st_5521.c,087_SVDB_id_4_Medical_tr_5421_,local,0.564,0.57,0.57,0.0,436
dami/SpamBase,SpamBase,global,0.045,0.809,0.85,0.041,1679
tsbad_m/082_LTDB_id_4_Medical_tr_4456_1st_4556.c,082_LTDB_id_4_Medical_tr_4456_,local,0.557,0.58,0.629,0.049,514
tsbad_m/113_SVDB_id_30_Medical_tr_4552_1st_4652.,113_SVDB_id_30_Medical_tr_4552,global,0.622,0.645,0.553,-0.092,427
adbench/27_PageBlocks,27_PageBlocks,local,0.419,0.938,0.813,-0.125,120
tsbad_m/019_MITDB_id_1_Medical_tr_37500_1st_1032,019_MITDB_id_1_Medical_tr_3750,local,0.391,0.585,0.694,0.109,1167
tsbad_m/115_PSM_id_1_Facility_tr_50000_1st_12987,115_PSM_id_1_Facility_tr_50000,global,0.221,0.858,0.757,-0.1,1745
tsbad_m/092_SVDB_id_9_Medical_tr_2674_1st_2774.c,092_SVDB_id_9_Medical_tr_2674_,local,0.592,0.6,0.687,0.087,265
