dataset,cur_neff,pur_neff,cur_ok,pur_ok,pur_ftriv,pur_nanom
091_SVDB_id_8_Medical_tr_500_1st_126.c,563,570,True,True,0.491,1284
111_SVDB_id_28_Medical_tr_1791_1st_189,528,519,True,True,0.475,1673
109_SVDB_id_26_Medical_tr_1038_1st_113,523,510,True,True,0.418,1650
030_MITDB_id_12_Medical_tr_50000_1st_8,514,520,True,True,0.047,1795
093_SVDB_id_10_Medical_tr_500_1st_37.c,510,375,True,True,0.677,1444
086_SVDB_id_3_Medical_tr_533_1st_633.c,506,470,True,True,0.545,1251
097_SVDB_id_14_Medical_tr_1031_1st_113,503,476,True,True,0.627,2172
019_MITDB_id_1_Medical_tr_37500_1st_10,496,496,True,True,0.136,1165
105_SVDB_id_22_Medical_tr_500_1st_417.,493,489,True,True,0.128,942
101_SVDB_id_18_Medical_tr_1851_1st_195,487,391,True,True,0.599,1172
140_CATSv2_id_3_Sensor_tr_28307_1st_28,472,471,True,True,0.09,1799
088_SVDB_id_5_Medical_tr_500_1st_168.c,467,417,True,True,0.191,1815
031_MITDB_id_13_Medical_tr_50000_1st_7,455,444,True,True,0.073,672
022_MITDB_id_4_Medical_tr_50000_1st_54,448,449,True,True,0.255,879
026_MITDB_id_8_Medical_tr_30495_1st_30,445,431,True,True,0.357,1738
098_SVDB_id_15_Medical_tr_500_1st_303.,434,396,True,True,0.478,1156
085_SVDB_id_2_Medical_tr_50000_1st_549,425,357,True,True,0.389,653
021_MITDB_id_3_Medical_tr_50000_1st_57,412,392,True,True,0.199,587
082_LTDB_id_4_Medical_tr_4456_1st_4556,411,288,True,True,0.724,1214
115_PSM_id_1_Facility_tr_50000_1st_129,404,379,True,True,0.0,1580
099_SVDB_id_16_Medical_tr_1115_1st_121,396,260,True,True,0.747,1363
113_SVDB_id_30_Medical_tr_4552_1st_465,382,311,True,True,0.543,755
102_SVDB_id_19_Medical_tr_50000_1st_10,367,369,True,True,0.471,850
096_SVDB_id_13_Medical_tr_500_1st_444.,362,309,True,True,0.396,573
087_SVDB_id_4_Medical_tr_5421_1st_5521,331,238,True,True,0.681,972
110_SVDB_id_27_Medical_tr_30824_1st_30,328,270,True,True,0.315,575
095_SVDB_id_12_Medical_tr_6264_1st_636,321,274,True,True,0.39,557
142_CATSv2_id_5_Sensor_tr_30704_1st_30,305,296,True,True,0.405,1095
107_SVDB_id_24_Medical_tr_32805_1st_32,299,225,True,True,0.384,503
137_CreditCard_id_1_Finance_tr_500_1st,286,0,True,False,1.0,3
139_CATSv2_id_2_Sensor_tr_5592_1st_569,257,247,True,True,0.135,436
172_SWaT_id_2_Sensor_tr_23700_1st_2380,246,241,True,True,0.756,3191
092_SVDB_id_9_Medical_tr_2674_1st_2774,241,205,True,True,0.727,809
141_CATSv2_id_4_Sensor_tr_41727_1st_41,236,210,True,True,0.325,391
103_SVDB_id_20_Medical_tr_12167_1st_12,223,171,True,True,0.449,514
112_SVDB_id_29_Medical_tr_8226_1st_832,195,172,True,True,0.0,196
084_SVDB_id_1_Medical_tr_12973_1st_130,175,149,True,True,0.373,268
143_CATSv2_id_6_Sensor_tr_50000_1st_60,147,141,True,True,0.224,263
104_SVDB_id_21_Medical_tr_50000_1st_10,136,123,True,True,0.457,245
108_SVDB_id_25_Medical_tr_1238_1st_133,136,105,True,True,0.755,510
173_GECCO_id_1_Sensor_tr_16165_1st_162,121,57,True,False,0.611,211
053_GHL_id_22_Sensor_tr_50000_1st_1264,116,98,True,False,0.007,417
138_CATSv2_id_1_Sensor_tr_16568_1st_16,109,106,True,True,0.0,131
