corpus,dataset,n_pc,knn_orig,catch_orig,catch_pc,fp_pc,nhard_orig,nhard_pc,knn_after_pc
ovrbench,sf-police-incidents,5,0.062,0.0,0.04,0.05,269319,257357,-0.045
ovrbench,PsychoPrediction,3,-0.019,0.03,0.04,0.04,14224,14111,-0.03
ovrbench,KickstarterCampaigns,4,0.082,0.55,0.1,0.04,14171,28266,0.079
ovrbench,NeuroSignalEEG,12,0.02,0.07,0.05,0.05,13551,13890,-0.004
ovrbench,ViralProteinFunction,3,0.118,0.22,0.13,0.04,9809,10895,0.099
ovrbench,jannis,38,0.239,0.03,0.05,0.04,7507,7323,0.211
ovrbench,SolarFlare,8,0.443,0.38,0.39,0.05,7235,7174,0.429
oddbench,GlobalTerrorismAttack,5,-0.255,0.0,0.07,0.05,6998,6543,-0.299
ovrbench,EmployeePerformance,4,-0.074,0.12,0.07,0.05,7352,7732,-0.147
ovrbench,CreditScoringAnomalies,20,-0.165,0.04,0.04,0.05,6315,6315,-0.165
ovrbench,XSSDetection,45,0.206,0.1,0.15,0.05,5431,5141,0.131
ovrbench,UserMovieInteractions,14,0.066,0.0,0.05,0.04,5480,5244,-0.003
oddbench,PropertyCondition,6,0.034,0.0,0.04,0.05,5141,4939,-0.043
ovrbench,SpectralImaging,17,0.796,0.23,0.43,0.04,4935,3675,0.693
adbench,22_magic.gamma,7,0.552,0.32,0.38,0.05,4535,4122,0.461
ovrbench,RealEstateListings,5,-0.174,0.07,0.02,0.05,4412,4628,-0.164
ovrbench,BNG(cmc),2,-0.082,0.03,0.04,0.04,4429,4413,-0.099
ovrbench,BoundingBoxClassification,4,0.925,0.74,0.85,0.04,3995,2247,0.785
ovrbench,FireRiskAnalysis,6,0.1,0.0,0.03,0.05,3816,3712,0.081
ovrbench,CardiacHealth,5,0.961,0.3,0.24,0.05,3686,3987,0.966
ovrbench,PhysicsTraining,34,-0.018,0.11,0.06,0.04,3622,3849,-0.029
ovrbench,HealthActivityObesity,3,-0.103,0.04,0.04,0.04,3565,3582,-0.102
oddbench,SalesOrderPriority,4,0.157,0.11,0.14,0.05,3495,3390,0.108
oddbench,MouseInteractionPhase,5,0.994,0.0,0.95,0.05,3246,158,0.88
