corpus,dataset,best,worst,mean,p10,p90,spread,oracle_gain,truefam
ovrbench,BusinessAnomalies,0.3501344969324007,0.018205506335432185,0.21204574186020117,0.14604671452862883,0.30027210548673644,0.3319289905969685,0.1380887550721995,global
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,0.12063718144447977,0.042118303456102665,0.07929317928677986,0.05377453528622911,0.11187550873489578,0.0785188779883771,0.04134400215769991,global
adbench,22_magic.gamma,0.5369215999878194,-0.23283365617572419,0.22251346814377285,-0.030531570953972298,0.49582091289268043,0.7697552561635436,0.3144081318440466,local
ovrbench,FakeNewsPropagation,0.40432604385910864,-0.047959813671939446,0.15204359233826767,0.004372051371381383,0.3116679018406018,0.4522858575310481,0.25228245152084094,global
ovrbench,philippine,0.3794555660416386,-0.008039129629175624,0.18324488262855604,0.061188945811695566,0.32615830752945807,0.38749469567081424,0.19621068341308256,global
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,0.5263993906592351,0.19380695482713764,0.39740504805055,0.30491915089354577,0.5090333647316949,0.3325924358320975,0.12899434260868514,local
ovrbench,guillermo,0.0453101192919255,-0.05924218374155033,0.022895917128711737,0.0067871678374823545,0.0452305026946095,0.10455230303347583,0.022414202163213763,global
ovrbench,FinancialTransaction4,0.2911665099080766,-0.07718889956794962,0.11284403852522153,-0.053671439606600424,0.2511371315704175,0.3683554094760262,0.17832247138285506,local
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,0.09325670839919938,-0.017672926159687814,0.022526210282026407,-0.015161164805890075,0.07061273563944807,0.11092963455888719,0.07073049811717297,global
ovrbench,SpectralImaging,0.838442176208197,-0.18767824596680008,0.3634777058442435,-0.1400198448684728,0.8243950720154698,1.026120422174997,0.47496447036395356,global
oddbench,BarExamPrediction,0.4503206920677174,0.009595378048778209,0.2511213045050505,0.06489481100955113,0.3719570170364916,0.4407253140189392,0.19919938756266692,global
ovrbench,SolarFlare,0.44674963359654846,-0.07169039369286064,0.20565913857568818,0.03974516554510628,0.3911180366732375,0.5184400272894091,0.24109049502086027,local
ovrbench,ailerons,0.3430635346797652,-0.03156250748540647,0.13380205160651565,-0.015290431359978223,0.3014185440275757,0.37462604216517165,0.20926148307324954,global
oddbench,FinancialTransactionAnomalies,0.08763401353492592,-0.07526226526196254,-0.007688295458165926,-0.06697612542554947,0.04871489777778003,0.16289627879688845,0.09532230899309184,global
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,0.02924936781797117,-0.012388250620846999,0.007155686866124424,-0.0044366755008468164,0.017042772034121773,0.041637618438818164,0.022093680951846745,local
oddbench,SalesOrderPriority,0.2194713436225677,-0.14643214886163647,-0.04985981599099636,-0.1214977078959287,0.08125077293624083,0.3659034924842042,0.2693311596135641,local
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,0.11923996794133199,-0.0694389561301966,-0.019012878167193256,-0.05906288805668325,0.06526992331107279,0.1886789240715286,0.13825284610852523,local
ovrbench,NeuroSignalEEG,0.6485642845114602,-0.27264411483008066,-0.026344078311241397,-0.13055370028197716,0.23125861916592216,0.9212083993415409,0.6749083628227016,global
ovrbench,EEGEyeState,0.8090963699118651,-0.020965163998086234,0.18701226136247945,-0.008704815145145893,0.6331905308823553,0.8300615339099513,0.6220841085493856,local
