dataset,n_anom_win,median_purity,frac_below_0.5,frac_below_0.25,frac_single_pt,inbench,glob_mv
103_SVDB_id_20_Medical_tr_12167_1st_1226,630,0.641,0.378,0.184,0.021,True,False
188_Exathlon_id_15_Facility_tr_12538_1st,1043,1.0,0.035,0.017,0.001,False,False
028_MITDB_id_10_Medical_tr_37500_1st_399,44,1.0,0.182,0.091,0.0,False,False
156_SMAP_id_13_Sensor_tr_1173_1st_2750.c,8,0.398,0.5,0.25,0.125,False,False
107_SVDB_id_24_Medical_tr_32805_1st_3290,605,0.719,0.344,0.169,0.008,True,False
113_SVDB_id_30_Medical_tr_4552_1st_4652.,858,0.938,0.255,0.12,0.01,True,False
003_MSL_id_2_Sensor_tr_883_1st_1238.csv,22,0.695,0.364,0.182,0.045,False,False
147_SMAP_id_4_Sensor_tr_2160_1st_6449.cs,11,0.734,0.364,0.182,0.0,False,False
049_GHL_id_18_Sensor_tr_50000_1st_109001,363,1.0,0.044,0.022,0.0,False,False
057_SMD_id_1_Facility_tr_4529_1st_4629.c,72,0.43,0.556,0.319,0.014,False,False
079_LTDB_id_1_Medical_tr_3618_1st_3718.c,1385,0.75,0.327,0.159,0.009,False,False
140_CATSv2_id_3_Sensor_tr_28307_1st_2840,1848,1.0,0.054,0.027,0.002,True,False
025_MITDB_id_7_Medical_tr_37500_1st_8886,254,1.0,0.091,0.043,0.0,False,False
167_SMAP_id_24_Sensor_tr_2094_1st_5600.c,6,0.445,0.5,0.167,0.0,False,False
198_Exathlon_id_25_Facility_tr_12538_1st,1043,1.0,0.035,0.017,0.001,False,False
045_GHL_id_14_Sensor_tr_50000_1st_85076.,118,1.0,0.068,0.034,0.0,False,False
160_SMAP_id_17_Sensor_tr_1832_1st_5300.c,32,1.0,0.125,0.062,0.0,False,False
126_TAO_id_11_Environment_tr_500_1st_7.c,622,0.094,1.0,0.997,0.006,False,False
171_SWaT_id_1_Sensor_tr_3749_1st_9522.cs,148,1.0,0.162,0.081,0.007,False,False
035_GHL_id_4_Sensor_tr_50000_1st_90001.c,181,1.0,0.066,0.033,0.0,False,False
118_TAO_id_3_Environment_tr_500_1st_7.cs,601,0.047,1.0,1.0,0.155,False,False
174_Exathlon_id_1_Facility_tr_10766_1st_,349,1.0,0.029,0.014,0.003,False,False
014_MSL_id_13_Sensor_tr_1525_1st_4575.cs,16,0.906,0.25,0.125,0.062,False,False
165_SMAP_id_22_Sensor_tr_2129_1st_5000.c,40,1.0,0.25,0.1,0.0,False,False
021_MITDB_id_3_Medical_tr_50000_1st_5759,622,1.0,0.114,0.056,0.005,True,False
097_SVDB_id_14_Medical_tr_1031_1st_1131.,2556,0.781,0.313,0.15,0.009,True,False
141_CATSv2_id_4_Sensor_tr_41727_1st_4182,413,1.0,0.107,0.053,0.005,True,False
059_SMD_id_3_Facility_tr_757_1st_857.csv,59,0.125,0.763,0.593,0.068,False,False
115_PSM_id_1_Facility_tr_50000_1st_12987,1745,1.0,0.132,0.095,0.024,True,False
123_TAO_id_8_Environment_tr_500_1st_62.c,592,0.047,1.0,1.0,0.127,False,False
186_Exathlon_id_13_Facility_tr_10766_1st,349,1.0,0.029,0.014,0.003,False,False
190_Exathlon_id_17_Facility_tr_12538_1st,1043,1.0,0.035,0.017,0.001,False,False
009_MSL_id_8_Sensor_tr_714_1st_1390.csv,6,0.289,1.0,0.333,0.0,False,False
022_MITDB_id_4_Medical_tr_50000_1st_5425,927,1.0,0.106,0.052,0.002,True,False
145_SMAP_id_2_Sensor_tr_2133_1st_5400.cs,43,1.0,0.093,0.047,0.0,False,False
054_GHL_id_23_Sensor_tr_50000_1st_135001,246,1.0,0.049,0.024,0.004,False,False
001_Genesis_id_1_Sensor_tr_4055_1st_1553,11,0.312,1.0,0.364,0.0,False,False
098_SVDB_id_15_Medical_tr_500_1st_303.cs,1385,0.719,0.34,0.165,0.013,True,False
080_LTDB_id_2_Medical_tr_500_1st_266.csv,1463,0.688,0.366,0.179,0.009,False,False
048_GHL_id_17_Sensor_tr_50000_1st_154001,239,1.0,0.063,0.029,0.004,False,False
164_SMAP_id_21_Sensor_tr_1976_1st_4200.c,7,0.422,0.571,0.286,0.0,False,False
168_SMAP_id_25_Sensor_tr_1998_1st_2098.c,19,0.578,0.368,0.158,0.0,False,False
047_GHL_id_16_Sensor_tr_50000_1st_77001.,183,1.0,0.06,0.027,0.011,False,False
067_SMD_id_11_Facility_tr_1980_1st_2080.,101,1.0,0.347,0.287,0.0,False,False
095_SVDB_id_12_Medical_tr_6264_1st_6364.,644,0.906,0.275,0.135,0.009,True,False
106_SVDB_id_23_Medical_tr_37500_1st_1219,46,1.0,0.087,0.043,0.0,False,False
149_SMAP_id_6_Sensor_tr_2128_1st_5000.cs,44,1.0,0.182,0.091,0.0,False,False
053_GHL_id_22_Sensor_tr_50000_1st_126448,425,1.0,0.042,0.019,0.0,True,False
040_GHL_id_9_Sensor_tr_50000_1st_92001.c,157,1.0,0.051,0.025,0.006,False,False
046_GHL_id_15_Sensor_tr_50000_1st_156462,82,1.0,0.049,0.024,0.0,False,False
101_SVDB_id_18_Medical_tr_1851_1st_1951.,1322,1.0,0.236,0.113,0.009,True,False
153_SMAP_id_10_Sensor_tr_1840_1st_4030.c,7,0.359,0.571,0.286,0.0,False,False
099_SVDB_id_16_Medical_tr_1115_1st_1215.,1650,0.656,0.376,0.174,0.015,True,False
075_SMD_id_19_Facility_tr_564_1st_664.cs,102,0.062,0.804,0.725,0.01,False,False
184_Exathlon_id_11_Facility_tr_11665_1st,195,1.0,0.062,0.031,0.0,False,False
033_GHL_id_2_Sensor_tr_50000_1st_51001.c,123,1.0,0.065,0.033,0.0,False,False
169_SMAP_id_26_Sensor_tr_1811_1st_4510.c,9,0.531,0.444,0.222,0.0,False,False
058_SMD_id_2_Facility_tr_1087_1st_1187.c,119,0.672,0.378,0.227,0.008,False,False
158_SMAP_id_15_Sensor_tr_2075_1st_5610.c,8,0.516,0.5,0.25,0.0,False,False
092_SVDB_id_9_Medical_tr_2674_1st_2774.c,857,1.0,0.117,0.056,0.001,True,False
076_SMD_id_20_Facility_tr_5925_1st_17580,14,0.883,0.286,0.143,0.0,False,False
172_SWaT_id_2_Sensor_tr_23700_1st_23800.,3239,1.0,0.031,0.015,0.001,True,False
065_SMD_id_9_Facility_tr_737_1st_837.csv,203,1.0,0.3,0.172,0.015,False,False
074_SMD_id_18_Facility_tr_7174_1st_21230,23,0.5,0.478,0.261,0.043,False,False
133_OPPORTUNITY_id_5_HumanActivity_tr_17,30,1.0,0.067,0.033,0.0,False,False
013_MSL_id_12_Sensor_tr_554_1st_1200.csv,5,0.406,1.0,0.2,0.0,False,False
093_SVDB_id_10_Medical_tr_500_1st_37.csv,1723,0.719,0.335,0.162,0.01,True,False
041_GHL_id_10_Sensor_tr_50000_1st_57001.,124,1.0,0.065,0.032,0.0,False,False
073_SMD_id_17_Facility_tr_5926_1st_10620,35,0.172,1.0,0.686,0.0,False,False
016_MSL_id_15_Sensor_tr_500_1st_780.csv,15,0.422,0.667,0.267,0.0,False,False
182_Exathlon_id_9_Facility_tr_10766_1st_,349,1.0,0.029,0.014,0.003,False,False
162_SMAP_id_19_Sensor_tr_1908_1st_4690.c,6,0.367,1.0,0.333,0.167,False,False
029_MITDB_id_11_Medical_tr_50000_1st_518,130,1.0,0.154,0.077,0.008,False,False
129_OPPORTUNITY_id_1_HumanActivity_tr_18,53,1.0,0.151,0.075,0.0,False,False
044_GHL_id_13_Sensor_tr_50000_1st_145001,123,1.0,0.057,0.024,0.0,False,False
077_SMD_id_21_Facility_tr_3026_1st_3126.,89,0.406,0.539,0.27,0.034,False,False
084_SVDB_id_1_Medical_tr_12973_1st_13073,312,0.844,0.288,0.141,0.006,True,False
148_SMAP_id_5_Sensor_tr_2011_1st_5060.cs,8,0.555,0.5,0.25,0.0,False,False
008_MSL_id_7_Sensor_tr_656_1st_1630.csv,23,0.625,0.435,0.174,0.043,False,False
185_Exathlon_id_12_Facility_tr_11665_1st,195,1.0,0.062,0.031,0.0,False,False
130_OPPORTUNITY_id_2_HumanActivity_tr_10,33,1.0,0.121,0.061,0.0,False,False
005_MSL_id_4_Sensor_tr_855_1st_2700.csv,9,0.547,0.444,0.222,0.0,False,False
012_MSL_id_11_Sensor_tr_539_1st_940.csv,11,0.562,0.364,0.182,0.091,False,False
105_SVDB_id_22_Medical_tr_500_1st_417.cs,1072,0.984,0.248,0.121,0.007,True,False
023_MITDB_id_5_Medical_tr_25000_1st_3691,33,1.0,0.121,0.061,0.0,False,False
042_GHL_id_11_Sensor_tr_50000_1st_150001,104,1.0,0.077,0.038,0.0,False,False
010_MSL_id_9_Sensor_tr_554_1st_1172.csv,8,0.539,0.5,0.25,0.0,False,False
183_Exathlon_id_10_Facility_tr_11665_1st,195,1.0,0.062,0.031,0.0,False,False
135_OPPORTUNITY_id_7_HumanActivity_tr_20,59,1.0,0.136,0.068,0.0,False,False
195_Exathlon_id_22_Facility_tr_10766_1st,349,1.0,0.029,0.014,0.003,False,False
072_SMD_id_16_Facility_tr_7119_1st_15849,198,1.0,0.157,0.106,0.0,False,False
142_CATSv2_id_5_Sensor_tr_30704_1st_3080,1119,1.0,0.045,0.021,0.004,True,False
139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,451,1.0,0.078,0.033,0.002,True,False
109_SVDB_id_26_Medical_tr_1038_1st_1138.,1958,0.75,0.328,0.157,0.009,True,False
166_SMAP_id_23_Sensor_tr_1113_1st_1890.c,6,0.445,0.667,0.333,0.0,False,False
062_SMD_id_6_Facility_tr_7180_1st_15131.,149,1.0,0.262,0.168,0.0,False,False
085_SVDB_id_2_Medical_tr_50000_1st_54982,759,0.844,0.29,0.14,0.004,True,False
091_SVDB_id_8_Medical_tr_500_1st_126.csv,1432,1.0,0.216,0.103,0.006,True,False
051_GHL_id_20_Sensor_tr_50000_1st_75110.,78,1.0,0.051,0.026,0.0,False,False
068_SMD_id_12_Facility_tr_1099_1st_1199.,34,0.484,0.529,0.235,0.029,False,False
096_SVDB_id_13_Medical_tr_500_1st_444.cs,656,0.938,0.258,0.127,0.008,True,False
170_SMAP_id_27_Sensor_tr_2160_1st_4690.c,9,0.609,0.444,0.222,0.0,False,False
086_SVDB_id_3_Medical_tr_533_1st_633.csv,1468,0.781,0.307,0.148,0.018,True,False
189_Exathlon_id_16_Facility_tr_11663_1st,196,1.0,0.056,0.026,0.0,False,False
151_SMAP_id_8_Sensor_tr_1971_1st_4870.cs,9,0.609,0.444,0.222,0.0,False,False
127_TAO_id_12_Environment_tr_500_1st_24.,588,0.047,1.0,1.0,0.111,False,False
150_SMAP_id_7_Sensor_tr_2077_1st_5394.cs,21,1.0,0.19,0.095,0.0,False,False
055_GHL_id_24_Sensor_tr_50000_1st_118124,67,1.0,0.06,0.03,0.0,False,False
196_Exathlon_id_23_Facility_tr_11665_1st,195,1.0,0.062,0.031,0.0,False,False
154_SMAP_id_11_Sensor_tr_2117_1st_4770.c,11,0.719,0.364,0.182,0.0,False,False
078_SMD_id_22_Facility_tr_500_1st_326.cs,120,0.562,0.475,0.358,0.033,False,False
032_GHL_id_1_Sensor_tr_50000_1st_65001.c,123,1.0,0.065,0.033,0.0,False,False
112_SVDB_id_29_Medical_tr_8226_1st_8326.,229,0.844,0.293,0.144,0.0,True,False
155_SMAP_id_12_Sensor_tr_1907_1st_4800.c,7,0.5,0.429,0.143,0.0,False,False
120_TAO_id_5_Environment_tr_500_1st_3.cs,622,0.094,1.0,1.0,0.006,False,False
138_CATSv2_id_1_Sensor_tr_16568_1st_1666,137,1.0,0.088,0.044,0.0,True,False
131_OPPORTUNITY_id_3_HumanActivity_tr_70,24,1.0,0.167,0.083,0.0,False,False
108_SVDB_id_25_Medical_tr_1238_1st_1338.,565,1.0,0.211,0.097,0.0,True,False
100_SVDB_id_17_Medical_tr_17803_1st_1790,343,0.891,0.28,0.134,0.012,False,False
194_Exathlon_id_21_Facility_tr_6985_1st_,323,1.0,0.056,0.025,0.003,False,False
081_LTDB_id_3_Medical_tr_500_1st_26.csv,2590,1.0,0.231,0.107,0.004,False,False
043_GHL_id_12_Sensor_tr_39938_1st_40038.,70,1.0,0.057,0.029,0.014,False,False
061_SMD_id_5_Facility_tr_7176_1st_15144.,110,1.0,0.227,0.109,0.0,False,False
036_GHL_id_5_Sensor_tr_50000_1st_67147.c,151,1.0,0.053,0.026,0.007,False,False
181_Exathlon_id_8_Facility_tr_11663_1st_,196,1.0,0.056,0.026,0.0,False,False
027_MITDB_id_9_Medical_tr_25000_1st_5225,31,1.0,0.097,0.032,0.032,False,False
007_MSL_id_6_Sensor_tr_980_1st_3550.csv,14,0.805,0.286,0.143,0.0,False,False
177_Exathlon_id_4_Facility_tr_11665_1st_,195,1.0,0.062,0.031,0.0,False,False
200_Exathlon_id_27_Facility_tr_10766_1st,349,1.0,0.029,0.014,0.003,False,False
011_MSL_id_10_Sensor_tr_1525_1st_4590.cs,13,0.766,0.308,0.154,0.077,False,False
199_Exathlon_id_26_Facility_tr_12538_1st,1043,1.0,0.035,0.017,0.001,False,False
050_GHL_id_19_Sensor_tr_43750_1st_55001.,75,1.0,0.053,0.027,0.0,False,False
