corpus,dataset,truefam,reg_random,reg_beta1,reg_matched,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits
ovrbench,BusinessAnomalies,global,0.138977134550565,0.0,0.04070414311360049,0.04070414311360049,0.08066398430354516,0.08066398430354516,0.08066398430354516,0.08066398430354516
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,global,0.040518903165651585,0.010670787609305593,0.010670787609305593,0.021178439462648357,0.021178439462648357,0.04158298028025176,0.04158298028025176,0.04158298028025176
ovrbench,FakeNewsPropagation,global,0.2492590628991107,0.09748967357921567,0.09748967357921567,0.087826610457798,0.087826610457798,0.10428124533062955,0.10428124533062955,0.10428124533062955
adbench,22_magic.gamma,local,0.3152535053565583,0.00895890501788943,0.00895890501788943,0.03668092700111658,0.00895890501788943,0.25029821379254613,0.25029821379254613,0.35440397008828406
ovrbench,guillermo,global,0.022605538938952306,0.034929822679396774,0.034929822679396774,0.01100196758845292,0.01100196758845292,0.016219112055030325,0.016219112055030325,0.01471864084347779
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,local,0.130028394832994,0.0,0.0,0.059032547217530984,0.059032547217530984,0.19442005949216046,0.19442005949216046,0.11237717260732483
ovrbench,philippine,global,0.19142655750489573,0.3356601668011946,0.0,0.03549172711397569,0.03549172711397569,0.30540659193548847,0.30540659193548847,0.30540659193548847
ovrbench,FinancialTransaction4,local,0.18342578442380594,0.03306764702166781,0.03306764702166781,0.06868070171175361,0.06868070171175361,0.20314956250483798,0.20314956250483798,0.19473568797290564
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,global,0.07252967380028713,0.022357361982763987,0.022357361982763987,0.053284639343177856,0.053284639343177856,0.09259342057582944,0.09259342057582944,0.09259342057582944
ovrbench,SpectralImaging,global,0.48240869435405453,0.0,0.7825221884075265,0.005066662431481572,0.005066662431481572,0.14372547222679943,0.14372547222679943,0.14372547222679943
oddbench,BarExamPrediction,global,0.19862551500647324,0.11605912800275237,0.11605912800275237,0.11605912800275237,0.11605912800275237,0.21922853788187033,0.21922853788187033,0.21922853788187033
ovrbench,SolarFlare,local,0.23888884003717387,0.15086128173291885,0.15086128173291885,0.03746348204920125,0.03746348204920125,0.12207381009509727,0.12207381009509727,0.12207381009509727
ovrbench,ailerons,global,0.20863984380302517,0.03281749126256239,0.03281749126256239,0.03281749126256239,0.03281749126256239,0.18171878019716603,0.18171878019716603,0.18171878019716603
oddbench,FinancialTransactionAnomalies,global,0.09584096188874419,0.0,0.0,0.07646419093701351,0.07646419093701351,0.15497294824492824,0.15497294824492824,0.15497294824492824
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,local,0.02279719239634647,0.012016852891652587,0.012016852891652587,0.011409888079702044,0.008038484497812914,0.01801146317161461,0.01801146317161461,0.01801146317161461
oddbench,SalesOrderPriority,local,0.27045541370668724,0.05344931189156163,0.05344931189156163,0.23686090379496094,0.23686090379496094,0.2636265925149016,0.2636265925149016,0.2917883034667796
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,local,0.13847592822364949,0.0,0.0,0.10102310884026869,0.10102310884026869,0.17747542140749223,0.17747542140749223,0.17747542140749223
ovrbench,NeuroSignalEEG,global,0.6733664703839077,0.0,0.0,0.0,0.0,0.7437806181116375,0.7437806181116375,0.7479214712489435
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,global,0.044683127987006854,0.030360440699171903,0.030360440699171903,0.03534191513497904,0.03534191513497904,0.035322158686597535,0.035322158686597535,0.035322158686597535
ovrbench,EEGEyeState,local,0.6195348745761209,0.02972444165566268,0.02972444165566268,0.08857232734785025,0.08857232734785025,0.7632778498204834,0.7632778498204834,0.7632778498204834
ovrbench,AmazonReviewAnomalies,global,0.3021578204120149,0.07709368382899112,0.07042812017410577,0.07709368382899112,0.1633976560313682,0.10192476516289606,0.10192476516289606,0.1633976560313682
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,local,0.1043508288362511,0.04522352466914077,0.04522352466914077,0.05374857906172624,0.05374857906172624,0.10846957231184443,0.10846957231184443,0.10846957231184443
ovrbench,jannis,global,0.18671329521475943,0.1803917761602114,0.023959748608718745,0.0,0.0,0.2710174819236388,0.2710174819236388,0.2710174819236388
ovrbench,sf-police-incidents,local,0.10985771466239957,0.14405502024939743,0.14405502024939743,0.14405502024939743,0.14405502024939743,0.1191709684968907,0.1191709684968907,0.1191709684968907
ovrbench,CreditCustomerData,local,0.13493567277031013,0.09798378338295381,0.08437761799462963,0.20502429850289677,0.20502429850289677,0.11268131247977532,0.11268131247977532,0.11268131247977532
ovrbench,CelestialObjects2,global,0.28968731716161145,0.22847990460546844,0.14382388785169553,0.14382388785169553,0.14382388785169553,0.14382388785169553,0.14382388785169553,0.14382388785169553
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,local,0.09959909856875487,0.023154072969982342,0.023154072969982342,0.007914983672591358,0.14367240565525913,0.14367240565525913,0.14367240565525913,0.14367240565525913
oddbench,TBAnomalyDetection,local,0.1839968223370551,0.21472962799358847,0.06485653602157648,0.08246638188985522,0.08246638188985522,0.13299244092035678,0.13299244092035678,0.13299244092035678
ovrbench,PsychoPrediction,global,0.1278262143596507,0.0380008373341272,0.0380008373341272,0.05055366945237499,0.0380008373341272,0.22360957504752516,0.22360957504752516,0.22360957504752516
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,local,0.03232152480879039,0.011762847096862233,0.011762847096862233,0.010561180514007694,0.011609676424827194,0.03836978195717557,0.03836978195717557,0.004361075934736652
