corpus,dataset,truefam,reg_random,reg_beta1,reg_matched,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits
ovrbench,BusinessAnomalies,global,0.1386530945014788,0.0,0.0407041431136004,0.0407041431136004,0.0806639843035451,0.0806639843035451,0.0806639843035451,0.0806639843035451
adbench,22_magic.gamma,local,0.3124227526012907,0.0089589050178894,0.0089589050178894,0.0366809270011165,0.0089589050178894,0.2502982137925461,0.2502982137925461,0.354403970088284
ovrbench,FakeNewsPropagation,global,0.2492496266293316,0.0974896735792156,0.0974896735792156,0.087826610457798,0.087826610457798,0.1042812453306295,0.1042812453306295,0.1042812453306295
ovrbench,philippine,global,0.1929659433763379,0.3356601668011946,0.0,0.0354917271139756,0.0354917271139756,0.3054065919354884,0.3054065919354884,0.3054065919354884
ovrbench,guillermo,global,0.0225034682831235,0.0349298226793967,0.0349298226793967,0.0110019675884529,0.0110019675884529,0.0162191120550303,0.0162191120550303,0.0147186408434777
ovrbench,FinancialTransaction4,local,0.1825392883745425,0.0330676470216678,0.0330676470216678,0.0686807017117536,0.0686807017117536,0.2031495625048379,0.2031495625048379,0.1947356879729056
ovrbench,SpectralImaging,global,0.4920175629087152,0.0,0.7825221884075265,0.0050666624314815,0.0050666624314815,0.1437254722267994,0.1437254722267994,0.1437254722267994
oddbench,BarExamPrediction,global,0.2010671370377948,0.1160591280027523,0.1160591280027523,0.1160591280027523,0.1160591280027523,0.2192285378818703,0.2192285378818703,0.1103854770847207
ovrbench,SolarFlare,local,0.2422800996399544,0.1508612817329188,0.1508612817329188,0.0374634820492012,0.0374634820492012,0.1220738100950972,0.1220738100950972,0.1220738100950972
ovrbench,ailerons,global,0.2039390400981167,0.0328174912625623,0.0328174912625623,0.0328174912625623,0.0328174912625623,0.1194465674569998,0.1194465674569998,0.0497570862181631
oddbench,FinancialTransactionAnomalies,global,0.0962654371644856,0.0,0.0,0.0764641909370135,0.0764641909370135,0.1549729482449282,0.1549729482449282,0.1549729482449282
oddbench,SalesOrderPriority,local,0.2697328263702126,0.0534493118915616,0.0534493118915616,0.2368609037949609,0.2368609037949609,0.2636265925149016,0.2636265925149016,0.2870428785419169
ovrbench,NeuroSignalEEG,global,0.6742411218651461,0.0,0.0,0.0,0.0,0.7437806181116375,0.7437806181116375,0.7479214712489435
ovrbench,EEGEyeState,local,0.6194390166043447,0.0297244416556626,0.0297244416556626,0.0885723273478502,0.0885723273478502,0.7632778498204834,0.7632778498204834,0.7632778498204834
ovrbench,jannis,global,0.1827313836408232,0.1803917761602114,0.0239597486087187,0.0,0.0,0.2710174819236388,0.2710174819236388,0.2710174819236388
ovrbench,AmazonReviewAnomalies,global,0.302200615664306,0.0770936838289911,0.0774185049500016,0.0770936838289911,0.1633976560313682,0.0774185049500016,0.0774185049500016,0.1633976560313682
ovrbench,sf-police-incidents,local,0.0757483089651064,0.1075274516081222,0.1075274516081222,0.1075274516081222,0.1075274516081222,0.0826433998556155,0.0826433998556155,0.0826433998556155
ovrbench,CreditCustomerData,local,0.1075063759969401,0.069428300299136,0.0558221349108119,0.176468815419079,0.176468815419079,0.0841258293959576,0.0841258293959576,0.0841258293959576
ovrbench,CelestialObjects2,global,0.2912592997734523,0.2284799046054684,0.1438238878516955,0.1438238878516955,0.1438238878516955,0.1438238878516955,0.1438238878516955,0.1438238878516955
oddbench,TBAnomalyDetection,local,0.1836236069924176,0.2147296279935884,0.0596685949192741,0.077038615723143,0.077038615723143,0.1329924409203567,0.1329924409203567,0.1329924409203567
ovrbench,PsychoPrediction,global,0.1306335101986216,0.0411483420179866,0.0411483420179866,0.0951807542136144,0.0411483420179866,0.2267570797313845,0.2267570797313845,0.2267570797313845
ovrbench,CustomerChurn2,local,0.2051861235801658,0.2801886976401918,0.2801886976401918,0.1118589449992665,0.4836246997510814,0.1333288532476282,0.1333288532476282,0.1333288532476282
ovrbench,FinancialMetricsAnomaly,global,0.0980296557314372,0.0958678037931156,0.0958678037931156,0.1294190541461748,0.1294190541461748,0.1373963708387067,0.1373963708387067,0.1379401545271531
ovrbench,CardiacHealth,local,0.653474581562728,0.0030992569078435,0.0030992569078435,0.0,0.0,0.7774070204512654,0.7774070204512654,0.7774070204512654
ovrbench,SensorAnomaly,local,0.1694972329086632,0.2061146974610165,0.2061146974610165,0.2530773718884036,0.2061146974610165,0.2061146974610165,0.2061146974610165,0.2061146974610165
ovrbench,BCellImmunity,global,0.2307494115050467,0.1114525268554938,0.1114525268554938,0.176517289005631,0.176517289005631,0.2656635817835679,0.2656635817835679,0.2656635817835679
oddbench,HealthPulse,local,0.0649551288226269,0.0,0.0829267298606891,0.0829267298606891,0.0829267298606891,0.0829267298606891,0.0829267298606891,0.0829267298606891
oddbench,PropertyCondition,local,0.0911646489155182,0.2053982685816069,0.1780846322900924,0.2334999547188566,0.2053982685816069,0.1780846322900924,0.1780846322900924,0.1780846322900924
ovrbench,HealthActivityObesity,local,0.1763006641246221,0.0001021411868015,0.0530328463922018,0.2520168227091593,0.0530328463922018,0.2520168227091593,0.2520168227091593,0.2520168227091593
oddbench,TransactionFeeAnomalies,local,0.501013797714163,0.1955061368937751,0.1955061368937751,0.8522233489756588,0.0298275344886179,0.3676716570839751,0.3676716570839751,0.0
ovrbench,TwitterEmotion,local,0.0708337016013111,0.0927513438303925,0.0367946237403984,0.0927513438303925,0.0927513438303925,0.0977656709069391,0.0977656709069391,0.0977656709069391
ovrbench,BoundingBoxClassification,global,0.1976890627007993,0.368616250615321,0.1188303715068235,0.1188303715068235,0.1188303715068235,0.0318218157869886,0.0318218157869886,0.0318218157869886
ovrbench,FootballEfficiency,local,0.0763876254466894,0.0099892702535685,0.0706531872585269,0.0706531872585269,0.0706531872585269,0.1663535665985616,0.1663535665985616,0.0805784414676471
oddbench,GeneticVariation,global,0.1692702579767906,0.3628757502147873,0.2155218074778623,0.1854329313355248,0.1854329313355248,0.14377314756919,0.14377314756919,0.14377314756919
adbench,35_SpamBase,global,0.2194027399020262,0.4886066661527776,0.4886066661527776,0.0,0.0,0.1511612017674293,0.1511612017674293,0.1700367001081975
dami,SpamBase,global,0.3475234570577605,0.5339516895948642,0.5339516895948642,0.0,0.0,0.4830427290605182,0.4830427290605182,0.5902030792341514
oddbench,ProsperLoan,local,0.060215737583436,0.0099451444042109,0.0569198309846443,0.0428830672661624,0.0569198309846443,0.0550934540099449,0.0550934540099449,0.0218459987549966
ovrbench,JobChangePatterns,global,0.3218545916379797,0.3186736200144506,0.1807774400255177,0.3186736200144506,0.3186736200144506,0.2449865397775863,0.2449865397775863,0.2449865397775863
ovrbench,TrafficSensor,local,0.5728269467996715,0.0400119476799081,0.0400119476799081,0.0562567018248503,0.0562567018248503,0.5593566790693507,0.5593566790693507,0.5593566790693507
ovrbench,PokemonBattle,local,0.1809130544037024,0.0050045095429729,0.0947311441418079,0.0947311441418079,0.0947311441418079,0.1821186484627502,0.1821186484627502,0.1821186484627502
ovrbench,RealEstateListings,local,0.1147175850102821,0.1440009715979066,0.1440009715979066,0.1702765641852188,0.1702765641852188,0.0853473316998795,0.0853473316998795,0.0853473316998795
oddbench,BuildingInspections,global,0.2336617741814556,0.1890461422070835,0.1890461422070835,0.3185783904941562,0.3185783904941562,0.3200070786533453,0.3200070786533453,0.3200070786533453
