corpus,dataset,truefam,reg_random,reg_p1,reg_pe,corr_str,lev,reg_beta1,reg_matched,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits,reg_corr_str,reg_combined
ovrbench,BusinessAnomalies,global,0.13813639244787168,0.0,0.04070414311360049,0.022435966069176264,-0.22025625000000015,0.0,0.04070414311360049,0.04070414311360049,0.08066398430354516,0.08066398430354516,0.08066398430354516,0.08066398430354516,0.04070414311360049,0.04070414311360049
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,global,0.04034527803925472,0.010670787609305593,0.021178439462648357,0.5884032509426778,-0.035186858316221925,0.010670787609305593,0.010670787609305593,0.021178439462648357,0.021178439462648357,0.04158298028025176,0.04158298028025176,0.04158298028025176,0.010670787609305593,0.010670787609305593
ovrbench,FakeNewsPropagation,global,0.2536617201352367,0.09748967357921567,0.09748967357921567,0.1860008323858544,-0.21152916666666666,0.09748967357921567,0.09748967357921567,0.087826610457798,0.087826610457798,0.10428124533062955,0.10428124533062955,0.10428124533062955,0.09748967357921567,0.09748967357921567
adbench,22_magic.gamma,local,0.31707539523688455,0.00895890501788943,0.024775488407860147,0.3715853513101798,-0.08795416666666667,0.00895890501788943,0.00895890501788943,0.03668092700111658,0.00895890501788943,0.35440397008828406,0.35440397008828406,0.35440397008828406,0.00895890501788943,0.00895890501788943
ovrbench,guillermo,global,0.022355043717092973,0.034929822679396774,0.01100196758845292,0.07736196538321673,-0.07172083333333323,0.034929822679396774,0.034929822679396774,0.01100196758845292,0.01100196758845292,0.016219112055030325,0.016219112055030325,0.01471864084347779,0.01100196758845292,0.034929822679396774
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,local,0.1330094021293987,0.0,0.059032547217530984,0.5796552546965702,-0.008858218318695155,0.0,0.0,0.059032547217530984,0.059032547217530984,0.19442005949216046,0.19442005949216046,0.11237717260732483,0.0,0.0
ovrbench,philippine,global,0.1893425716155267,0.3356601668011946,0.0,0.06273772565343178,-0.23557461406518,0.3356601668011946,0.0,0.03549172711397569,0.03549172711397569,0.30540659193548847,0.30540659193548847,0.30540659193548847,0.0,0.0
ovrbench,FinancialTransaction4,local,0.17584776669224467,0.03306764702166781,0.06868070171175361,0.13946688783438513,-0.07111041666666651,0.03306764702166781,0.03306764702166781,0.06868070171175361,0.06868070171175361,0.20314956250483798,0.20314956250483798,0.19473568797290564,0.06868070171175361,0.03306764702166781
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,global,0.07163351414968908,0.022357361982763987,0.053284639343177856,0.5087495633754598,-0.027260215053763526,0.022357361982763987,0.022357361982763987,0.053284639343177856,0.053284639343177856,0.09259342057582944,0.09259342057582944,0.09259342057582944,0.022357361982763987,0.022357361982763987
ovrbench,SpectralImaging,global,0.47847564355016775,0.0,0.7825221884075265,0.24849670557726095,-0.16994583333333346,0.0,0.7825221884075265,0.005066662431481572,0.005066662431481572,0.14372547222679943,0.14372547222679943,0.14372547222679943,0.0,0.0
oddbench,BarExamPrediction,global,0.19838929835668656,0.11605912800275237,0.11605912800275237,0.2389429140502359,-0.13116666666666665,0.11605912800275237,0.11605912800275237,0.11605912800275237,0.11605912800275237,0.21922853788187033,0.21922853788187033,0.11038547708472074,0.11605912800275237,0.11605912800275237
ovrbench,SolarFlare,local,0.24120660041175657,0.15086128173291885,0.1288523058872797,0.3524301233304983,-0.1146166666666667,0.15086128173291885,0.15086128173291885,0.03746348204920125,0.03746348204920125,0.12207381009509727,0.12207381009509727,0.12207381009509727,0.15086128173291885,0.15086128173291885
ovrbench,ailerons,global,0.2092881706206326,0.03281749126256239,0.03281749126256239,0.4066271331853723,-0.038695833333333485,0.03281749126256239,0.03281749126256239,0.03281749126256239,0.03281749126256239,0.1615640616997255,0.1615640616997255,0.1615640616997255,0.03281749126256239,0.03281749126256239
oddbench,FinancialTransactionAnomalies,global,0.09514214739493079,0.0,0.0,0.10366201632710743,-0.12780208333333332,0.0,0.0,0.07646419093701351,0.07646419093701351,0.15497294824492824,0.15497294824492824,0.15497294824492824,0.0,0.0
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,local,0.021890595000075463,0.012016852891652587,0.012016852891652587,0.5964485203910717,-0.004111360337775483,0.012016852891652587,0.012016852891652587,0.011409888079702044,0.008038484497812914,0.01801146317161461,0.01801146317161461,0.01801146317161461,0.012016852891652587,0.012016852891652587
oddbench,SalesOrderPriority,local,0.269946285923193,0.05344931189156163,0.23686090379496094,0.3985558051769294,-0.0677291666666664,0.05344931189156163,0.05344931189156163,0.23686090379496094,0.23686090379496094,0.2636265925149016,0.2636265925149016,0.2917883034667796,0.05344931189156163,0.05344931189156163
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,local,0.13878882709291615,0.0,0.02644048538814779,0.5536726337857161,-0.01596306068601583,0.0,0.0,0.10102310884026869,0.10102310884026869,0.17809815180517521,0.17809815180517521,0.17747542140749223,0.0,0.0
ovrbench,NeuroSignalEEG,global,0.6711877142299616,0.0,0.0,0.022338213105253746,-0.10886249999999997,0.0,0.0,0.0,0.0,0.7437806181116375,0.7437806181116375,0.7437806181116375,0.0,0.0
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,global,0.04287737363333911,0.030360440699171903,0.03534191513497904,0.5284371523061353,-0.0030810008481763074,0.030360440699171903,0.030360440699171903,0.03534191513497904,0.03534191513497904,0.035322158686597535,0.035322158686597535,0.035322158686597535,0.030360440699171903,0.030360440699171903
ovrbench,EEGEyeState,local,0.622322596650736,0.02972444165566268,0.02972444165566268,0.5641517581792473,-0.00560000000000016,0.02972444165566268,0.02972444165566268,0.08857232734785025,0.08857232734785025,0.7632778498204834,0.7632778498204834,0.7632778498204834,0.02972444165566268,0.02972444165566268
ovrbench,AmazonReviewAnomalies,global,0.30208832454466317,0.07709368382899112,0.1232368355361741,0.2640277919740898,-0.20668125000000004,0.07709368382899112,0.1232368355361741,0.07709368382899112,0.1633976560313682,0.1232368355361741,0.1232368355361741,0.1633976560313682,0.07709368382899112,0.07709368382899112
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,local,0.10456371621427354,0.04522352466914077,0.05374857906172624,0.5697649375343067,-0.013970335339638762,0.04522352466914077,0.04522352466914077,0.05374857906172624,0.05374857906172624,0.12350335806501489,0.12350335806501489,0.12350335806501489,0.04522352466914077,0.04522352466914077
ovrbench,jannis,global,0.1825390309216866,0.1803917761602114,0.023959748608718745,0.0706678703764598,-0.2246625000000001,0.1803917761602114,0.023959748608718745,0.0,0.0,0.2710174819236388,0.2710174819236388,0.2710174819236388,0.023959748608718745,0.023959748608718745
ovrbench,sf-police-incidents,local,0.07487716098093392,0.10793080830161617,0.10793080830161617,0.04411695375354036,-0.19441874999999997,0.10793080830161617,0.10793080830161617,0.10793080830161617,0.10793080830161617,0.08304675654910942,0.08304675654910942,0.08304675654910942,0.10793080830161617,0.10793080830161617
ovrbench,CreditCustomerData,local,0.07830862280967466,0.03680347942658679,0.023197314038262605,0.14886016758974444,-0.29866249999999994,0.03680347942658679,0.023197314038262605,0.14384399454652974,0.14384399454652974,0.0515010085234083,0.0515010085234083,0.0515010085234083,0.023197314038262605,0.023197314038262605
ovrbench,CelestialObjects2,global,0.28844533734884775,0.22847990460546844,0.14382388785169553,0.19418221668190688,-0.19910208333333335,0.22847990460546844,0.14382388785169553,0.14382388785169553,0.14382388785169553,0.14382388785169553,0.14382388785169553,0.14382388785169553,0.14382388785169553,0.14382388785169553
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,local,0.10179445973600726,0.023154072969982342,0.0,0.3908557374986337,-0.03062332798287859,0.023154072969982342,0.023154072969982342,0.007914983672591358,0.14367240565525913,0.14367240565525913,0.14367240565525913,0.14367240565525913,0.023154072969982342,0.023154072969982342
oddbench,TBAnomalyDetection,local,0.1859598319585274,0.21472962799358847,0.12038811717703929,0.07226522201496907,-0.17582083333333332,0.21472962799358847,0.12038811717703929,0.07725133114316518,0.07725133114316518,0.13299244092035678,0.13299244092035678,0.13299244092035678,0.12038811717703929,0.12038811717703929
ovrbench,PsychoPrediction,global,0.13386665318572127,0.04440891394788029,0.04440891394788029,0.006320571610225895,-0.0367729166666666,0.04440891394788029,0.04440891394788029,0.056961746066128076,0.04440891394788029,0.23001765166127824,0.23001765166127824,0.23001765166127824,0.04440891394788029,0.04440891394788029
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,local,0.033201964089710434,0.011762847096862233,0.010561180514007694,0.489688803219545,-0.009702005730659047,0.011762847096862233,0.011762847096862233,0.010561180514007694,0.011609676424827194,0.038222249686401456,0.038222249686401456,0.004361075934736652,0.011762847096862233,0.011762847096862233
ovrbench,CustomerChurn2,local,0.20681009734856168,0.28018869764019183,0.11185894499926652,0.194557907225906,-0.05827500000000008,0.28018869764019183,0.28018869764019183,0.11185894499926652,0.48362469975108147,0.13332885324762828,0.13332885324762828,0.13332885324762828,0.11185894499926652,0.28018869764019183
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,local,0.09350302701404678,0.051023792119596414,0.051023792119596414,0.45019276807176273,-0.05279742096505835,0.051023792119596414,0.051023792119596414,0.051023792119596414,0.0550871514895692,0.10014065170476358,0.10014065170476358,0.10014065170476358,0.051023792119596414,0.051023792119596414
ovrbench,FinancialMetricsAnomaly,global,0.09793700431998735,0.09586780379311562,0.12941905414617483,0.1925984911576966,-0.11454081632653057,0.09586780379311562,0.09586780379311562,0.12941905414617483,0.12941905414617483,0.13739637083870673,0.13739637083870673,0.13794015452715314,0.12941905414617483,0.09586780379311562
ovrbench,CardiacHealth,local,0.6507800036589733,0.0030992569078435173,0.0035648729537258728,0.17925125217190535,-0.06025416666666661,0.0030992569078435173,0.0030992569078435173,0.0,0.0,0.7774070204512654,0.7774070204512654,0.7774070204512654,0.0035648729537258728,0.0030992569078435173
ovrbench,SensorAnomaly,local,0.16910982034427477,0.20611469746101657,0.20611469746101657,0.05753764238682382,-0.23116249999999994,0.20611469746101657,0.20611469746101657,0.2530773718884036,0.20611469746101657,0.20611469746101657,0.20611469746101657,0.20611469746101657,0.20611469746101657,0.20611469746101657
ovrbench,BCellImmunity,global,0.23072521432247275,0.11145252685549388,0.26477208973413324,0.19479637945104286,-0.08749583333333344,0.11145252685549388,0.11145252685549388,0.17651728900563107,0.17651728900563107,0.26566358178356797,0.26566358178356797,0.26477208973413324,0.26477208973413324,0.11145252685549388
oddbench,HealthPulse,local,0.0650286736746618,0.0,0.08292672986068918,0.16246863769271586,-0.1582958333333333,0.0,0.08292672986068918,0.08292672986068918,0.08292672986068918,0.08292672986068918,0.08292672986068918,0.08292672986068918,0.08292672986068918,0.08292672986068918
oddbench,PropertyCondition,local,0.09026438795384023,0.20539826858160698,0.17808463229009244,0.10581602685842036,-0.22318958333333327,0.20539826858160698,0.17808463229009244,0.23349995471885665,0.20539826858160698,0.17808463229009244,0.17808463229009244,0.17808463229009244,0.17808463229009244,0.17808463229009244
ovrbench,HealthActivityObesity,local,0.1793272132166596,0.0001021411868015118,0.05303284639220188,0.411183706409229,-0.21267499999999984,0.0001021411868015118,0.05303284639220188,0.2520168227091593,0.23146623386635684,0.2520168227091593,0.2520168227091593,0.2520168227091593,0.0001021411868015118,0.0001021411868015118
oddbench,TransactionFeeAnomalies,local,0.5010724589996496,0.19550613689377516,0.19550613689377516,0.515373956267782,0.0,0.19550613689377516,0.19550613689377516,0.8522233489756588,0.02982753448861797,0.3676716570839751,0.02078444384128353,0.0,0.19550613689377516,0.19550613689377516
ovrbench,TwitterEmotion,local,0.0718147308092784,0.09275134383039256,0.036794623740398436,0.10373163173517654,-0.25671140939597326,0.09275134383039256,0.036794623740398436,0.09275134383039256,0.09275134383039256,0.0977656709069391,0.0977656709069391,0.0977656709069391,0.036794623740398436,0.036794623740398436
ovrbench,FootballEfficiency,local,0.0781801561076812,0.00998927025356855,0.07065318725852698,0.06255025652548553,-0.3267020833333335,0.00998927025356855,0.07065318725852698,0.07065318725852698,0.07065318725852698,0.16635356659856168,0.16635356659856168,0.08057844146764714,0.07065318725852698,0.07065318725852698
ovrbench,BoundingBoxClassification,global,0.1966456991521922,0.368616250615321,0.11883037150682352,0.1548975060307861,-0.16180208333333335,0.368616250615321,0.11883037150682352,0.11883037150682352,0.11883037150682352,0.031821815786988616,0.031821815786988616,0.031821815786988616,0.11883037150682352,0.11883037150682352
oddbench,GeneticVariation,global,0.18110952221013063,0.37352907182930195,0.22617512909237691,,-0.18994535519125677,0.37352907182930195,0.22617512909237691,0.19608625295003948,0.19608625295003948,0.15442646918370467,0.15442646918370467,0.17781063256330437,0.22617512909237691,0.22617512909237691
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,global,0.22537735039324963,0.11417153058759888,0.1090419596550149,,-0.014914465136422694,0.11417153058759888,0.11417153058759888,0.513011887173544,0.513011887173544,0.12362803221723773,0.12362803221723773,0.12362803221723773,0.1090419596550149,0.11417153058759888
adbench,35_SpamBase,global,0.21410620246138845,0.4886066661527776,0.4886066661527776,0.04806319365541899,-0.0393083003952569,0.4886066661527776,0.4886066661527776,0.0,0.0,0.1511612017674293,0.1511612017674293,0.1700367001081975,0.4886066661527776,0.4886066661527776
dami,SpamBase,global,0.36677065821723515,0.5339516895948642,0.09386862001899698,0.04820854106962685,-0.051166007905138255,0.5339516895948642,0.5339516895948642,0.0,0.0,0.48304272906051826,0.48304272906051826,0.5902030792341514,0.09386862001899698,0.5339516895948642
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,local,0.12159952158305115,0.0,0.06846211554376634,0.5386505678421472,-0.01384704788470481,0.0,0.0,0.06846211554376634,0.06846211554376634,0.1886674608507532,0.1886674608507532,0.1886674608507532,0.0,0.0
oddbench,ProsperLoan,local,0.06347618296996813,0.013537225070387113,0.0605119116508205,0.18758343235293098,-0.16409375000000004,0.013537225070387113,0.0605119116508205,0.046475147932338576,0.0605119116508205,0.05868553467612109,0.05868553467612109,0.025438079421172766,0.0605119116508205,0.0605119116508205
ovrbench,JobChangePatterns,global,0.33259943176005247,0.3283553643492836,0.21950451698966297,0.10592199109017135,-0.3095895833333334,0.3283553643492836,0.21950451698966297,0.3283553643492836,0.3283553643492836,0.25466828411241926,0.25466828411241926,0.25466828411241926,0.21950451698966297,0.21950451698966297
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,local,0.014248190664573683,0.002976651286634463,0.0026226779857123385,0.5460436614557783,-0.007502236536052864,0.002976651286634463,0.002976651286634463,0.0032837651068226906,0.0032837651068226906,0.022818815825684777,0.022818815825684777,0.022818815825684777,0.002976651286634463,0.002976651286634463
ovrbench,TrafficSensor,local,0.573370741520831,0.04001194767990812,0.04001194767990812,0.2833100517971767,-0.017514583333333444,0.04001194767990812,0.04001194767990812,0.05625670182485032,0.05625670182485032,0.5593566790693507,0.5593566790693507,0.5593566790693507,0.04001194767990812,0.04001194767990812
ovrbench,PokemonBattle,local,0.1795248895189291,0.00500450954297299,0.09473114414180797,0.1764841987259353,-0.22059791666666662,0.00500450954297299,0.09473114414180797,0.09473114414180797,0.09473114414180797,0.18211864846275022,0.18211864846275022,0.18211864846275022,0.09473114414180797,0.09473114414180797
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,local,0.04082982327756743,0.03373461753512227,0.002376677396780366,0.5951617362688973,-0.031074004808976596,0.03373461753512227,0.03373461753512227,0.008296869993336273,0.0036149401878406845,0.03849768974159777,0.03849768974159777,0.0028426944037953927,0.03373461753512227,0.03373461753512227
ovrbench,RealEstateListings,local,0.11816065623556958,0.1440009715979066,0.15802798301169962,0.12843913617330907,-0.09166666666666679,0.1440009715979066,0.1440009715979066,0.17027656418521886,0.17027656418521886,0.08534733169987954,0.08534733169987954,0.08534733169987954,0.15802798301169962,0.1440009715979066
oddbench,BuildingInspections,global,0.2362702556483042,0.18904614220708357,0.32024121304233194,0.12549851454723152,-0.1111854166666667,0.18904614220708357,0.18904614220708357,0.31857839049415626,0.31857839049415626,0.3200070786533453,0.3200070786533453,0.3200070786533453,0.32024121304233194,0.18904614220708357
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,local,0.12407838176345318,0.009531369026063219,0.09981423363198154,0.5305702278902404,-0.004298564786739512,0.009531369026063219,0.009531369026063219,0.10484402948025194,0.10484402948025194,0.15927303653364858,0.15927303653364858,0.15927303653364858,0.009531369026063219,0.009531369026063219
ovrbench,ViralProteinFunction,local,0.15453905414200308,0.2508512299709335,0.13797002850855508,0.3375818077960641,-0.0998916666666666,0.2508512299709335,0.2508512299709335,0.13797002850855508,0.13797002850855508,0.10460611108216658,0.10460611108216658,0.10460611108216658,0.2508512299709335,0.2508512299709335
ovrbench,GeotechnicalAnomalies,local,0.17122823895668585,0.015816394719659385,0.23963610300100568,0.12995249415207588,-0.2117827626918538,0.015816394719659385,0.23963610300100568,0.06648893579978653,0.06648893579978653,0.2477325349972867,0.2477325349972867,0.2477325349972867,0.23963610300100568,0.23963610300100568
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,local,0.10396585535970441,0.02098281668605162,0.021968904998702313,0.49498351888735287,-0.02081494057724964,0.02098281668605162,0.02098281668605162,0.021968904998702313,0.021968904998702313,0.14913665147986752,0.14913665147986752,0.14913665147986752,0.02098281668605162,0.02098281668605162
oddbench,ProtestViolence,global,0.6671167532670604,0.8650689069673555,0.543028908879276,0.04826014227915695,-0.05238125000000016,0.8650689069673555,0.8650689069673555,0.0,0.0,0.49016125232413105,0.49016125232413105,0.49016125232413105,0.543028908879276,0.8650689069673555
ovrbench,BreastCancer,global,0.058727701054241924,0.0,0.12889824179369902,0.1282602833105365,-0.21070381231671553,0.0,0.12889824179369902,0.0,0.0,0.045384782426697995,0.045384782426697995,0.045384782426697995,0.12889824179369902,0.12889824179369902
ovrbench,UserMovieInteractions,global,0.3082490577582717,0.15428081856687567,0.33820714127581086,0.13043823818600345,-0.2874958333333334,0.15428081856687567,0.33820714127581086,0.15428081856687567,0.15428081856687567,0.33132704084042497,0.33132704084042497,0.33132704084042497,0.33820714127581086,0.33820714127581086
ovrbench,Word2VecPCA,global,0.1210706471787722,0.16374650548275752,0.14870107706551605,0.1127207429590793,-0.14995416666666672,0.16374650548275752,0.14870107706551605,0.14870107706551605,0.14870107706551605,0.12656005146809873,0.12656005146809873,0.11782032222132863,0.14870107706551605,0.14870107706551605
