dataset,n_hard_current,n_hard_p25,n_hard_p50,median_purity,surv_cur,surv_p25,surv_p50
137_CreditCard_id_1_Finance_tr_500_1st_5,1513,3,0,0.016,True,False,False
173_GECCO_id_1_Sensor_tr_16165_1st_16265,311,211,43,0.328,True,True,False
103_SVDB_id_20_Medical_tr_12167_1st_1226,630,514,392,0.641,True,True,True
099_SVDB_id_16_Medical_tr_1115_1st_1215.,1650,1363,1030,0.656,True,True,True
107_SVDB_id_24_Medical_tr_32805_1st_3290,605,503,397,0.719,True,True,True
093_SVDB_id_10_Medical_tr_500_1st_37.csv,1723,1444,1146,0.719,True,True,True
098_SVDB_id_15_Medical_tr_500_1st_303.cs,1385,1156,914,0.719,True,True,True
088_SVDB_id_5_Medical_tr_500_1st_168.csv,2175,1815,1432,0.734,True,True,True
109_SVDB_id_26_Medical_tr_1038_1st_1138.,1958,1650,1316,0.75,True,True,True
086_SVDB_id_3_Medical_tr_533_1st_633.csv,1468,1251,1017,0.781,True,True,True
097_SVDB_id_14_Medical_tr_1031_1st_1131.,2556,2172,1756,0.781,True,True,True
112_SVDB_id_29_Medical_tr_8226_1st_8326.,229,196,162,0.844,True,True,True
085_SVDB_id_2_Medical_tr_50000_1st_54982,759,653,539,0.844,True,True,True
111_SVDB_id_28_Medical_tr_1791_1st_1891.,1944,1673,1383,0.844,True,True,True
084_SVDB_id_1_Medical_tr_12973_1st_13073,312,268,222,0.844,True,True,True
087_SVDB_id_4_Medical_tr_5421_1st_5521.c,1128,972,806,0.844,True,True,True
082_LTDB_id_4_Medical_tr_4456_1st_4556.c,1405,1214,1014,0.875,True,True,True
095_SVDB_id_12_Medical_tr_6264_1st_6364.,644,557,467,0.906,True,True,True
096_SVDB_id_13_Medical_tr_500_1st_444.cs,656,573,487,0.938,True,True,True
113_SVDB_id_30_Medical_tr_4552_1st_4652.,858,755,639,0.938,True,True,True
105_SVDB_id_22_Medical_tr_500_1st_417.cs,1072,942,806,0.984,True,True,True
110_SVDB_id_27_Medical_tr_30824_1st_3092,652,575,492,0.984,True,True,True
021_MITDB_id_3_Medical_tr_50000_1st_5759,622,587,551,1.0,True,True,True
026_MITDB_id_8_Medical_tr_30495_1st_3059,1828,1738,1642,1.0,True,True,True
140_CATSv2_id_3_Sensor_tr_28307_1st_2840,1848,1799,1749,1.0,True,True,True
104_SVDB_id_21_Medical_tr_50000_1st_1066,268,245,218,1.0,True,True,True
102_SVDB_id_19_Medical_tr_50000_1st_1073,860,850,838,1.0,True,True,True
030_MITDB_id_12_Medical_tr_50000_1st_845,1908,1795,1677,1.0,True,True,True
031_MITDB_id_13_Medical_tr_50000_1st_794,723,672,616,1.0,True,True,True
115_PSM_id_1_Facility_tr_50000_1st_12987,1745,1580,1515,1.0,True,True,True
108_SVDB_id_25_Medical_tr_1238_1st_1338.,565,510,446,1.0,True,True,True
138_CATSv2_id_1_Sensor_tr_16568_1st_1666,137,131,125,1.0,True,True,True
022_MITDB_id_4_Medical_tr_50000_1st_5425,927,879,829,1.0,True,True,True
091_SVDB_id_8_Medical_tr_500_1st_126.csv,1432,1284,1122,1.0,True,True,True
139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,451,436,416,1.0,True,True,True
142_CATSv2_id_5_Sensor_tr_30704_1st_3080,1119,1095,1069,1.0,True,True,True
172_SWaT_id_2_Sensor_tr_23700_1st_23800.,3239,3191,3137,1.0,True,True,True
092_SVDB_id_9_Medical_tr_2674_1st_2774.c,857,809,757,1.0,True,True,True
141_CATSv2_id_4_Sensor_tr_41727_1st_4182,413,391,369,1.0,True,True,True
101_SVDB_id_18_Medical_tr_1851_1st_1951.,1322,1172,1010,1.0,True,True,True
053_GHL_id_22_Sensor_tr_50000_1st_126448,425,417,407,1.0,True,True,True
143_CATSv2_id_6_Sensor_tr_50000_1st_6023,277,263,249,1.0,True,True,True
019_MITDB_id_1_Medical_tr_37500_1st_1032,1167,1165,1163,1.0,True,True,True
