corpus,dataset,n_hard,base_rate,oracle_apnorm,reg_beta1,reg_matched,reg_random,truefam
ovrbench,sf-police-incidents,269319,0.996,0.149,0.11754866780139805,0.11754866780139805,0.07260269239666636,local
ovrbench,PsychoPrediction,14278,0.922,0.036,0.0,0.0,0.05723925785529835,global
ovrbench,KickstarterCampaigns,16387,0.932,0.095,0.15475102030416166,0.10132416715415762,0.1928620791860998,global
ovrbench,NeuroSignalEEG,13799,0.92,0.658,0.0,0.0,0.6286542867396104,global
ovrbench,ViralProteinFunction,9334,0.886,0.243,0.19833659130569734,0.19833659130569734,0.1467782133648312,local
ovrbench,jannis,7428,0.861,0.329,0.1635230211766105,0.008533250032723594,0.18047647874058542,global
ovrbench,SolarFlare,7487,0.862,0.487,0.0009285000868962112,0.0009285000868962112,0.23346183895839573,global
oddbench,GlobalTerrorismAttack,6997,0.854,0.14,0.6233272036131893,0.6233272036131893,0.36776030562624257,global
ovrbench,EmployeePerformance,6242,0.839,0.471,0.138414546641269,0.138414546641269,0.4106162792043315,local
ovrbench,CreditScoringAnomalies,6362,0.841,0.19,0.3202638392042785,0.3202638392042785,0.3106484345266597,local
ovrbench,XSSDetection,5642,0.825,0.513,0.6438291287656643,0.6438291287656643,0.5952707508240549,global
ovrbench,UserMovieInteractions,5486,0.821,0.243,0.15940119899749178,0.33925285110502906,0.3147896648736907,global
oddbench,PropertyCondition,5140,0.811,0.027,0.12361523230384938,0.04707871991106459,0.03560425529424313,local
ovrbench,SpectralImaging,5398,0.818,0.891,0.024503954780559445,0.5448112815068193,0.36759715365145795,global
adbench,22_magic.gamma,4578,0.792,0.578,0.027706943536676465,0.027706943536676465,0.270204339068059,local
ovrbench,RealEstateListings,4431,0.787,0.044,0.19774574573487433,0.19774574573487433,0.16520643269695362,local
ovrbench,BNG(cmc),4444,0.787,0.082,0.2257056598855961,0.2257056598855961,0.21250465133797103,local
ovrbench,BoundingBoxClassification,3498,0.745,0.81,0.08334144026247314,0.08334144026247314,0.2076678026052884,local
ovrbench,FireRiskAnalysis,3817,0.761,0.242,0.06992593091254026,0.08147421109182268,0.14966884050765078,global
ovrbench,CardiacHealth,3599,0.75,0.982,0.0006022551394837539,0.0006022551394837539,0.5843366481908914,local
ovrbench,PhysicsTraining,3624,0.751,0.081,0.11189335907925038,0.11189335907925038,0.09715906330704005,local
ovrbench,HealthActivityObesity,3564,0.748,0.015,0.08611339941237287,0.2739196685015867,0.20839531748654552,local
oddbench,SalesOrderPriority,3486,0.744,0.253,0.20340884549445196,0.20340884549445196,0.25034163454296454,local
oddbench,MouseInteractionPhase,3246,0.73,1.0,0.0,0.0,0.2726786385921872,local
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,3239,0.408,0.898,0.0,0.0,0.09586412383887233,local
ovrbench,Run_or_walk_information,3148,0.724,0.579,0.0,0.36049540760287124,0.5769149576878396,local
oddbench,ProsperLoan,2949,0.711,0.16,0.027489629767147417,0.08972492604748425,0.09436805298146182,local
ovrbench,JobChangePatterns,2860,0.704,0.463,0.36733383801181785,0.1851393636743499,0.33083483767532323,global
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,2481,0.513,0.669,0.026576025033420936,0.026576025033420936,0.05504569032912088,local
oddbench,CourseRegistration,2202,0.647,0.104,0.21521861253511027,0.21521861253511027,0.28693477430934444,local
oddbench,RacingMotion,2545,0.68,0.999,0.9029925214255078,0.9029925214255078,0.4666902919853997,local
oddbench,PoliceForceDisturbance,2131,0.64,0.243,0.34308655753093026,0.34308655753093026,0.31769758306948126,local
ovrbench,FakeNewsPropagation,2185,0.645,0.447,0.07377291039730366,0.07377291039730366,0.21993219078395151,global
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,2009,0.454,0.194,0.029907899806334542,0.029907899806334542,0.091793983808465,local
ovrbench,WebpageSessionIntrusion,1888,0.611,0.066,0.0,0.1797274312571538,0.15408162876505457,local
ovrbench,FinancialTransaction4,1964,0.621,0.302,0.0,0.0,0.16100009535069276,local
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,1935,0.436,0.751,0.0,0.0,0.1007874579035295,local
oddbench,FinancialTransactionAnomalies,1929,0.616,0.1,0.0024981589193801834,0.0024981589193801834,0.061157498770173256,local
oddbench,ProtestViolence,1626,0.575,0.757,0.8136990636629274,0.8136990636629274,0.6419576602616746,global
ovrbench,TextAnomalyDetection,1910,0.614,-0.03,0.11027917460450187,0.11027917460450187,0.10000669100932372,global
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,1813,0.199,0.033,0.010335763718863595,0.010335763718863595,0.02094715549371106,local
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,1848,0.285,0.603,0.1301402195605048,0.1301402195605048,0.24534329571178048,global
oddbench,HumanRobotCollaboration,1806,0.601,0.619,0.004025879460857307,0.004025879460857307,0.4878356008601121,local
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,1745,0.446,0.488,0.20135496545106774,0.20135496545106774,0.16427143781433579,global
oddbench,TBAnomalyDetection,1680,0.583,0.362,0.24493069662460387,0.04406826473055897,0.17952872776359424,local
dami,SpamBase,1679,0.768,0.739,0.5339516895948642,0.5339516895948642,0.3443231506621175,global
adbench,35_SpamBase,1679,0.768,0.733,0.4886066661527776,0.4886066661527776,0.2152717974518613,global
ovrbench,CelestialObjects2,1528,0.56,0.548,0.271773589043079,0.15032261682148845,0.329000584123405,global
ovrbench,NetworkHealthMonitor,1423,0.543,0.551,0.050270647719181216,0.050270647719181216,0.13418817557851137,local
ovrbench,Word2VecPCA,1446,0.546,0.066,0.16449485386282903,0.1649114671073258,0.12946224436722664,global
ovrbench,AmazonReviewAnomalies,1434,0.544,0.77,0.2506972476870418,0.040843629061041775,0.4138416862802572,global
oddbench,GeneticVariation,1430,0.61,0.552,0.6236157493240325,0.23334368920806225,0.1620069324490409,global
oddbench,BuildingInspections,1399,0.538,0.221,0.20756175301379565,0.3489735961215994,0.2217357312412103,global
ovrbench,CreditCustomerData,1368,0.533,0.122,0.2150846644927809,0.057383647358172696,0.10279311002741252,local
ovrbench,ailerons,1415,0.541,0.456,0.06561167637733412,0.06561167637733412,0.2668949488170359,global
ovrbench,compass,1337,0.527,0.086,0.171704914400312,0.171704914400312,0.11428946721854358,local
ovrbench,guillermo,1327,0.525,-0.003,0.02187789901206721,0.02187789901206721,0.01712210447600008,global
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,1331,0.366,0.147,0.019728900638565444,0.019728900638565444,0.07235206983522126,local
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,1199,0.199,0.174,0.012911045541872307,0.012911045541872307,0.14187900519154278,local
oddbench,DiamondClarity,1237,0.508,0.851,0.0,0.7181237442191155,0.727023793233766,local
adbench,19_landsat,1198,0.54,0.595,0.007326517358045459,0.007326517358045459,0.4137032067781852,local
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,1167,0.399,0.408,0.023154072969982342,0.023154072969982342,0.09855293049384889,local
ovrbench,MalariaDetection,1101,0.478,0.669,0.7532082764265309,0.7532082764265309,0.5362207866417977,global
