dataset,n_seg,med_seglen,max_seglen,mean_seglen,frac_pts_in_long_seg,point_anom
137_CreditCard_id_1_Finance_tr_500_1st_5,465,1,5,1.1,0.0,True
173_GECCO_id_1_Sensor_tr_16165_1st_16265,51,22,253,33.8,0.397,True
115_PSM_id_1_Facility_tr_50000_1st_12987,72,5,8861,338.6,0.989,False
103_SVDB_id_20_Medical_tr_12167_1st_1226,61,91,415,100.8,1.0,False
096_SVDB_id_13_Medical_tr_500_1st_444.cs,43,170,355,179.8,1.0,False
086_SVDB_id_3_Medical_tr_533_1st_633.csv,117,136,278,137.8,1.0,False
112_SVDB_id_29_Medical_tr_8226_1st_8326.,17,150,197,150.5,1.0,False
138_CATSv2_id_1_Sensor_tr_16568_1st_1666,3,700,1000,666.7,1.0,False
108_SVDB_id_25_Medical_tr_1238_1st_1338.,32,109,3000,220.2,1.0,False
143_CATSv2_id_6_Sensor_tr_50000_1st_6023,7,500,1000,571.4,1.0,False
031_MITDB_id_13_Medical_tr_50000_1st_794,28,351,408,350.2,1.0,False
102_SVDB_id_19_Medical_tr_50000_1st_1073,6,203,7000,2229.3,1.0,False
088_SVDB_id_5_Medical_tr_500_1st_168.csv,191,120,150,119.7,1.0,False
030_MITDB_id_12_Medical_tr_50000_1st_845,59,379,820,453.7,1.0,False
087_SVDB_id_4_Medical_tr_5421_1st_5521.c,83,155,172,154.3,1.0,False
111_SVDB_id_28_Medical_tr_1791_1st_1891.,145,153,176,151.6,1.0,False
026_MITDB_id_8_Medical_tr_30495_1st_3059,48,522,1772,546.5,1.0,False
104_SVDB_id_21_Medical_tr_50000_1st_1066,13,167,1621,269.5,1.0,False
110_SVDB_id_27_Medical_tr_30824_1st_3092,42,157,532,186.8,1.0,False
091_SVDB_id_8_Medical_tr_500_1st_126.csv,83,167,1197,214.7,1.0,False
085_SVDB_id_2_Medical_tr_50000_1st_54982,57,144,275,150.5,1.0,False
109_SVDB_id_26_Medical_tr_1038_1st_1138.,167,109,330,124.7,1.0,False
139_CATSv2_id_2_Sensor_tr_5592_1st_5692.,10,500,1000,660.0,1.0,False
107_SVDB_id_24_Medical_tr_32805_1st_3290,53,118,153,119.2,1.0,False
113_SVDB_id_30_Medical_tr_4552_1st_4652.,59,169,476,170.5,1.0,False
140_CATSv2_id_3_Sensor_tr_28307_1st_2840,25,700,5000,1120.0,1.0,False
021_MITDB_id_3_Medical_tr_50000_1st_5759,18,453,1198,489.4,1.0,False
097_SVDB_id_14_Medical_tr_1031_1st_1131.,208,137,169,133.6,1.0,False
141_CATSv2_id_4_Sensor_tr_41727_1st_4182,11,500,1000,536.4,1.0,False
022_MITDB_id_4_Medical_tr_50000_1st_5425,25,511,1393,531.7,1.0,False
098_SVDB_id_15_Medical_tr_500_1st_303.cs,121,121,207,120.7,1.0,False
082_LTDB_id_4_Medical_tr_4456_1st_4556.c,100,150,368,161.6,1.0,False
095_SVDB_id_12_Medical_tr_6264_1st_6364.,45,164,285,165.9,1.0,False
101_SVDB_id_18_Medical_tr_1851_1st_1951.,81,147,1001,198.8,1.0,False
099_SVDB_id_16_Medical_tr_1115_1st_1215.,164,91,459,99.9,1.0,False
092_SVDB_id_9_Medical_tr_2674_1st_2774.c,26,190,4418,465.5,1.0,False
172_SWaT_id_2_Sensor_tr_23700_1st_23800.,27,463,35900,1856.2,1.0,False
093_SVDB_id_10_Medical_tr_500_1st_37.csv,152,104,330,119.1,1.0,False
084_SVDB_id_1_Medical_tr_12973_1st_13073,23,154,203,153.8,1.0,False
105_SVDB_id_22_Medical_tr_500_1st_417.cs,68,200,926,188.6,1.0,False
142_CATSv2_id_5_Sensor_tr_30704_1st_3080,13,500,5000,1315.4,1.0,False
053_GHL_id_22_Sensor_tr_50000_1st_126448,5,1215,1863,1298.4,1.0,False
019_MITDB_id_1_Medical_tr_37500_1st_1032,1,18610,18610,18610.0,1.0,False
