corpus,dataset,truefam,n_calib,reg_binary,reg_alpha10,reg_direct10,reg_oracle
ovrbench,BusinessAnomalies,global,85,0.0000,0.0000,0.0270,0.0
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,global,78,0.0274,0.0323,0.0024,0.0
ovrbench,FakeNewsPropagation,global,195,0.1070,0.0854,0.0000,0.0
adbench,22_magic.gamma,local,389,0.0000,0.0000,0.0000,0.0
ovrbench,guillermo,global,132,0.0223,0.0080,0.0001,0.0
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,local,118,0.0086,0.0086,0.0147,0.0
ovrbench,philippine,global,72,0.3219,0.0000,0.1582,0.0
ovrbench,FinancialTransaction4,local,183,0.0374,0.0374,0.0000,0.0
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,global,124,0.0217,0.0547,0.0108,0.0
ovrbench,SpectralImaging,global,320,0.0000,0.0000,0.0131,0.0
oddbench,BarExamPrediction,global,77,0.1046,0.2329,0.1835,0.0
ovrbench,SolarFlare,local,668,0.0000,0.0000,0.0000,0.0
ovrbench,ailerons,global,120,0.0290,0.0000,0.0000,0.0
oddbench,FinancialTransactionAnomalies,global,182,0.0749,0.0000,0.0000,0.0
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,local,176,0.0074,0.0000,0.0132,0.0
oddbench,SalesOrderPriority,local,334,0.0000,0.0000,0.0000,0.0
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,local,70,0.0000,0.0000,0.0000,0.0
ovrbench,NeuroSignalEEG,global,1294,0.0000,0.0000,0.0000,0.0
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,global,73,0.0327,0.0381,0.0063,0.0
ovrbench,EEGEyeState,local,101,0.0918,0.0312,0.0000,0.0
ovrbench,AmazonReviewAnomalies,global,73,0.0785,0.0785,0.0340,0.0
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,local,118,0.0000,0.0000,0.1123,0.0
ovrbench,jannis,global,724,0.1812,0.0038,0.0000,0.0
ovrbench,sf-police-incidents,local,25372,0.1178,0.1178,0.0000,0.0
ovrbench,CreditCustomerData,local,130,0.1362,0.0384,0.0534,0.0
ovrbench,CelestialObjects2,global,134,0.2260,0.1405,0.0000,0.0
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,local,116,0.0223,0.0000,0.0000,0.0
oddbench,TBAnomalyDetection,local,154,0.1306,0.1306,0.0010,0.0
ovrbench,PsychoPrediction,global,1365,0.0394,0.0394,0.0000,0.0
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,local,43,0.0086,0.0047,0.0037,0.0
ovrbench,CustomerChurn2,local,94,0.2714,0.1114,0.1958,0.0
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,local,60,0.0510,0.0107,0.0000,0.0
ovrbench,FinancialMetricsAnomaly,global,73,0.0954,0.1263,0.1263,0.0
ovrbench,CardiacHealth,local,346,0.0000,0.0000,0.0000,0.0
ovrbench,SensorAnomaly,local,109,0.2213,0.1472,0.0000,0.0
ovrbench,BCellImmunity,global,55,0.1241,0.1121,0.0000,0.0
oddbench,HealthPulse,local,81,0.0031,0.0056,0.0056,0.0
oddbench,PropertyCondition,local,488,0.2017,0.1770,0.0011,0.0
ovrbench,HealthActivityObesity,local,353,0.0562,0.0562,0.0080,0.0
oddbench,TransactionFeeAnomalies,local,94,0.1953,0.1953,0.0000,0.0
ovrbench,TwitterEmotion,local,58,0.0971,0.0971,0.0107,0.0
ovrbench,FootballEfficiency,local,80,0.0033,0.0013,0.0003,0.0
ovrbench,BoundingBoxClassification,global,213,0.3460,0.1209,0.0000,0.0
oddbench,GeneticVariation,global,95,0.3592,0.2118,0.0000,0.0
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,global,168,0.1120,0.1120,0.0000,0.0
adbench,35_SpamBase,global,167,0.4341,0.0025,0.0000,0.0
dami,SpamBase,global,167,0.4760,0.0035,0.0000,0.0
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,local,179,0.0000,0.0000,0.0095,0.0
oddbench,ProsperLoan,local,283,0.0000,0.0112,0.0112,0.0
ovrbench,JobChangePatterns,global,271,0.2100,0.2100,0.0361,0.0
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,local,65,0.0000,0.0000,0.0000,0.0
ovrbench,TrafficSensor,local,67,0.0000,0.0415,0.0415,0.0
ovrbench,PokemonBattle,local,104,0.0889,0.0889,0.0000,0.0
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,local,72,0.0323,0.0025,0.0038,0.0
ovrbench,RealEstateListings,local,431,0.1712,0.0806,0.0332,0.0
oddbench,BuildingInspections,global,135,0.1781,0.0267,0.0000,0.0
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,local,112,0.0106,0.0106,0.0237,0.0
ovrbench,ViralProteinFunction,local,944,0.2524,0.1066,0.0059,0.0
ovrbench,GeotechnicalAnomalies,local,86,0.0763,0.0763,0.0267,0.0
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,local,78,0.0200,0.0200,0.0124,0.0
oddbench,ProtestViolence,global,176,0.8525,0.6229,0.0000,0.0
ovrbench,BreastCancer,global,48,0.0000,0.0000,0.0074,0.0
ovrbench,UserMovieInteractions,global,512,0.2449,0.1147,0.0000,0.0
ovrbench,Word2VecPCA,global,142,0.1404,0.1403,0.0044,0.0
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,local,48,0.0393,0.0048,0.0048,0.0
ovrbench,TextAnomalyDetection,global,190,0.0251,0.0251,0.0000,0.0
