corpus,dataset,truefam,n_val,n_tr,reg_V,reg_T,reg_TV
ovrbench,BusinessAnomalies,global,1200,3600,0.0407,0.0407,0.1192
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,global,2435,7868,0.0107,0.0107,0.0107
ovrbench,FakeNewsPropagation,global,1200,3600,0.0975,0.0975,0.0975
adbench,22_magic.gamma,local,1200,3600,0.0090,0.0000,0.0000
ovrbench,guillermo,global,1200,3600,0.0349,0.0349,0.0349
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,local,2391,6840,0.0000,0.0115,0.0115
ovrbench,philippine,global,583,1749,0.0000,0.0417,0.0000
ovrbench,FinancialTransaction4,local,1200,3600,0.0331,0.0000,0.0331
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,global,2325,7145,0.0224,0.0224,0.0224
ovrbench,SpectralImaging,global,1200,3600,0.7825,0.7825,0.7825
oddbench,BarExamPrediction,global,1200,3600,0.1161,0.1161,0.1161
ovrbench,SolarFlare,local,1200,3600,0.0000,0.1509,0.1289
ovrbench,ailerons,global,1200,3600,0.0328,0.0328,0.0328
oddbench,FinancialTransactionAnomalies,global,1200,3600,0.0000,0.0765,0.0000
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,local,7579,21658,0.0080,0.0000,0.0080
oddbench,SalesOrderPriority,local,1200,3600,0.2369,0.0534,0.0000
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,local,2274,7143,0.0000,0.0000,0.0000
ovrbench,NeuroSignalEEG,global,1200,3600,0.0000,0.6608,0.3569
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,global,2358,7362,0.0304,0.0304,0.0304
ovrbench,EEGEyeState,local,1200,3600,0.0297,0.0000,0.0000
ovrbench,AmazonReviewAnomalies,global,1200,3600,0.1129,0.0463,0.0463
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,local,2326,6151,0.0452,0.0452,0.0000
ovrbench,jannis,global,1200,3600,0.0240,0.0000,0.0201
ovrbench,sf-police-incidents,local,1200,3600,0.1297,0.1297,0.1297
ovrbench,CreditCustomerData,local,1200,3600,0.1604,0.1587,0.1639
ovrbench,CelestialObjects2,global,1200,3600,0.1438,0.1438,0.1438
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,local,1869,4567,0.0232,0.0232,0.0232
oddbench,TBAnomalyDetection,local,1200,3600,0.0909,0.1520,0.0909
ovrbench,PsychoPrediction,global,1200,3600,0.0346,0.0845,0.0403
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,local,1745,5084,0.0118,0.0118,0.0056
ovrbench,CustomerChurn2,local,1200,3600,0.2733,0.2733,0.1119
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,local,2404,7634,0.0510,0.0354,0.0100
ovrbench,FinancialMetricsAnomaly,global,784,2350,0.0959,0.0959,0.1294
ovrbench,CardiacHealth,local,1200,3600,0.0000,0.0054,0.0000
ovrbench,SensorAnomaly,local,1200,3600,0.2061,0.2061,0.2061
ovrbench,BCellImmunity,global,1200,3600,0.1115,0.1115,0.1115
oddbench,HealthPulse,local,1200,3600,0.0829,0.0829,0.0829
oddbench,PropertyCondition,local,1200,3600,0.1781,0.1781,0.1781
ovrbench,HealthActivityObesity,local,1200,3600,0.0530,0.0530,0.2520
oddbench,TransactionFeeAnomalies,local,1200,3600,0.1955,0.5367,0.6374
ovrbench,TwitterEmotion,local,596,1788,0.0413,0.0413,0.0368
ovrbench,FootballEfficiency,local,1200,3600,0.0707,0.0707,0.0707
ovrbench,BoundingBoxClassification,global,1200,3600,0.3686,0.3686,0.1188
oddbench,GeneticVariation,global,915,2745,0.2155,0.3024,0.3889
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,global,4618,13778,0.1411,0.1728,0.1142
adbench,35_SpamBase,global,506,1516,0.4886,0.4886,0.4886
dami,SpamBase,global,506,1516,0.5340,0.5340,0.5340
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,local,2151,6758,0.0000,0.0000,0.0118
oddbench,ProsperLoan,local,1200,3600,0.0569,0.0099,0.0569
ovrbench,JobChangePatterns,global,1200,3600,0.0000,0.1960,0.1960
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,local,5589,16225,0.0000,0.0000,0.0000
ovrbench,TrafficSensor,local,1200,3600,0.0000,0.0400,0.0000
