corpus,dataset,eff_frac,n_hard,knn_apnorm,anom_dist_ratio
ovrbench,sf-police-incidents,0.0017414293087379,269319,0.062,1.05
ovrbench,PsychoPrediction,0.0329894012774619,14224,-0.019,0.92
ovrbench,KickstarterCampaigns,0.0283272110765753,14171,0.082,1.13
ovrbench,NeuroSignalEEG,0.0339759214122165,13551,0.02,1.01
ovrbench,ViralProteinFunction,0.0424365482233502,9809,0.118,1.53
ovrbench,jannis,0.063903743315508,7507,0.239,1.05
ovrbench,SolarFlare,0.0680461047076795,7235,0.443,1.96
oddbench,GlobalTerrorismAttack,0.0534514792053737,6998,-0.255,1.0
ovrbench,EmployeePerformance,0.0506165758531689,7352,-0.074,0.98
ovrbench,CreditScoringAnomalies,0.0484357630617754,6315,-0.165,0.85
ovrbench,XSSDetection,0.0621890547263681,5431,0.206,1.45
ovrbench,UserMovieInteractions,0.0757132406730065,5480,0.066,1.01
oddbench,PropertyCondition,0.0873710838684568,5141,0.034,1.02
ovrbench,SpectralImaging,0.1,4935,0.796,1.41
adbench,22_magic.gamma,0.1191517271534761,4535,0.552,1.34
ovrbench,RealEstateListings,0.09692724807953,4412,-0.174,0.99
ovrbench,BNG(cmc),0.0874886672710788,4429,-0.082,0.93
ovrbench,BoundingBoxClassification,0.1260967661067936,3995,0.925,3.9
ovrbench,FireRiskAnalysis,0.0938323668950975,3816,0.1,1.1
ovrbench,CardiacHealth,0.1196418882257189,3686,0.961,2.16
ovrbench,PhysicsTraining,0.1067586206896551,3622,-0.018,0.99
ovrbench,HealthActivityObesity,0.1127629733520336,3565,-0.103,1.01
oddbench,SalesOrderPriority,0.1330472103004291,3495,0.157,1.26
oddbench,MouseInteractionPhase,0.0884165126309303,3246,0.994,6.1
tsbad_m,172_SWaT_id_2_Sensor_tr_23700_1st_23800.,0.0830503241741278,3239,0.929,311274533.55
ovrbench,Run_or_walk_information,0.073580716777672,3153,0.295,2.04
oddbench,ProsperLoan,0.1471685317056629,2957,0.096,1.07
ovrbench,JobChangePatterns,0.1484975541579315,2862,0.113,1.28
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,0.2140266021765417,1121,0.04,1.06
oddbench,CourseRegistration,0.1307901907356948,2202,-0.132,0.76
oddbench,RacingMotion,0.1467639015496809,2196,0.594,1.84
oddbench,PoliceForceDisturbance,0.1400375939849624,2129,-0.024,0.94
ovrbench,FakeNewsPropagation,0.2550143266475644,2202,0.413,2.37
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,0.2200099552015928,1694,0.038,1.07
ovrbench,WebpageSessionIntrusion,0.1557788944723618,1988,-0.071,0.59
ovrbench,FinancialTransaction4,0.2552215995924605,1965,0.122,1.2
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,0.2806201550387597,667,0.102,1.11
oddbench,FinancialTransactionAnomalies,0.23950233281493,1929,0.029,1.03
oddbench,ProtestViolence,0.2161038961038961,1626,0.301,1.73
ovrbench,TextAnomalyDetection,0.1919456066945606,1894,-0.095,1.0
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,0.2579772850189291,1766,0.107,1.1
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,0.2429653679653679,1634,0.744,1.78
oddbench,HumanRobotCollaboration,0.1397428731134712,1798,0.429,1.71
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,0.1931232091690544,1048,0.317,1.15
oddbench,TBAnomalyDetection,0.2408163265306122,1715,0.236,1.27
dami,SpamBase,0.2823108993448481,1679,0.723,2.51
adbench,35_SpamBase,0.2829064919594997,1679,0.722,2.5
