corpus,dataset,best_alpha,n_modes,void_mass,ll_gap,hull_ext,void_fill,embedded
ovrbench,BusinessAnomalies,0.80,8,0.926,5.794,0.114,0.701,0.184
tsbad_m,091_SVDB_id_8_Medical_tr_500_1st_126.csv,1.00,8,0.998,23.126,0.529,0.364,0.106
ovrbench,FakeNewsPropagation,0.00,8,0.982,19.480,0.081,0.864,0.055
adbench,22_magic.gamma,0.40,8,0.867,5.656,0.137,0.681,0.182
ovrbench,guillermo,0.40,8,0.001,1616.759,0.997,0.001,0.002
tsbad_m,111_SVDB_id_28_Medical_tr_1791_1st_1891.,1.00,8,1.000,20.459,0.615,0.243,0.142
ovrbench,philippine,0.20,8,1.000,77.496,0.988,0.003,0.010
ovrbench,FinancialTransaction4,1.00,7,0.971,13.739,0.111,0.594,0.295
tsbad_m,109_SVDB_id_26_Medical_tr_1038_1st_1138.,0.00,8,0.960,16.144,0.278,0.569,0.152
ovrbench,SpectralImaging,0.40,8,1.000,57.440,0.574,0.356,0.070
oddbench,BarExamPrediction,0.20,8,0.555,4.359,0.236,0.512,0.252
ovrbench,SolarFlare,0.00,8,0.908,22.785,0.054,0.823,0.122
ovrbench,ailerons,0.00,8,0.999,33.421,0.225,0.547,0.228
oddbench,FinancialTransactionAnomalies,0.00,7,0.449,1.045,0.032,0.469,0.499
tsbad_m,030_MITDB_id_12_Medical_tr_50000_1st_845,0.00,8,0.958,23.473,0.194,0.490,0.315
oddbench,SalesOrderPriority,1.00,8,0.767,5.961,0.025,0.599,0.376
tsbad_m,093_SVDB_id_10_Medical_tr_500_1st_37.csv,0.00,8,0.996,17.703,0.356,0.432,0.212
ovrbench,NeuroSignalEEG,0.00,6,0.206,0.386,0.158,0.416,0.427
tsbad_m,086_SVDB_id_3_Medical_tr_533_1st_633.csv,0.00,8,0.955,21.601,0.200,0.474,0.326
ovrbench,EEGEyeState,0.00,8,0.876,8.574,0.088,0.861,0.051
ovrbench,AmazonReviewAnomalies,0.80,7,0.424,3.836,0.045,0.691,0.264
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,0.00,8,1.000,21.203,0.312,0.447,0.242
ovrbench,jannis,0.60,8,0.933,14.660,0.603,0.181,0.216
ovrbench,sf-police-incidents,0.00,6,0.202,0.575,0.040,0.473,0.487
ovrbench,CreditCustomerData,0.20,7,0.971,4.849,0.134,0.426,0.440
ovrbench,CelestialObjects2,0.00,8,0.821,6.074,0.929,0.047,0.024
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,0.40,8,0.965,16.652,0.420,0.426,0.154
oddbench,TBAnomalyDetection,0.00,7,0.151,0.275,0.014,0.637,0.350
ovrbench,PsychoPrediction,0.00,7,0.322,1.888,0.008,0.497,0.495
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,0.00,8,0.984,17.746,0.257,0.363,0.379
ovrbench,CustomerChurn2,0.00,8,0.988,6.222,0.017,0.660,0.323
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,0.00,8,0.978,17.228,0.175,0.639,0.185
ovrbench,FinancialMetricsAnomaly,0.80,8,0.752,6.854,0.334,0.333,0.333
ovrbench,CardiacHealth,0.20,7,0.241,0.847,0.080,0.902,0.018
ovrbench,SensorAnomaly,0.00,8,0.697,6.607,0.140,0.410,0.450
ovrbench,BCellImmunity,0.80,7,0.672,3.882,0.068,0.716,0.216
oddbench,HealthPulse,1.00,8,0.473,7.606,0.271,0.371,0.358
oddbench,PropertyCondition,0.00,8,0.999,12.049,0.062,0.431,0.506
ovrbench,HealthActivityObesity,0.00,7,0.960,5.898,0.013,0.485,0.502
oddbench,TransactionFeeAnomalies,0.00,8,0.961,8.545,0.000,0.998,0.002
ovrbench,TwitterEmotion,0.00,8,0.988,10.184,0.174,0.440,0.387
ovrbench,FootballEfficiency,0.60,4,0.382,2.374,0.108,0.657,0.235
ovrbench,BoundingBoxClassification,0.00,7,0.537,1.904,0.009,0.982,0.008
oddbench,GeneticVariation,0.00,8,1.000,15.844,0.004,0.591,0.405
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,0.20,8,1.000,81.761,0.897,0.053,0.050
adbench,35_SpamBase,0.20,8,1.000,104.237,0.852,0.095,0.054
dami,SpamBase,0.20,7,1.000,94.086,0.852,0.094,0.054
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,0.80,8,0.991,18.476,0.246,0.432,0.322
oddbench,ProsperLoan,1.00,7,0.929,26.995,0.295,0.313,0.392
ovrbench,JobChangePatterns,0.00,8,0.509,2.395,0.022,0.507,0.471
